Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Canada,Cosmetics,Online,H,5/9/2011,368977391,6/2/2011,7464,437.20,263.33,3263260.80,1965495.12,1297765.68
United States of America,Personal Care,Online,H,1/21/2016,190777862,2/19/2016,4264,81.73,56.67,348496.72,241640.88,106855.84
Greenland,Household,Online,H,11/14/2010,274500548,11/23/2010,9667,668.27,502.54,6460166.09,4858054.18,1602111.91
Canada,Cosmetics,Online,C,2/14/2012,140492665,2/18/2012,3757,437.20,263.33,1642560.40,989330.81,653229.59
Greenland,Household,Offline,C,7/8/2011,790940797,8/1/2011,5813,668.27,502.54,3884653.51,2921265.02,963388.49
Greenland,Baby Food,Offline,C,1/23/2015,995298516,3/9/2015,9804,255.28,159.42,2502765.12,1562953.68,939811.44
Canada,Cosmetics,Offline,M,3/9/2013,976850068,3/21/2013,498,437.20,263.33,217725.60,131138.34,86587.26
Mexico,Personal Care,Online,H,7/12/2017,137619483,7/21/2017,3518,81.73,56.67,287526.14,199365.06,88161.08
Greenland,Fruits,Online,H,6/16/2015,558045232,7/3/2015,6840,9.33,6.92,63817.20,47332.80,16484.40
Canada,Clothes,Offline,H,1/16/2016,819364488,3/2/2016,7015,109.28,35.84,766599.20,251417.60,515181.60
Greenland,Beverages,Offline,C,7/9/2010,276022756,7/13/2010,122,47.45,31.79,5788.90,3878.38,1910.52
Greenland,Household,Offline,M,12/8/2013,431690013,1/2/2014,5523,668.27,502.54,3690855.21,2775528.42,915326.79
Mexico,Fruits,Offline,L,7/19/2016,641996228,8/12/2016,9805,9.33,6.92,91480.65,67850.60,23630.05
Mexico,Office Supplies,Offline,C,12/17/2016,280350339,1/6/2017,750,651.21,524.96,488407.50,393720.00,94687.50
Greenland,Beverages,Offline,L,1/17/2017,415272748,2/6/2017,7289,47.45,31.79,345863.05,231717.31,114145.74
United States of America,Baby Food,Offline,C,4/1/2016,739278447,4/10/2016,7776,255.28,159.42,1985057.28,1239649.92,745407.36
Canada,Household,Offline,H,11/15/2011,527294242,11/30/2011,6939,668.27,502.54,4637125.53,3487125.06,1150000.47
United States of America,Cosmetics,Online,C,8/9/2016,103501784,9/3/2016,7333,437.20,263.33,3205987.60,1930998.89,1274988.71
Canada,Snacks,Offline,M,9/17/2014,337888658,10/22/2014,7617,152.58,97.44,1162201.86,742200.48,420001.38
United States of America,Vegetables,Online,L,11/25/2011,346445119,1/14/2012,9664,154.06,90.93,1488835.84,878747.52,610088.32
United States of America,Fruits,Online,C,3/26/2010,488978564,4/21/2010,8478,9.33,6.92,79099.74,58667.76,20431.98
United States of America,Office Supplies,Online,M,11/2/2014,717068469,11/28/2014,5350,651.21,524.96,3483973.50,2808536.00,675437.50
Canada,Fruits,Online,M,5/29/2016,980824458,7/13/2016,6608,9.33,6.92,61652.64,45727.36,15925.28
Canada,Fruits,Online,M,2/19/2013,774705493,2/26/2013,1426,9.33,6.92,13304.58,9867.92,3436.66
United States of America,Clothes,Offline,L,4/6/2017,120370948,5/7/2017,9293,109.28,35.84,1015539.04,333061.12,682477.92
Greenland,Fruits,Online,M,8/9/2016,300882327,8/18/2016,6622,9.33,6.92,61783.26,45824.24,15959.02
United States of America,Vegetables,Online,L,8/3/2013,501577222,9/19/2013,6701,154.06,90.93,1032356.06,609321.93,423034.13
Greenland,Clothes,Online,H,3/19/2013,180756270,3/20/2013,8652,109.28,35.84,945490.56,310087.68,635402.88
Canada,Meat,Offline,M,1/1/2014,709441983,1/4/2014,8503,421.89,364.69,3587330.67,3100959.07,486371.60
Mexico,Office Supplies,Online,H,2/26/2017,785163533,4/8/2017,6192,651.21,524.96,4032292.32,3250552.32,781740.00
Greenland,Cosmetics,Offline,L,2/14/2013,195905816,3/13/2013,1739,437.20,263.33,760290.80,457930.87,302359.93
