Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Beverages,Offline,L,1/14/2016,659767472,3/3/2016,8711,47.45,31.79,413336.95,276922.69,136414.26
Office Supplies,Offline,L,5/9/2013,739645373,5/15/2013,6357,651.21,524.96,4139741.97,3337170.72,802571.25
Personal Care,Offline,H,3/7/2016,696690547,3/9/2016,5070,81.73,56.67,414371.10,287316.90,127054.20
Beverages,Online,H,6/20/2012,376181161,6/25/2012,9220,47.45,31.79,437489.00,293103.80,144385.20
Office Supplies,Online,H,2/9/2016,743760097,3/22/2016,3995,651.21,524.96,2601583.95,2097215.20,504368.75
Clothes,Online,L,12/25/2011,388088881,12/30/2011,2979,109.28,35.84,325545.12,106767.36,218777.76
Fruits,Offline,C,8/16/2015,165100753,8/29/2015,5837,9.33,6.92,54459.21,40392.04,14067.17
Meat,Online,H,6/28/2014,628933227,7/24/2014,4173,421.89,364.69,1760546.97,1521851.37,238695.60
Beverages,Online,L,7/13/2012,872370088,8/18/2012,2550,47.45,31.79,120997.50,81064.50,39933.00
Clothes,Online,M,1/22/2014,146033895,3/1/2014,3529,109.28,35.84,385649.12,126479.36,259169.76
Personal Care,Offline,M,1/8/2010,762587916,2/24/2010,5566,81.73,56.67,454909.18,315425.22,139483.96
Snacks,Offline,L,6/15/2014,696155393,7/16/2014,6706,152.58,97.44,1023201.48,653432.64,369768.84
Cereal,Online,L,3/27/2017,145244252,5/15/2017,9857,205.70,117.11,2027584.90,1154353.27,873231.63
Fruits,Offline,C,11/15/2016,690024936,11/29/2016,2567,9.33,6.92,23950.11,17763.64,6186.47
Office Supplies,Offline,L,7/22/2015,565290629,8/25/2015,914,651.21,524.96,595205.94,479813.44,115392.50
Cereal,Offline,M,3/12/2017,759346091,4/3/2017,6238,205.70,117.11,1283156.60,730532.18,552624.42
Personal Care,Online,M,4/30/2017,439527642,6/15/2017,4851,81.73,56.67,396472.23,274906.17,121566.06
Household,Online,C,11/17/2015,987732112,12/11/2015,736,668.27,502.54,491846.72,369869.44,121977.28
Snacks,Offline,M,7/26/2013,376378571,9/4/2013,7638,152.58,97.44,1165406.04,744246.72,421159.32
Household,Offline,M,12/3/2014,255519950,12/28/2014,2886,668.27,502.54,1928627.22,1450330.44,478296.78
Household,Online,C,10/1/2013,302392089,10/30/2013,3394,668.27,502.54,2268108.38,1705620.76,562487.62
Vegetables,Offline,H,6/14/2010,345487248,7/20/2010,6209,154.06,90.93,956558.54,564584.37,391974.17
Vegetables,Online,M,10/11/2015,689827525,11/9/2015,4149,154.06,90.93,639194.94,377268.57,261926.37
Office Supplies,Online,H,2/1/2011,108378255,2/28/2011,389,651.21,524.96,253320.69,204209.44,49111.25
Personal Care,Online,M,4/15/2014,492628943,5/19/2014,8707,81.73,56.67,711623.11,493425.69,218197.42
Baby Food,Online,L,12/14/2015,481157672,1/22/2016,4102,255.28,159.42,1047158.56,653940.84,393217.72
Beverages,Offline,C,3/2/2017,414371955,4/10/2017,725,47.45,31.79,34401.25,23047.75,11353.50
Household,Offline,M,8/16/2015,208788144,9/9/2015,3906,668.27,502.54,2610262.62,1962921.24,647341.38
Clothes,Offline,M,7/14/2014,652707040,8/24/2014,9373,109.28,35.84,1024281.44,335928.32,688353.12
Clothes,Offline,H,12/1/2010,539106261,12/19/2010,2378,109.28,35.84,259867.84,85227.52,174640.32
Office Supplies,Online,M,12/13/2014,556806695,1/30/2015,329,651.21,524.96,214248.09,172711.84,41536.25
Household,Online,H,1/16/2013,411821067,2/19/2013,5860,668.27,502.54,3916062.20,2944884.40,971177.80
Household,Online,L,4/6/2017,533905780,5/19/2017,3440,668.27,502.54,2298848.80,1728737.60,570111.20
Vegetables,Offline,C,11/19/2013,707824075,11/29/2013,9728,154.06,90.93,1498695.68,884567.04,614128.64
Household,Online,C,11/3/2010,276742875,12/8/2010,3221,668.27,502.54,2152497.67,1618681.34,533816.33
Cosmetics,Offline,C,6/6/2010,222571265,6/8/2010,2638,437.20,263.33,1153333.60,694664.54,458669.06
Beverages,Offline,C,10/11/2014,305971658,11/22/2014,2668,47.45,31.79,126596.60,84815.72,41780.88
Cereal,Offline,M,7/3/2010,857064759,7/14/2010,3363,205.70,117.11,691769.10,393840.93,297928.17
Cosmetics,Online,C,1/28/2014,177953898,1/28/2014,9368,437.20,263.33,4095689.60,2466875.44,1628814.16
Snacks,Offline,H,6/25/2015,568672788,7/7/2015,1770,152.58,97.44,270066.60,172468.80,97597.80
Personal Care,Online,C,6/16/2012,478944528,7/8/2012,9184,81.73,56.67,750608.32,520457.28,230151.04
Office Supplies,Online,M,10/17/2010,930910909,11/6/2010,6080,651.21,524.96,3959356.80,3191756.80,767600.00
Vegetables,Online,L,2/25/2017,691884887,4/13/2017,2968,154.06,90.93,457250.08,269880.24,187369.84
Meat,Online,M,10/18/2015,590685355,10/29/2015,5778,421.89,364.69,2437680.42,2107178.82,330501.60
Clothes,Online,H,4/20/2014,171428620,5/4/2014,8393,109.28,35.84,917187.04,300805.12,616381.92
Meat,Offline,C,4/11/2011,981700360,5/5/2011,5807,421.89,364.69,2449915.23,2117754.83,332160.40
Baby Food,Online,L,1/14/2015,319598996,2/5/2015,5300,255.28,159.42,1352984.00,844926.00,508058.00
Baby Food,Online,M,2/27/2017,782880866,3/15/2017,700,255.28,159.42,178696.00,111594.00,67102.00
Cereal,Offline,L,11/5/2014,936843955,11/7/2014,1800,205.70,117.11,370260.00,210798.00,159462.00
Vegetables,Offline,C,4/24/2011,232915151,5/16/2011,3624,154.06,90.93,558313.44,329530.32,228783.12
Cosmetics,Offline,M,6/7/2013,783571803,7/14/2013,5164,437.20,263.33,2257700.80,1359836.12,897864.68
Cosmetics,Offline,L,1/16/2013,368133676,2/9/2013,7790,437.20,263.33,3405788.00,2051340.70,1354447.30
Baby Food,Online,C,2/24/2012,591615331,2/26/2012,978,255.28,159.42,249663.84,155912.76,93751.08
Cereal,Offline,L,12/1/2016,670111358,12/19/2016,9697,205.70,117.11,1994672.90,1135615.67,859057.23
Vegetables,Online,C,6/20/2011,451830184,7/4/2011,5447,154.06,90.93,839164.82,495295.71,343869.11
Fruits,Online,H,1/26/2017,207463347,2/8/2017,1870,9.33,6.92,17447.10,12940.40,4506.70
Office Supplies,Offline,M,7/9/2017,809657466,8/14/2017,4491,651.21,524.96,2924584.11,2357595.36,566988.75
Fruits,Offline,H,9/18/2010,755922305,9/26/2010,3063,9.33,6.92,28577.79,21195.96,7381.83
Vegetables,Offline,L,11/27/2016,444432008,12/16/2016,6162,154.06,90.93,949317.72,560310.66,389007.06
Vegetables,Online,M,10/4/2016,954388606,11/6/2016,3652,154.06,90.93,562627.12,332076.36,230550.76
