Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Office Supplies,Online,H,9/22/2015,265624797,10/16/2015,3135,651.21,524.96,2041543.35,1645749.60,395793.75
Personal Care,Offline,M,11/8/2011,185705268,12/8/2011,3170,81.73,56.67,259084.10,179643.90,79440.20
Cosmetics,Offline,L,4/2/2015,440514695,4/20/2015,6942,437.20,263.33,3035042.40,1828036.86,1207005.54
Cosmetics,Online,L,12/13/2013,700820720,1/16/2014,7280,437.20,263.33,3182816.00,1917042.40,1265773.60
Personal Care,Online,L,7/27/2013,773186290,8/29/2013,1860,81.73,56.67,152017.80,105406.20,46611.60
Meat,Offline,M,6/18/2010,417473447,6/28/2010,8525,421.89,364.69,3596612.25,3108982.25,487630.00
Household,Offline,M,6/1/2012,720916259,6/19/2012,3996,668.27,502.54,2670406.92,2008149.84,662257.08
Snacks,Online,C,12/18/2012,983139312,2/5/2013,1625,152.58,97.44,247942.50,158340.00,89602.50
Cosmetics,Offline,H,1/25/2011,294895207,2/9/2011,4900,437.20,263.33,2142280.00,1290317.00,851963.00
Meat,Offline,M,4/29/2016,274108731,5/9/2016,3720,421.89,364.69,1569430.80,1356646.80,212784.00
Clothes,Online,L,10/14/2010,839914929,10/14/2010,8347,109.28,35.84,912160.16,299156.48,613003.68
Clothes,Online,L,11/23/2011,296853864,12/9/2011,4510,109.28,35.84,492852.80,161638.40,331214.40
Cosmetics,Offline,M,4/19/2010,523379933,5/24/2010,8608,437.20,263.33,3763417.60,2266744.64,1496672.96
Cereal,Offline,H,4/11/2011,653257644,4/19/2011,2308,205.70,117.11,474755.60,270289.88,204465.72
Beverages,Online,L,7/23/2013,460132157,8/4/2013,2185,47.45,31.79,103678.25,69461.15,34217.10
Baby Food,Online,L,10/14/2012,379183948,10/24/2012,7811,255.28,159.42,1993992.08,1245229.62,748762.46
Cereal,Offline,C,1/7/2013,860462367,2/12/2013,8791,205.70,117.11,1808308.70,1029514.01,778794.69
Clothes,Offline,L,12/20/2011,337159097,2/7/2012,1724,109.28,35.84,188398.72,61788.16,126610.56
Fruits,Online,C,4/14/2013,108773076,5/30/2013,7225,9.33,6.92,67409.25,49997.00,17412.25
Fruits,Online,M,6/29/2014,125740945,7/17/2014,8395,9.33,6.92,78325.35,58093.40,20231.95
Beverages,Online,M,12/18/2014,981913220,12/23/2014,8797,47.45,31.79,417417.65,279656.63,137761.02
Household,Online,L,5/21/2016,373489940,7/9/2016,2828,668.27,502.54,1889867.56,1421183.12,468684.44
Cereal,Online,C,11/7/2010,789224183,11/20/2010,7829,205.70,117.11,1610425.30,916854.19,693571.11
Snacks,Online,C,11/14/2016,139524066,1/1/2017,7127,152.58,97.44,1087437.66,694454.88,392982.78
Cosmetics,Offline,H,8/9/2013,793338906,9/27/2013,5467,437.20,263.33,2390172.40,1439625.11,950547.29
Office Supplies,Online,L,2/9/2012,152024018,2/10/2012,6140,651.21,524.96,3998429.40,3223254.40,775175.00
Cereal,Offline,C,3/2/2015,634035003,4/5/2015,3902,205.70,117.11,802641.40,456963.22,345678.18
Vegetables,Online,L,10/31/2010,316809070,12/18/2010,9699,154.06,90.93,1494227.94,881930.07,612297.87
Snacks,Offline,L,2/5/2013,904388797,2/22/2013,7597,152.58,97.44,1159150.26,740251.68,418898.58
Office Supplies,Online,C,7/9/2014,470715081,7/10/2014,3908,651.21,524.96,2544928.68,2051543.68,493385.00
Meat,Offline,C,9/9/2016,169823157,10/28/2016,3301,421.89,364.69,1392658.89,1203841.69,188817.20
Vegetables,Offline,H,4/5/2014,457087743,4/27/2014,1275,154.06,90.93,196426.50,115935.75,80490.75
Cosmetics,Offline,H,3/3/2014,515924680,3/10/2014,2433,437.20,263.33,1063707.60,640681.89,423025.71
Meat,Offline,C,5/3/2016,718225038,5/14/2016,7604,421.89,364.69,3208051.56,2773102.76,434948.80
Vegetables,Offline,H,5/15/2014,561232984,6/15/2014,167,154.06,90.93,25728.02,15185.31,10542.71
Vegetables,Online,C,10/22/2011,752498519,12/6/2011,9889,154.06,90.93,1523499.34,899206.77,624292.57
Cereal,Offline,H,2/4/2010,168638694,3/17/2010,2792,205.70,117.11,574314.40,326971.12,247343.28
Household,Offline,C,12/2/2015,988874948,1/18/2016,8927,668.27,502.54,5965646.29,4486174.58,1479471.71
Cosmetics,Online,L,1/16/2015,169527041,3/4/2015,5674,437.20,263.33,2480672.80,1494134.42,986538.38
Meat,Online,H,6/14/2013,312299525,7/27/2013,5224,421.89,364.69,2203953.36,1905140.56,298812.80
Meat,Offline,L,7/23/2016,755387151,8/28/2016,4699,421.89,364.69,1982461.11,1713678.31,268782.80
Office Supplies,Online,M,6/24/2010,493080842,7/29/2010,2433,651.21,524.96,1584393.93,1277227.68,307166.25
