Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Cereal,Offline,L,5/28/2013,153842341,7/16/2013,4222,205.70,117.11,868465.40,494438.42,374026.98
Beverages,Online,L,10/31/2015,413457429,12/13/2015,96,47.45,31.79,4555.20,3051.84,1503.36
Cosmetics,Offline,L,9/20/2012,188806760,9/22/2012,971,437.20,263.33,424521.20,255693.43,168827.77
Vegetables,Online,L,6/29/2012,654836928,8/4/2012,9654,154.06,90.93,1487295.24,877838.22,609457.02
Household,Online,H,12/16/2014,934604632,2/1/2015,9135,668.27,502.54,6104646.45,4590702.90,1513943.55
Baby Food,Online,H,5/18/2013,621493422,7/2/2013,2570,255.28,159.42,656069.60,409709.40,246360.20
Household,Offline,M,10/5/2012,431017529,10/25/2012,6520,668.27,502.54,4357120.40,3276560.80,1080559.60
Personal Care,Offline,C,2/1/2014,690435206,3/2/2014,3975,81.73,56.67,324876.75,225263.25,99613.50
Office Supplies,Offline,H,2/5/2017,970301616,2/12/2017,2665,651.21,524.96,1735474.65,1399018.40,336456.25
Snacks,Online,H,9/1/2011,565503489,9/16/2011,3904,152.58,97.44,595672.32,380405.76,215266.56
Cosmetics,Offline,L,9/1/2011,696565663,10/18/2011,8114,437.20,263.33,3547440.80,2136659.62,1410781.18
Cosmetics,Offline,L,1/18/2011,921907269,1/25/2011,1703,437.20,263.33,744551.60,448450.99,296100.61
Cereal,Online,C,8/17/2015,277153146,8/17/2015,4630,205.70,117.11,952391.00,542219.30,410171.70
Cosmetics,Offline,L,6/7/2015,584965169,6/16/2015,3048,437.20,263.33,1332585.60,802629.84,529955.76
Baby Food,Offline,C,12/7/2012,769227349,1/23/2013,321,255.28,159.42,81944.88,51173.82,30771.06
Clothes,Online,L,12/19/2010,984365403,1/30/2011,4452,109.28,35.84,486514.56,159559.68,326954.88
Baby Food,Offline,M,10/11/2015,889254701,11/18/2015,9082,255.28,159.42,2318452.96,1447852.44,870600.52
Fruits,Online,L,2/15/2012,315006196,4/2/2012,6188,9.33,6.92,57734.04,42820.96,14913.08
Cosmetics,Offline,L,9/3/2010,272643601,10/20/2010,155,437.20,263.33,67766.00,40816.15,26949.85
Baby Food,Online,C,5/6/2015,865860259,6/22/2015,6147,255.28,159.42,1569206.16,979954.74,589251.42
Snacks,Offline,L,1/10/2017,973683774,2/14/2017,3521,152.58,97.44,537234.18,343086.24,194147.94
Clothes,Online,C,7/8/2015,435132253,7/12/2015,4158,109.28,35.84,454386.24,149022.72,305363.52
Cosmetics,Online,M,8/16/2016,835758578,9/15/2016,8391,437.20,263.33,3668545.20,2209602.03,1458943.17
Meat,Offline,C,1/3/2011,767071282,1/15/2011,2293,421.89,364.69,967393.77,836234.17,131159.60
Cosmetics,Online,M,12/21/2015,997260177,1/5/2016,302,437.20,263.33,132034.40,79525.66,52508.74
Office Supplies,Online,M,1/12/2016,811886060,3/1/2016,3982,651.21,524.96,2593118.22,2090390.72,502727.50
Cosmetics,Offline,L,2/21/2012,390613591,3/12/2012,97,437.20,263.33,42408.40,25543.01,16865.39
Beverages,Offline,M,6/27/2010,980884540,8/13/2010,4388,47.45,31.79,208210.60,139494.52,68716.08
Household,Offline,H,6/29/2012,785899102,7/16/2012,3864,668.27,502.54,2582195.28,1941814.56,640380.72
Meat,Offline,C,8/26/2011,446208703,9/26/2011,1926,421.89,364.69,812560.14,702392.94,110167.20
Clothes,Online,M,12/17/2013,816494309,1/6/2014,7665,109.28,35.84,837631.20,274713.60,562917.60
Baby Food,Offline,M,6/15/2014,324025285,6/19/2014,5137,255.28,159.42,1311373.36,818940.54,492432.82
Vegetables,Offline,H,3/9/2011,471026647,4/28/2011,6107,154.06,90.93,940844.42,555309.51,385534.91
Baby Food,Offline,C,3/31/2011,614095246,5/19/2011,3285,255.28,159.42,838594.80,523694.70,314900.10
Household,Online,M,7/10/2010,319474112,7/25/2010,8344,668.27,502.54,5576044.88,4193193.76,1382851.12
Fruits,Offline,M,3/3/2012,145020663,3/28/2012,3692,9.33,6.92,34446.36,25548.64,8897.72
Office Supplies,Online,M,6/27/2017,770495069,7/23/2017,5468,651.21,524.96,3560816.28,2870481.28,690335.00
Clothes,Offline,M,11/4/2015,354381453,12/11/2015,8202,109.28,35.84,896314.56,293959.68,602354.88
Beverages,Online,C,3/10/2015,734320008,4/3/2015,464,47.45,31.79,22016.80,14750.56,7266.24
Cereal,Offline,M,2/25/2012,244162833,4/8/2012,2063,205.70,117.11,424359.10,241597.93,182761.17
Snacks,Online,M,6/12/2011,528341376,7/23/2011,6809,152.58,97.44,1038917.22,663468.96,375448.26
Office Supplies,Offline,H,4/27/2014,446463191,6/13/2014,7234,651.21,524.96,4710853.14,3797560.64,913292.50
Fruits,Offline,C,12/24/2014,201208007,2/2/2015,775,9.33,6.92,7230.75,5363.00,1867.75
Office Supplies,Offline,L,12/19/2015,993638980,1/5/2016,8710,651.21,524.96,5672039.10,4572401.60,1099637.50
Household,Offline,M,8/6/2016,359722268,8/21/2016,8668,668.27,502.54,5792564.36,4356016.72,1436547.64
Beverages,Online,L,12/9/2015,517602670,12/11/2015,8987,47.45,31.79,426433.15,285696.73,140736.42
Baby Food,Online,L,10/26/2016,527946555,11/16/2016,9973,255.28,159.42,2545907.44,1589895.66,956011.78
Clothes,Offline,L,1/21/2015,507258784,2/23/2015,8002,109.28,35.84,874458.56,286791.68,587666.88
Vegetables,Offline,L,4/21/2013,712250363,6/4/2013,9565,154.06,90.93,1473583.90,869745.45,603838.45
Household,Online,L,3/21/2012,918722522,4/4/2012,9265,668.27,502.54,6191521.55,4656033.10,1535488.45
Baby Food,Online,L,1/15/2015,344276607,2/22/2015,7953,255.28,159.42,2030241.84,1267867.26,762374.58
Baby Food,Offline,M,10/24/2016,305888402,11/13/2016,8031,255.28,159.42,2050153.68,1280302.02,769851.66
Office Supplies,Offline,L,1/10/2010,196698462,2/14/2010,6301,651.21,524.96,4103274.21,3307772.96,795501.25
Personal Care,Offline,C,11/1/2012,165511023,11/30/2012,7245,81.73,56.67,592133.85,410574.15,181559.70
Clothes,Online,L,7/15/2012,306480634,8/8/2012,3285,109.28,35.84,358984.80,117734.40,241250.40
Vegetables,Offline,C,12/20/2016,655865609,2/3/2017,4063,154.06,90.93,625945.78,369448.59,256497.19
Cosmetics,Online,C,12/31/2015,616983878,2/10/2016,8095,437.20,263.33,3539134.00,2131656.35,1407477.65
Baby Food,Online,M,12/27/2015,260242354,1/6/2016,351,255.28,159.42,89603.28,55956.42,33646.86
Fruits,Online,L,9/7/2012,937591969,9/12/2012,3154,9.33,6.92,29426.82,21825.68,7601.14
Cereal,Online,L,8/18/2012,160268914,9/4/2012,5988,205.70,117.11,1231731.60,701254.68,530476.92
Vegetables,Offline,H,3/27/2016,948190343,5/7/2016,9448,154.06,90.93,1455558.88,859106.64,596452.24
Clothes,Online,L,9/20/2014,143893277,11/8/2014,73,109.28,35.84,7977.44,2616.32,5361.12
Baby Food,Online,C,8/29/2010,593843924,9/13/2010,469,255.28,159.42,119726.32,74767.98,44958.34
Personal Care,Offline,H,1/21/2010,541672599,2/8/2010,1814,81.73,56.67,148258.22,102799.38,45458.84
Clothes,Online,L,10/30/2016,841000688,12/11/2016,9647,109.28,35.84,1054224.16,345748.48,708475.68
Beverages,Offline,L,3/16/2011,415571868,4/28/2011,5806,47.45,31.79,275494.70,184572.74,90921.96
Office Supplies,Offline,L,5/28/2011,198755824,5/30/2011,5120,651.21,524.96,3334195.20,2687795.20,646400.00
Baby Food,Online,H,4/21/2011,888226020,5/20/2011,4672,255.28,159.42,1192668.16,744810.24,447857.92
Office Supplies,Online,H,9/17/2015,214695012,10/3/2015,1880,651.21,524.96,1224274.80,986924.80,237350.00
Cosmetics,Online,L,11/22/2016,480877006,12/25/2016,1047,437.20,263.33,457748.40,275706.51,182041.89
Cosmetics,Offline,M,3/7/2015,115454137,4/7/2015,4300,437.20,263.33,1879960.00,1132319.00,747641.00
Snacks,Online,H,9/13/2016,154434573,9/15/2016,9477,152.58,97.44,1446000.66,923438.88,522561.78
Meat,Online,L,6/3/2015,271911036,7/13/2015,3373,421.89,364.69,1423034.97,1230099.37,192935.60
Cosmetics,Offline,L,10/30/2013,545745694,11/17/2013,7133,437.20,263.33,3118547.60,1878332.89,1240214.71
Household,Offline,L,6/6/2012,289710175,7/13/2012,534,668.27,502.54,356856.18,268356.36,88499.82
Office Supplies,Online,L,10/11/2011,625961339,10/24/2011,4725,651.21,524.96,3076967.25,2480436.00,596531.25
Vegetables,Online,H,7/22/2017,676116931,8/19/2017,6880,154.06,90.93,1059932.80,625598.40,434334.40
Cosmetics,Offline,H,5/1/2014,672142541,6/16/2014,769,437.20,263.33,336206.80,202500.77,133706.03
Personal Care,Offline,H,4/24/2012,641448628,5/20/2012,7758,81.73,56.67,634061.34,439645.86,194415.48
Personal Care,Offline,H,2/4/2015,265287053,3/12/2015,3189,81.73,56.67,260636.97,180720.63,79916.34
Household,Offline,H,6/23/2013,150460183,7/14/2013,3367,668.27,502.54,2250065.09,1692052.18,558012.91
Personal Care,Offline,H,2/6/2017,795552051,2/21/2017,386,81.73,56.67,31547.78,21874.62,9673.16
Personal Care,Online,L,2/1/2015,721170747,3/8/2015,9305,81.73,56.67,760497.65,527314.35,233183.30
Vegetables,Offline,C,3/30/2014,184099805,4/13/2014,8078,154.06,90.93,1244496.68,734532.54,509964.14
Personal Care,Offline,H,3/11/2017,911464679,4/1/2017,1508,81.73,56.67,123248.84,85458.36,37790.48
Beverages,Online,L,7/19/2010,355015313,8/15/2010,5775,47.45,31.79,274023.75,183587.25,90436.50
Snacks,Offline,C,1/23/2016,982110631,3/3/2016,7215,152.58,97.44,1100864.70,703029.60,397835.10
Fruits,Offline,C,2/18/2010,672973811,3/10/2010,6761,9.33,6.92,63080.13,46786.12,16294.01
Personal Care,Online,M,11/21/2014,303732335,12/27/2014,2,81.73,56.67,163.46,113.34,50.12
Snacks,Online,L,2/3/2015,483724009,3/14/2015,3539,152.58,97.44,539980.62,344840.16,195140.46
Snacks,Online,M,9/16/2012,204195344,11/4/2012,4795,152.58,97.44,731621.10,467224.80,264396.30
Snacks,Offline,L,8/7/2010,494462716,9/3/2010,1361,152.58,97.44,207661.38,132615.84,75045.54
Cereal,Online,M,3/7/2016,455622613,3/15/2016,7711,205.70,117.11,1586152.70,903035.21,683117.49
Beverages,Online,M,9/15/2016,289117944,10/18/2016,5279,47.45,31.79,250488.55,167819.41,82669.14
Cosmetics,Online,H,11/6/2010,195035922,12/13/2010,4318,437.20,263.33,1887829.60,1137058.94,750770.66
Clothes,Online,C,8/9/2016,803838574,8/26/2016,2552,109.28,35.84,278882.56,91463.68,187418.88
Snacks,Online,L,5/12/2017,437049281,5/31/2017,1449,152.58,97.44,221088.42,141190.56,79897.86
Baby Food,Online,C,10/5/2013,814873397,10/12/2013,8001,255.28,159.42,2042495.28,1275519.42,766975.86
Cereal,Offline,M,9/4/2016,975205981,10/5/2016,3976,205.70,117.11,817863.20,465629.36,352233.84
Snacks,Offline,M,11/3/2010,519857442,11/7/2010,6224,152.58,97.44,949657.92,606466.56,343191.36
Beverages,Online,M,9/8/2016,300885331,10/8/2016,7511,47.45,31.79,356396.95,238774.69,117622.26
Household,Online,M,6/17/2017,469208323,6/19/2017,8025,668.27,502.54,5362866.75,4032883.50,1329983.25
Household,Online,L,9/24/2013,929404151,10/15/2013,197,668.27,502.54,131649.19,99000.38,32648.81
Cereal,Online,M,4/29/2011,198516786,6/1/2011,4383,205.70,117.11,901583.10,513293.13,388289.97
Clothes,Offline,C,1/6/2013,222586715,2/24/2013,7210,109.28,35.84,787908.80,258406.40,529502.40
Household,Offline,H,6/5/2010,881503331,6/13/2010,5280,668.27,502.54,3528465.60,2653411.20,875054.40
Cereal,Online,L,12/2/2014,101826798,12/3/2014,1667,205.70,117.11,342901.90,195222.37,147679.53
Cereal,Online,M,12/11/2013,566137349,12/15/2013,1477,205.70,117.11,303818.90,172971.47,130847.43
Household,Online,C,2/2/2014,603060424,2/10/2014,7836,668.27,502.54,5236563.72,3937903.44,1298660.28
Clothes,Online,L,8/18/2013,675186955,9/24/2013,1679,109.28,35.84,183481.12,60175.36,123305.76
Beverages,Online,H,1/17/2010,228618466,3/7/2010,2139,47.45,31.79,101495.55,67998.81,33496.74
Clothes,Online,C,7/21/2015,411597478,7/31/2015,9695,109.28,35.84,1059469.60,347468.80,712000.80
Cosmetics,Online,L,4/25/2011,344967544,5/4/2011,2417,437.20,263.33,1056712.40,636468.61,420243.79
Personal Care,Online,L,1/18/2014,404537045,1/20/2014,356,81.73,56.67,29095.88,20174.52,8921.36
Meat,Online,C,4/2/2017,879783713,4/30/2017,6406,421.89,364.69,2702627.34,2336204.14,366423.20
Meat,Online,H,2/20/2013,774469459,2/27/2013,1578,421.89,364.69,665742.42,575480.82,90261.60
Personal Care,Offline,M,1/2/2013,765845191,1/20/2013,9466,81.73,56.67,773656.18,536438.22,237217.96
Office Supplies,Online,C,12/7/2015,251857125,1/17/2016,8975,651.21,524.96,5844609.75,4711516.00,1133093.75
Baby Food,Online,C,2/15/2012,711813914,3/25/2012,410,255.28,159.42,104664.80,65362.20,39302.60
Cereal,Offline,C,6/21/2011,563882577,6/23/2011,4240,205.70,117.11,872168.00,496546.40,375621.60
Fruits,Online,L,8/12/2010,304324567,9/21/2010,5257,9.33,6.92,49047.81,36378.44,12669.37
Snacks,Online,H,9/7/2015,726033484,9/30/2015,8297,152.58,97.44,1265956.26,808459.68,457496.58
Clothes,Online,C,9/25/2012,811293828,11/9/2012,8727,109.28,35.84,953686.56,312775.68,640910.88
Meat,Online,H,1/10/2017,842621600,1/13/2017,9311,421.89,364.69,3928217.79,3395628.59,532589.20
Clothes,Offline,L,7/16/2013,559274327,8/16/2013,557,109.28,35.84,60868.96,19962.88,40906.08
Snacks,Offline,H,10/26/2014,616547429,12/1/2014,8940,152.58,97.44,1364065.20,871113.60,492951.60
Fruits,Offline,C,3/23/2010,788886439,4/18/2010,7883,9.33,6.92,73548.39,54550.36,18998.03
Meat,Online,L,10/7/2014,433412635,11/1/2014,5285,421.89,364.69,2229688.65,1927386.65,302302.00
Personal Care,Offline,H,3/11/2012,486373603,3/21/2012,7612,81.73,56.67,622128.76,431372.04,190756.72
Personal Care,Offline,C,10/12/2010,420476233,10/28/2010,7116,81.73,56.67,581590.68,403263.72,178326.96
Fruits,Offline,L,10/7/2015,948330676,11/20/2015,976,9.33,6.92,9106.08,6753.92,2352.16
Beverages,Online,M,10/8/2010,392177426,10/8/2010,2870,47.45,31.79,136181.50,91237.30,44944.20
Household,Online,H,12/28/2010,604089105,1/14/2011,2245,668.27,502.54,1500266.15,1128202.30,372063.85
Fruits,Offline,C,7/18/2015,911168563,8/6/2015,3881,9.33,6.92,36209.73,26856.52,9353.21
Snacks,Online,C,9/29/2014,354184043,10/1/2014,9784,152.58,97.44,1492842.72,953352.96,539489.76
Baby Food,Online,C,3/14/2014,445081317,3/18/2014,8307,255.28,159.42,2120610.96,1324301.94,796309.02
Baby Food,Offline,L,3/25/2014,286863172,4/24/2014,8042,255.28,159.42,2052961.76,1282055.64,770906.12
Clothes,Online,M,9/28/2012,355410134,11/13/2012,2612,109.28,35.84,285439.36,93614.08,191825.28
Cereal,Online,L,7/4/2011,627722585,8/2/2011,5917,205.70,117.11,1217126.90,692939.87,524187.03
Household,Online,L,2/10/2016,899499881,3/21/2016,858,668.27,502.54,573375.66,431179.32,142196.34
Fruits,Online,M,6/4/2010,615757787,7/21/2010,5267,9.33,6.92,49141.11,36447.64,12693.47
Beverages,Online,C,2/11/2015,694014775,3/25/2015,3249,47.45,31.79,154165.05,103285.71,50879.34
Household,Online,L,9/30/2012,664843070,10/17/2012,694,668.27,502.54,463779.38,348762.76,115016.62
Meat,Online,M,9/26/2010,899894702,10/4/2010,7695,421.89,364.69,3246443.55,2806289.55,440154.00
Clothes,Offline,H,11/19/2013,554130923,12/26/2013,8509,109.28,35.84,929863.52,304962.56,624900.96
Fruits,Offline,M,2/28/2010,292697513,4/15/2010,4553,9.33,6.92,42479.49,31506.76,10972.73
Clothes,Offline,M,5/16/2012,828204619,6/20/2012,3006,109.28,35.84,328495.68,107735.04,220760.64
Household,Offline,M,3/6/2017,157915437,4/24/2017,9542,668.27,502.54,6376632.34,4795236.68,1581395.66
Fruits,Offline,C,4/11/2010,840959060,4/16/2010,7329,9.33,6.92,68379.57,50716.68,17662.89
Office Supplies,Offline,M,3/17/2012,934111106,3/26/2012,3089,651.21,524.96,2011587.69,1621601.44,389986.25
Vegetables,Online,M,2/26/2012,969413268,2/27/2012,9783,154.06,90.93,1507168.98,889568.19,617600.79
Baby Food,Offline,H,3/9/2014,678906857,3/11/2014,2481,255.28,159.42,633349.68,395521.02,237828.66
Cosmetics,Offline,M,11/1/2010,428861463,12/6/2010,8492,437.20,263.33,3712702.40,2236198.36,1476504.04
Clothes,Online,M,1/7/2016,561529099,2/9/2016,7794,109.28,35.84,851728.32,279336.96,572391.36
Cosmetics,Online,L,5/27/2012,713673865,6/18/2012,811,437.20,263.33,354569.20,213560.63,141008.57
Cosmetics,Offline,L,5/24/2014,268331468,6/20/2014,4099,437.20,263.33,1792082.80,1079389.67,712693.13
Cereal,Offline,M,2/18/2017,593646514,3/21/2017,2050,205.70,117.11,421685.00,240075.50,181609.50
Vegetables,Online,C,4/15/2017,130998504,5/11/2017,4223,154.06,90.93,650595.38,383997.39,266597.99
Baby Food,Offline,C,1/3/2014,249701058,1/9/2014,947,255.28,159.42,241750.16,150970.74,90779.42
Office Supplies,Offline,C,3/14/2012,489994800,3/22/2012,9205,651.21,524.96,5994388.05,4832256.80,1162131.25
Personal Care,Online,L,5/7/2010,397081792,5/31/2010,4181,81.73,56.67,341713.13,236937.27,104775.86
Cosmetics,Online,M,2/18/2016,253478038,2/21/2016,8639,437.20,263.33,3776970.80,2274907.87,1502062.93
Household,Online,C,4/2/2016,452240455,5/2/2016,6855,668.27,502.54,4580990.85,3444911.70,1136079.15
Household,Offline,C,10/15/2013,303534924,10/16/2013,1584,668.27,502.54,1058539.68,796023.36,262516.32
Beverages,Offline,C,6/15/2011,972457683,7/27/2011,693,47.45,31.79,32882.85,22030.47,10852.38
Baby Food,Offline,H,9/30/2013,148698937,10/5/2013,2175,255.28,159.42,555234.00,346738.50,208495.50
Cosmetics,Offline,H,1/14/2015,562713563,2/24/2015,8303,437.20,263.33,3630071.60,2186428.99,1443642.61
Household,Offline,H,11/15/2016,448957002,12/4/2016,5208,668.27,502.54,3480350.16,2617228.32,863121.84
Meat,Online,H,4/27/2014,359088408,5/23/2014,1095,421.89,364.69,461969.55,399335.55,62634.00
Snacks,Offline,H,6/3/2011,318050611,7/10/2011,7098,152.58,97.44,1083012.84,691629.12,391383.72
Cereal,Offline,M,8/3/2012,774370753,9/13/2012,2369,205.70,117.11,487303.30,277433.59,209869.71
Meat,Online,M,10/16/2012,644929492,11/6/2012,7823,421.89,364.69,3300445.47,2852969.87,447475.60
Office Supplies,Offline,L,4/24/2015,255140578,4/25/2015,622,651.21,524.96,405052.62,326525.12,78527.50
Household,Online,M,11/20/2013,863563859,11/28/2013,6591,668.27,502.54,4404567.57,3312241.14,1092326.43
Household,Online,C,2/9/2015,931461513,3/20/2015,9016,668.27,502.54,6025122.32,4530900.64,1494221.68
Baby Food,Offline,H,8/8/2012,627919995,8/21/2012,4335,255.28,159.42,1106638.80,691085.70,415553.10
Cereal,Online,M,4/2/2016,495927846,5/13/2016,4925,205.70,117.11,1013072.50,576766.75,436305.75
Beverages,Offline,C,7/5/2011,124530303,7/26/2011,139,47.45,31.79,6595.55,4418.81,2176.74
Meat,Online,C,5/21/2010,770354735,6/13/2010,3940,421.89,364.69,1662246.60,1436878.60,225368.00
Clothes,Offline,C,4/2/2015,112071979,4/4/2015,3444,109.28,35.84,376360.32,123432.96,252927.36
Cereal,Offline,L,9/3/2014,666999137,9/5/2014,8722,205.70,117.11,1794115.40,1021433.42,772681.98
Clothes,Offline,C,1/15/2010,993935096,2/3/2010,6337,109.28,35.84,692507.36,227118.08,465389.28
Clothes,Online,L,5/10/2016,246952760,5/27/2016,7664,109.28,35.84,837521.92,274677.76,562844.16
Meat,Online,M,11/1/2010,844678962,11/22/2010,8130,421.89,364.69,3429965.70,2964929.70,465036.00
Office Supplies,Online,C,5/23/2011,432581365,5/23/2011,9294,651.21,524.96,6052345.74,4878978.24,1173367.50
Snacks,Offline,H,7/6/2012,686756932,8/25/2012,5492,152.58,97.44,837969.36,535140.48,302828.88
Snacks,Online,C,7/7/2010,600608241,7/29/2010,2180,152.58,97.44,332624.40,212419.20,120205.20
Cereal,Online,H,3/1/2012,910337293,4/16/2012,7889,205.70,117.11,1622767.30,923880.79,698886.51
Personal Care,Online,H,5/13/2017,218612325,5/30/2017,1100,81.73,56.67,89903.00,62337.00,27566.00
Beverages,Offline,L,5/21/2013,252984511,6/7/2013,2594,47.45,31.79,123085.30,82463.26,40622.04
Fruits,Offline,L,12/29/2010,560401713,1/4/2011,4175,9.33,6.92,38952.75,28891.00,10061.75
Meat,Online,M,6/18/2013,471660506,7/28/2013,3680,421.89,364.69,1552555.20,1342059.20,210496.00
Clothes,Online,L,4/27/2015,830319058,6/1/2015,8716,109.28,35.84,952484.48,312381.44,640103.04
Snacks,Online,M,8/17/2013,365754020,9/1/2013,3597,152.58,97.44,548830.26,350491.68,198338.58
Beverages,Offline,L,9/10/2016,522943484,10/10/2016,9453,47.45,31.79,448544.85,300510.87,148033.98
Office Supplies,Offline,C,12/17/2013,685432136,1/25/2014,3456,651.21,524.96,2250581.76,1814261.76,436320.00
Cereal,Online,C,9/20/2011,220768392,9/21/2011,9128,205.70,117.11,1877629.60,1068980.08,808649.52
Office Supplies,Offline,M,9/20/2011,351830565,10/23/2011,3338,651.21,524.96,2173738.98,1752316.48,421422.50
Cosmetics,Online,M,1/23/2011,688081729,2/2/2011,7529,437.20,263.33,3291678.80,1982611.57,1309067.23
Personal Care,Online,C,7/7/2015,522507035,8/2/2015,298,81.73,56.67,24355.54,16887.66,7467.88
Meat,Online,H,9/14/2013,584430015,10/22/2013,4684,421.89,364.69,1976132.76,1708207.96,267924.80
Vegetables,Offline,C,12/1/2010,825908219,1/18/2011,3450,154.06,90.93,531507.00,313708.50,217798.50
Baby Food,Offline,C,4/19/2011,666167867,5/17/2011,2730,255.28,159.42,696914.40,435216.60,261697.80
Clothes,Offline,L,1/1/2015,455186164,1/4/2015,8556,109.28,35.84,934999.68,306647.04,628352.64
Cosmetics,Online,H,11/26/2012,840070712,1/15/2013,4447,437.20,263.33,1944228.40,1171028.51,773199.89
Cosmetics,Offline,L,6/6/2014,332171475,6/9/2014,5776,437.20,263.33,2525267.20,1520994.08,1004273.12
Personal Care,Offline,H,7/30/2012,964508903,8/27/2012,8473,81.73,56.67,692498.29,480164.91,212333.38
Vegetables,Online,L,1/11/2011,536866939,1/23/2011,9712,154.06,90.93,1496230.72,883112.16,613118.56
Vegetables,Offline,M,5/13/2011,900232446,6/29/2011,7641,154.06,90.93,1177172.46,694796.13,482376.33
Meat,Online,M,11/27/2010,884984195,11/30/2010,5344,421.89,364.69,2254580.16,1948903.36,305676.80
Baby Food,Offline,M,2/8/2015,162523686,2/28/2015,3225,255.28,159.42,823278.00,514129.50,309148.50
Vegetables,Offline,L,4/30/2010,583598744,5/13/2010,8692,154.06,90.93,1339089.52,790363.56,548725.96
