Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Household,Offline,C,4/21/2010,504370152,6/2/2010,3191,668.27,502.54,2132449.57,1603605.14,528844.43
Cereal,Offline,L,11/7/2014,898824393,11/21/2014,967,205.70,117.11,198911.90,113245.37,85666.53
Baby Food,Online,C,10/24/2012,614152324,11/24/2012,175,255.28,159.42,44674.00,27898.50,16775.50
Personal Care,Offline,C,4/1/2014,846653068,4/19/2014,2312,81.73,56.67,188959.76,131021.04,57938.72
Cereal,Online,C,5/16/2011,706473100,5/26/2011,9944,205.70,117.11,2045480.80,1164541.84,880938.96
Office Supplies,Online,M,2/23/2010,967018163,4/11/2010,1018,651.21,524.96,662931.78,534409.28,128522.50
Cosmetics,Online,M,7/6/2013,785857474,8/7/2013,1545,437.20,263.33,675474.00,406844.85,268629.15
Meat,Offline,M,5/24/2013,368658101,5/26/2013,2979,421.89,364.69,1256810.31,1086411.51,170398.80
Personal Care,Online,H,4/3/2014,168711221,4/21/2014,4254,81.73,56.67,347679.42,241074.18,106605.24
Beverages,Online,H,6/21/2014,114877355,7/14/2014,3617,47.45,31.79,171626.65,114984.43,56642.22
Vegetables,Offline,M,1/12/2016,899260842,1/31/2016,122,154.06,90.93,18795.32,11093.46,7701.86
Snacks,Offline,L,4/27/2014,490150582,5/4/2014,5304,152.58,97.44,809284.32,516821.76,292462.56
Fruits,Online,L,6/18/2012,615674531,7/14/2012,630,9.33,6.92,5877.90,4359.60,1518.30
Office Supplies,Online,H,6/2/2012,920343434,6/29/2012,8929,651.21,524.96,5814654.09,4687367.84,1127286.25
Vegetables,Offline,C,12/30/2013,836646926,2/4/2014,1272,154.06,90.93,195964.32,115662.96,80301.36
Personal Care,Online,L,11/19/2010,302563321,12/13/2010,4065,81.73,56.67,332232.45,230363.55,101868.90
Office Supplies,Offline,C,5/1/2017,266824710,5/29/2017,8216,651.21,524.96,5350341.36,4313071.36,1037270.00
Fruits,Online,H,10/25/2015,493589818,11/11/2015,3051,9.33,6.92,28465.83,21112.92,7352.91
Household,Online,L,2/10/2011,561783587,4/1/2011,3102,668.27,502.54,2072973.54,1558879.08,514094.46
Snacks,Online,M,7/26/2016,145810306,8/8/2016,7365,152.58,97.44,1123751.70,717645.60,406106.10
Beverages,Offline,H,5/2/2016,477157104,5/19/2016,245,47.45,31.79,11625.25,7788.55,3836.70
Cosmetics,Offline,M,9/1/2013,104772508,9/25/2013,3368,437.20,263.33,1472489.60,886895.44,585594.16
Cosmetics,Online,M,3/2/2015,964524352,3/26/2015,3044,437.20,263.33,1330836.80,801576.52,529260.28
Baby Food,Offline,M,1/18/2013,417488896,1/25/2013,3097,255.28,159.42,790602.16,493723.74,296878.42
Cereal,Online,C,1/4/2010,692648351,2/19/2010,8894,205.70,117.11,1829495.80,1041576.34,787919.46
Cereal,Online,L,9/6/2015,944470441,10/1/2015,8647,205.70,117.11,1778687.90,1012650.17,766037.73
Clothes,Online,H,1/13/2016,265006387,2/13/2016,134,109.28,35.84,14643.52,4802.56,9840.96
Cereal,Offline,M,8/15/2015,670339667,9/29/2015,7259,205.70,117.11,1493176.30,850101.49,643074.81
Meat,Online,C,7/23/2012,778895747,9/2/2012,1415,421.89,364.69,596974.35,516036.35,80938.00
Fruits,Offline,H,7/7/2016,446858012,7/23/2016,4071,9.33,6.92,37982.43,28171.32,9811.11
