Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Office Supplies,Online,M,2/10/2016,198927056,3/29/2016,5791,651.21,524.96,3771157.11,3040043.36,731113.75
Snacks,Offline,L,8/29/2015,230987393,9/12/2015,3158,152.58,97.44,481847.64,307715.52,174132.12
Cosmetics,Online,H,12/30/2011,640492475,2/14/2012,4811,437.20,263.33,2103369.20,1266880.63,836488.57
Office Supplies,Offline,L,2/5/2017,685546290,2/7/2017,7237,651.21,524.96,4712806.77,3799135.52,913671.25
Vegetables,Online,L,1/16/2017,720848453,3/1/2017,3931,154.06,90.93,605609.86,357445.83,248164.03
Beverages,Online,H,4/14/2015,109593617,5/11/2015,42,47.45,31.79,1992.90,1335.18,657.72
Vegetables,Offline,H,1/3/2010,911085307,2/21/2010,9244,154.06,90.93,1424130.64,840556.92,583573.72
Personal Care,Online,L,1/2/2015,567238557,2/12/2015,7349,81.73,56.67,600633.77,416467.83,184165.94
Baby Food,Offline,H,8/19/2013,830926740,9/23/2013,8542,255.28,159.42,2180601.76,1361765.64,818836.12
Snacks,Offline,H,12/29/2012,255410516,1/12/2013,502,152.58,97.44,76595.16,48914.88,27680.28
Beverages,Online,L,3/17/2010,100081002,4/18/2010,5047,47.45,31.79,239480.15,160444.13,79036.02
Vegetables,Online,M,8/1/2012,485994231,9/7/2012,5348,154.06,90.93,823912.88,486293.64,337619.24
Fruits,Online,L,9/24/2013,316206109,9/24/2013,1269,9.33,6.92,11839.77,8781.48,3058.29
Meat,Offline,H,7/27/2017,685405957,9/15/2017,5709,421.89,364.69,2408570.01,2082015.21,326554.80
Household,Offline,L,8/3/2015,278056943,8/5/2015,2083,668.27,502.54,1392006.41,1046790.82,345215.59
Beverages,Online,L,9/4/2014,779051530,10/14/2014,7515,47.45,31.79,356586.75,238901.85,117684.90
Clothes,Online,H,9/15/2010,401227414,9/16/2010,963,109.28,35.84,105236.64,34513.92,70722.72
Baby Food,Online,L,1/21/2013,664224660,2/14/2013,7692,255.28,159.42,1963613.76,1226258.64,737355.12
Household,Offline,H,6/20/2013,936833226,6/29/2013,8625,668.27,502.54,5763828.75,4334407.50,1429421.25
Vegetables,Online,C,7/29/2012,941877925,9/3/2012,1463,154.06,90.93,225389.78,133030.59,92359.19
Cosmetics,Offline,H,9/12/2016,900741422,10/11/2016,8258,437.20,263.33,3610397.60,2174579.14,1435818.46
Baby Food,Online,H,11/17/2014,518548095,12/27/2014,8759,255.28,159.42,2235997.52,1396359.78,839637.74
Personal Care,Offline,C,2/26/2016,310075652,3/31/2016,7131,81.73,56.67,582816.63,404113.77,178702.86
Vegetables,Offline,C,3/24/2017,187357079,4/29/2017,1978,154.06,90.93,304730.68,179859.54,124871.14
Clothes,Online,C,11/2/2015,747567975,12/3/2015,831,109.28,35.84,90811.68,29783.04,61028.64
Personal Care,Online,L,7/28/2011,204901731,8/13/2011,3830,81.73,56.67,313025.90,217046.10,95979.80
Clothes,Offline,M,1/7/2015,246038234,1/29/2015,7036,109.28,35.84,768894.08,252170.24,516723.84
Vegetables,Online,M,12/25/2015,784491050,1/30/2016,7190,154.06,90.93,1107691.40,653786.70,453904.70
Snacks,Offline,H,5/11/2012,405144727,5/13/2012,183,152.58,97.44,27922.14,17831.52,10090.62
Vegetables,Online,H,2/2/2016,888636291,3/18/2016,6081,154.06,90.93,936838.86,552945.33,383893.53
Office Supplies,Offline,C,10/27/2016,596311557,12/15/2016,696,651.21,524.96,453242.16,365372.16,87870.00
Cosmetics,Online,L,2/28/2016,488446414,3/23/2016,1003,437.20,263.33,438511.60,264119.99,174391.61
Vegetables,Online,L,10/25/2016,461628186,11/12/2016,4894,154.06,90.93,753969.64,445011.42,308958.22
Cosmetics,Offline,M,8/30/2016,836901414,9/1/2016,6581,437.20,263.33,2877213.20,1732974.73,1144238.47
Cosmetics,Offline,L,6/22/2010,248391711,8/3/2010,3482,437.20,263.33,1522330.40,916915.06,605415.34
Meat,Offline,M,8/4/2013,588715970,8/22/2013,2993,421.89,364.69,1262716.77,1091517.17,171199.60
Meat,Offline,L,8/16/2016,991498363,9/13/2016,5254,421.89,364.69,2216610.06,1916081.26,300528.80
Personal Care,Offline,L,11/21/2011,580034625,1/7/2012,3990,81.73,56.67,326102.70,226113.30,99989.40
Office Supplies,Online,H,12/11/2010,973501813,1/27/2011,9675,651.21,524.96,6300456.75,5078988.00,1221468.75
Office Supplies,Offline,H,1/8/2013,644072043,1/16/2013,4085,651.21,524.96,2660192.85,2144461.60,515731.25
Beverages,Offline,H,8/29/2012,704670226,9/7/2012,6434,47.45,31.79,305293.30,204536.86,100756.44
Vegetables,Online,C,4/21/2010,988552653,4/25/2010,3553,154.06,90.93,547375.18,323074.29,224300.89
Baby Food,Online,M,8/14/2014,417545974,9/22/2014,9987,255.28,159.42,2549481.36,1592127.54,957353.82
Fruits,Offline,M,6/28/2015,289585292,7/28/2015,3578,9.33,6.92,33382.74,24759.76,8622.98
Personal Care,Online,H,1/7/2011,926432263,1/15/2011,749,81.73,56.67,61215.77,42445.83,18769.94
Snacks,Online,H,5/18/2012,480752122,6/13/2012,4091,152.58,97.44,624204.78,398627.04,225577.74
Fruits,Online,H,9/22/2014,124883496,9/27/2014,4657,9.33,6.92,43449.81,32226.44,11223.37
Clothes,Online,C,7/12/2011,224815309,7/23/2011,6701,109.28,35.84,732285.28,240163.84,492121.44
Meat,Offline,H,4/28/2013,943597543,5/13/2013,337,421.89,364.69,142176.93,122900.53,19276.40
Fruits,Offline,H,2/1/2012,669030320,3/3/2012,9794,9.33,6.92,91378.02,67774.48,23603.54
Snacks,Offline,M,2/13/2013,632543694,3/16/2013,2591,152.58,97.44,395334.78,252467.04,142867.74
Office Supplies,Offline,C,1/31/2012,272222602,3/9/2012,5572,651.21,524.96,3628542.12,2925077.12,703465.00
Beverages,Offline,L,6/13/2014,519831264,6/28/2014,8478,47.45,31.79,402281.10,269515.62,132765.48
Cereal,Offline,M,5/19/2016,612983310,6/7/2016,4238,205.70,117.11,871756.60,496312.18,375444.42
Personal Care,Online,M,10/29/2014,138032758,12/13/2014,5815,81.73,56.67,475259.95,329536.05,145723.90
Meat,Online,H,6/4/2011,517477786,7/20/2011,2031,421.89,364.69,856858.59,740685.39,116173.20
Fruits,Online,C,7/5/2014,531837689,8/6/2014,1446,9.33,6.92,13491.18,10006.32,3484.86
Household,Online,C,8/25/2011,467265117,10/13/2011,2987,668.27,502.54,1996122.49,1501086.98,495035.51
Clothes,Online,C,12/6/2011,691183221,1/7/2012,5330,109.28,35.84,582462.40,191027.20,391435.20
Meat,Online,H,3/17/2010,956393611,4/7/2010,6978,421.89,364.69,2943948.42,2544806.82,399141.60
Vegetables,Offline,L,12/21/2010,593225514,1/12/2011,7467,154.06,90.93,1150366.02,678974.31,471391.71
Baby Food,Offline,C,12/9/2016,200885713,1/27/2017,5401,255.28,159.42,1378767.28,861027.42,517739.86
Cereal,Offline,H,9/4/2015,437656962,9/23/2015,1276,205.70,117.11,262473.20,149432.36,113040.84
Vegetables,Online,M,9/30/2013,895005786,11/1/2013,956,154.06,90.93,147281.36,86929.08,60352.28
Fruits,Offline,H,1/21/2014,235455310,2/23/2014,5313,9.33,6.92,49570.29,36765.96,12804.33
Snacks,Offline,L,10/14/2015,323365247,11/9/2015,9817,152.58,97.44,1497877.86,956568.48,541309.38
Baby Food,Online,C,5/2/2016,192401778,5/14/2016,4817,255.28,159.42,1229683.76,767926.14,461757.62
Personal Care,Online,H,6/27/2015,705402791,7/13/2015,3216,81.73,56.67,262843.68,182250.72,80592.96
Beverages,Offline,C,5/27/2010,604894196,5/28/2010,490,47.45,31.79,23250.50,15577.10,7673.40
Fruits,Online,H,9/27/2013,760322415,9/28/2013,5154,9.33,6.92,48086.82,35665.68,12421.14
Personal Care,Online,H,8/6/2015,809548032,8/31/2015,2107,81.73,56.67,172205.11,119403.69,52801.42
Snacks,Offline,C,5/1/2010,564588963,5/20/2010,3276,152.58,97.44,499852.08,319213.44,180638.64
Snacks,Offline,H,4/2/2011,948205792,5/9/2011,4020,152.58,97.44,613371.60,391708.80,221662.80
Household,Offline,M,1/7/2015,333413016,2/19/2015,3176,668.27,502.54,2122425.52,1596067.04,526358.48
Beverages,Offline,M,5/7/2012,551595485,6/5/2012,8216,47.45,31.79,389849.20,261186.64,128662.56
Cosmetics,Offline,L,11/3/2014,760519826,12/10/2014,3572,437.20,263.33,1561678.40,940614.76,621063.64
Meat,Offline,H,1/19/2016,515363347,3/6/2016,6322,421.89,364.69,2667188.58,2305570.18,361618.40
Vegetables,Online,L,2/27/2015,960903155,3/25/2015,1452,154.06,90.93,223695.12,132030.36,91664.76
Beverages,Offline,L,2/1/2011,197799670,2/23/2011,2173,47.45,31.79,103108.85,69079.67,34029.18
Beverages,Online,L,6/3/2012,901333653,7/6/2012,3513,47.45,31.79,166691.85,111678.27,55013.58
Household,Online,M,12/9/2016,969823539,12/26/2016,1192,668.27,502.54,796577.84,599027.68,197550.16
Office Supplies,Offline,C,10/16/2013,415587317,11/24/2013,377,651.21,524.96,245506.17,197909.92,47596.25
Baby Food,Online,M,9/3/2014,469618594,9/21/2014,9433,255.28,159.42,2408056.24,1503808.86,904247.38
Beverages,Offline,H,6/10/2014,975714957,6/23/2014,4593,47.45,31.79,217937.85,146011.47,71926.38
Fruits,Offline,M,2/22/2013,295954787,3/11/2013,8453,9.33,6.92,78866.49,58494.76,20371.73
Cereal,Offline,C,5/9/2016,993259608,6/22/2016,6445,205.70,117.11,1325736.50,754773.95,570962.55
Snacks,Offline,L,2/19/2011,399944245,3/18/2011,1245,152.58,97.44,189962.10,121312.80,68649.30
Household,Online,L,4/3/2010,389600360,4/10/2010,259,668.27,502.54,173081.93,130157.86,42924.07
Snacks,Online,H,1/19/2015,900445306,2/15/2015,631,152.58,97.44,96277.98,61484.64,34793.34
Snacks,Offline,L,5/8/2016,355383956,5/14/2016,4865,152.58,97.44,742301.70,474045.60,268256.10
Clothes,Offline,M,6/22/2014,511685073,7/8/2014,7839,109.28,35.84,856645.92,280949.76,575696.16
Household,Online,C,5/23/2013,674469840,6/18/2013,9469,668.27,502.54,6327848.63,4758551.26,1569297.37
Cereal,Online,M,12/22/2014,769144093,1/16/2015,5684,205.70,117.11,1169198.80,665653.24,503545.56
Fruits,Offline,C,8/10/2012,105717933,8/22/2012,3140,9.33,6.92,29296.20,21728.80,7567.40
Baby Food,Online,L,7/3/2014,484529101,7/26/2014,1783,255.28,159.42,455164.24,284245.86,170918.38
Personal Care,Online,H,4/9/2017,298505675,4/30/2017,3318,81.73,56.67,271180.14,188031.06,83149.08
Personal Care,Online,H,9/28/2011,805235898,10/3/2011,6051,81.73,56.67,494548.23,342910.17,151638.06
Meat,Offline,M,7/1/2012,220009648,7/6/2012,4599,421.89,364.69,1940272.11,1677209.31,263062.80
Snacks,Online,L,3/6/2013,906674468,3/17/2013,3978,152.58,97.44,606963.24,387616.32,219346.92
Vegetables,Offline,H,5/16/2017,640097653,6/11/2017,7975,154.06,90.93,1228628.50,725166.75,503461.75
Baby Food,Offline,C,11/21/2013,931928861,12/27/2013,7314,255.28,159.42,1867117.92,1165997.88,701120.04
Fruits,Offline,C,5/12/2012,758265054,6/15/2012,6335,9.33,6.92,59105.55,43838.20,15267.35
Snacks,Offline,L,5/18/2015,819694507,5/27/2015,4675,152.58,97.44,713311.50,455532.00,257779.50
Beverages,Offline,L,3/13/2013,894907081,3/27/2013,1747,47.45,31.79,82895.15,55537.13,27358.02
Vegetables,Offline,H,9/28/2013,672947633,10/29/2013,9014,154.06,90.93,1388696.84,819643.02,569053.82
