Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Snacks,Online,L,10/10/2012,440306556,11/20/2012,5349,152.58,97.44,816150.42,521206.56,294943.86
Personal Care,Offline,H,3/5/2010,829856431,4/15/2010,1814,81.73,56.67,148258.22,102799.38,45458.84
Meat,Offline,C,2/18/2010,631333053,3/24/2010,4335,421.89,364.69,1828893.15,1580931.15,247962.00
Vegetables,Offline,H,2/27/2011,369167077,4/4/2011,3597,154.06,90.93,554153.82,327075.21,227078.61
Baby Food,Offline,H,8/1/2014,156325423,8/29/2014,9021,255.28,159.42,2302880.88,1438127.82,864753.06
Snacks,Online,M,3/17/2016,802643382,4/2/2016,8868,152.58,97.44,1353079.44,864097.92,488981.52
Baby Food,Offline,M,1/2/2013,327396714,2/11/2013,2818,255.28,159.42,719379.04,449245.56,270133.48
Cosmetics,Online,M,3/17/2015,965667188,5/3/2015,1235,437.20,263.33,539942.00,325212.55,214729.45
Meat,Offline,C,4/6/2016,723653829,4/20/2016,4104,421.89,364.69,1731436.56,1496687.76,234748.80
Snacks,Online,H,2/3/2010,476497066,3/13/2010,4925,152.58,97.44,751456.50,479892.00,271564.50
Beverages,Online,M,10/29/2016,577301776,11/2/2016,5279,47.45,31.79,250488.55,167819.41,82669.14
Cosmetics,Online,H,3/29/2011,635151660,4/15/2011,4346,437.20,263.33,1900071.20,1144432.18,755639.02
Household,Online,M,2/26/2017,278114020,4/2/2017,8974,668.27,502.54,5997054.98,4509793.96,1487261.02
Meat,Online,H,1/8/2011,951109874,2/2/2011,3402,421.89,364.69,1435269.78,1240675.38,194594.40
Cosmetics,Online,H,9/18/2010,889031112,10/1/2010,2917,437.20,263.33,1275312.40,768133.61,507178.79
Fruits,Offline,L,10/5/2010,409612643,10/26/2010,2338,9.33,6.92,21813.54,16178.96,5634.58
Fruits,Offline,H,12/22/2014,397013986,2/10/2015,4116,9.33,6.92,38402.28,28482.72,9919.56
Baby Food,Online,H,1/28/2010,313514888,3/13/2010,4877,255.28,159.42,1245000.56,777491.34,467509.22
Snacks,Offline,L,5/30/2017,597553098,7/7/2017,8095,152.58,97.44,1235135.10,788776.80,446358.30
Cosmetics,Online,L,5/31/2011,335485827,6/6/2011,6566,437.20,263.33,2870655.20,1729024.78,1141630.42
Office Supplies,Online,C,11/21/2010,636673867,12/3/2010,4800,651.21,524.96,3125808.00,2519808.00,606000.00
Snacks,Offline,C,10/25/2012,726204717,11/12/2012,8968,152.58,97.44,1368337.44,873841.92,494495.52
Beverages,Online,L,9/15/2015,366813600,10/1/2015,7150,47.45,31.79,339267.50,227298.50,111969.00
Cosmetics,Online,M,6/28/2010,851868999,8/7/2010,5822,437.20,263.33,2545378.40,1533107.26,1012271.14
Beverages,Online,L,8/24/2014,739889132,9/23/2014,8491,47.45,31.79,402897.95,269928.89,132969.06
Household,Offline,H,8/22/2011,638393485,10/4/2011,3674,668.27,502.54,2455223.98,1846331.96,608892.02
Personal Care,Offline,L,4/12/2015,149659812,5/21/2015,6519,81.73,56.67,532797.87,369431.73,163366.14
Clothes,Online,H,1/4/2013,331017911,2/11/2013,4411,109.28,35.84,482034.08,158090.24,323943.84
Vegetables,Offline,C,4/12/2016,886636006,4/20/2016,4152,154.06,90.93,639657.12,377541.36,262115.76
Household,Offline,M,10/25/2010,814805591,11/26/2010,7936,668.27,502.54,5303390.72,3988157.44,1315233.28
Office Supplies,Offline,H,11/9/2014,967189395,12/21/2014,1690,651.21,524.96,1100544.90,887182.40,213362.50
Snacks,Online,L,7/23/2015,964144980,7/23/2015,780,152.58,97.44,119012.40,76003.20,43009.20
Office Supplies,Online,H,2/13/2015,390249669,3/28/2015,2404,651.21,524.96,1565508.84,1262003.84,303505.00
Cereal,Online,L,5/12/2017,370730912,5/28/2017,6370,205.70,117.11,1310309.00,745990.70,564318.30
Clothes,Online,C,12/27/2012,120727145,1/31/2013,4700,109.28,35.84,513616.00,168448.00,345168.00
Fruits,Online,M,3/11/2010,464968717,3/22/2010,3431,9.33,6.92,32011.23,23742.52,8268.71
Beverages,Online,H,3/16/2016,493210446,4/30/2016,786,47.45,31.79,37295.70,24986.94,12308.76
Cereal,Offline,L,1/2/2015,326170623,2/18/2015,9990,205.70,117.11,2054943.00,1169928.90,885014.10
Cereal,Offline,L,9/21/2010,520522201,10/27/2010,2941,205.70,117.11,604963.70,344420.51,260543.19
Personal Care,Online,H,4/27/2012,603429067,6/5/2012,6925,81.73,56.67,565980.25,392439.75,173540.50
Baby Food,Online,M,11/14/2014,689676463,12/17/2014,9446,255.28,159.42,2411374.88,1505881.32,905493.56
Vegetables,Online,H,1/10/2014,108918130,1/11/2014,150,154.06,90.93,23109.00,13639.50,9469.50
Household,Online,M,7/24/2013,374804008,8/9/2013,1690,668.27,502.54,1129376.30,849292.60,280083.70
Meat,Online,C,2/17/2014,716255652,3/7/2014,4819,421.89,364.69,2033087.91,1757441.11,275646.80
Clothes,Offline,H,7/26/2010,170544993,8/7/2010,6908,109.28,35.84,754906.24,247582.72,507323.52
Baby Food,Offline,H,6/20/2010,728953015,6/26/2010,2251,255.28,159.42,574635.28,358854.42,215780.86
Office Supplies,Online,L,7/3/2015,583629643,7/8/2015,7836,651.21,524.96,5102881.56,4113586.56,989295.00
Cereal,Online,L,6/10/2010,209229314,7/12/2010,4458,205.70,117.11,917010.60,522076.38,394934.22
Office Supplies,Online,C,6/2/2011,382794415,6/17/2011,6229,651.21,524.96,4056387.09,3269975.84,786411.25
Meat,Online,H,10/24/2012,373084390,11/29/2012,2817,421.89,364.69,1188464.13,1027331.73,161132.40
Beverages,Online,L,4/14/2016,165006768,6/2/2016,8024,47.45,31.79,380738.80,255082.96,125655.84
Office Supplies,Online,L,6/20/2015,519789636,7/19/2015,6159,651.21,524.96,4010802.39,3233228.64,777573.75
Snacks,Offline,L,11/12/2012,556219184,12/29/2012,6472,152.58,97.44,987497.76,630631.68,356866.08
Baby Food,Online,C,9/6/2013,660941207,9/19/2013,6046,255.28,159.42,1543422.88,963853.32,579569.56
Baby Food,Online,M,6/24/2017,328425395,8/12/2017,7228,255.28,159.42,1845163.84,1152287.76,692876.08
Baby Food,Online,H,8/31/2012,641973054,9/5/2012,2948,255.28,159.42,752565.44,469970.16,282595.28
Baby Food,Offline,M,2/12/2010,599413049,3/5/2010,8496,255.28,159.42,2168858.88,1354432.32,814426.56
Cereal,Offline,L,10/20/2013,531260907,11/13/2013,763,205.70,117.11,156949.10,89354.93,67594.17
Household,Online,L,1/4/2010,979450309,1/29/2010,9967,668.27,502.54,6660647.09,5008816.18,1651830.91
Cosmetics,Offline,C,4/12/2017,414179265,4/18/2017,3703,437.20,263.33,1618951.60,975110.99,643840.61
Clothes,Offline,H,8/29/2011,539251315,9/22/2011,5302,109.28,35.84,579402.56,190023.68,389378.88
Fruits,Offline,H,12/6/2016,197264516,1/25/2017,3809,9.33,6.92,35537.97,26358.28,9179.69
Vegetables,Online,M,9/29/2012,642212092,10/24/2012,3684,154.06,90.93,567557.04,334986.12,232570.92
Beverages,Offline,H,1/28/2010,400889670,2/11/2010,1017,47.45,31.79,48256.65,32330.43,15926.22
Personal Care,Offline,L,6/10/2017,898839843,6/20/2017,5539,81.73,56.67,452702.47,313895.13,138807.34
Snacks,Offline,C,5/17/2015,312881028,5/20/2015,7304,152.58,97.44,1114444.32,711701.76,402742.56
Fruits,Online,M,6/7/2014,884718978,7/21/2014,6861,9.33,6.92,64013.13,47478.12,16535.01
Household,Offline,M,10/9/2013,645791661,11/16/2013,2958,668.27,502.54,1976742.66,1486513.32,490229.34
Beverages,Online,L,12/13/2015,701641261,12/28/2015,96,47.45,31.79,4555.20,3051.84,1503.36
Vegetables,Online,H,7/12/2016,543521821,7/20/2016,9040,154.06,90.93,1392702.40,822007.20,570695.20
Fruits,Offline,C,1/30/2015,501159226,2/7/2015,3007,9.33,6.92,28055.31,20808.44,7246.87
Cereal,Offline,M,2/25/2010,575878274,3/23/2010,4033,205.70,117.11,829588.10,472304.63,357283.47
Office Supplies,Offline,M,5/6/2017,735618627,6/21/2017,4754,651.21,524.96,3095852.34,2495659.84,600192.50
Clothes,Offline,L,12/6/2016,153577125,1/15/2017,5739,109.28,35.84,627157.92,205685.76,421472.16
Baby Food,Online,L,3/2/2017,175350654,3/20/2017,9010,255.28,159.42,2300072.80,1436374.20,863698.60
Snacks,Online,L,10/10/2016,834662091,11/26/2016,3916,152.58,97.44,597503.28,381575.04,215928.24
Cosmetics,Offline,M,6/11/2012,430061376,7/20/2012,3573,437.20,263.33,1562115.60,940878.09,621237.51
Office Supplies,Offline,M,7/14/2016,678205192,8/21/2016,4842,651.21,524.96,3153158.82,2541856.32,611302.50
Baby Food,Offline,C,9/22/2010,829955136,9/29/2010,1023,255.28,159.42,261151.44,163086.66,98064.78
Meat,Online,H,12/11/2014,995727241,1/7/2015,6673,421.89,364.69,2815271.97,2433576.37,381695.60
Clothes,Offline,L,12/2/2013,948460280,12/5/2013,9329,109.28,35.84,1019473.12,334351.36,685121.76
Fruits,Online,M,11/20/2013,250365817,12/28/2013,7664,9.33,6.92,71505.12,53034.88,18470.24
Vegetables,Offline,M,7/14/2016,765579974,7/23/2016,982,154.06,90.93,151286.92,89293.26,61993.66
Baby Food,Offline,H,5/24/2010,688647782,6/17/2010,5037,255.28,159.42,1285845.36,802998.54,482846.82
Household,Offline,C,1/6/2010,301508462,2/1/2010,1909,668.27,502.54,1275727.43,959348.86,316378.57
Baby Food,Offline,L,3/26/2016,925559365,5/14/2016,2439,255.28,159.42,622627.92,388825.38,233802.54
Cereal,Offline,C,4/16/2011,552540910,5/2/2011,7989,205.70,117.11,1643337.30,935591.79,707745.51
Household,Offline,M,1/9/2010,745624768,2/5/2010,5793,668.27,502.54,3871288.11,2911214.22,960073.89
Meat,Offline,C,7/11/2011,399564874,7/14/2011,8980,421.89,364.69,3788572.20,3274916.20,513656.00
Personal Care,Online,L,10/10/2013,955224597,10/19/2013,1040,81.73,56.67,84999.20,58936.80,26062.40
Snacks,Online,M,6/17/2013,120586812,7/19/2013,3172,152.58,97.44,483983.76,309079.68,174904.08
Cereal,Offline,L,6/12/2012,739494311,6/22/2012,1655,205.70,117.11,340433.50,193817.05,146616.45
Snacks,Offline,M,12/20/2013,691099965,12/31/2013,692,152.58,97.44,105585.36,67428.48,38156.88
Fruits,Offline,M,12/21/2011,736013448,1/5/2012,1590,9.33,6.92,14834.70,11002.80,3831.90
Clothes,Online,L,3/22/2010,263063180,4/18/2010,5096,109.28,35.84,556890.88,182640.64,374250.24
Baby Food,Online,C,6/5/2011,783223330,6/11/2011,2043,255.28,159.42,521537.04,325695.06,195841.98
Cosmetics,Online,M,6/28/2015,376960074,6/28/2015,9718,437.20,263.33,4248709.60,2559040.94,1689668.66
Personal Care,Online,M,3/16/2012,670412194,4/8/2012,8721,81.73,56.67,712767.33,494219.07,218548.26
Cosmetics,Online,M,4/5/2015,117739808,5/1/2015,680,437.20,263.33,297296.00,179064.40,118231.60
Cereal,Offline,L,5/30/2016,170009839,7/9/2016,8544,205.70,117.11,1757500.80,1000587.84,756912.96
Vegetables,Online,C,7/28/2010,348915755,7/30/2010,781,154.06,90.93,120320.86,71016.33,49304.53
Meat,Online,M,2/28/2015,588773047,4/19/2015,9883,421.89,364.69,4169538.87,3604231.27,565307.60
Cereal,Offline,M,11/20/2013,337740600,11/29/2013,3804,205.70,117.11,782482.80,445486.44,336996.36
Meat,Online,H,7/7/2016,380539643,7/20/2016,8992,421.89,364.69,3793634.88,3279292.48,514342.40
Clothes,Offline,M,2/21/2014,985622394,3/21/2014,6424,109.28,35.84,702014.72,230236.16,471778.56
Vegetables,Online,M,7/8/2016,689972579,8/12/2016,7074,154.06,90.93,1089820.44,643238.82,446581.62
Vegetables,Offline,L,7/22/2012,668889987,8/19/2012,8266,154.06,90.93,1273459.96,751627.38,521832.58
Beverages,Offline,H,11/29/2013,329594409,12/9/2013,3165,47.45,31.79,150179.25,100615.35,49563.90
Cosmetics,Online,L,9/30/2016,446000564,10/2/2016,333,437.20,263.33,145587.60,87688.89,57898.71
Snacks,Online,M,11/10/2016,641141784,12/11/2016,6956,152.58,97.44,1061346.48,677792.64,383553.84
Meat,Offline,M,3/3/2013,946740663,3/26/2013,456,421.89,364.69,192381.84,166298.64,26083.20
Meat,Online,M,1/17/2016,908549869,2/27/2016,8951,421.89,364.69,3776337.39,3264340.19,511997.20
Meat,Online,M,1/3/2011,284935414,1/26/2011,7576,421.89,364.69,3196238.64,2762891.44,433347.20
Snacks,Online,C,11/7/2016,197025477,12/7/2016,3072,152.58,97.44,468725.76,299335.68,169390.08
Beverages,Online,L,2/27/2011,325479686,3/24/2011,5527,47.45,31.79,262256.15,175703.33,86552.82
Snacks,Offline,C,7/14/2016,721892583,9/1/2016,2912,152.58,97.44,444312.96,283745.28,160567.68
Meat,Offline,C,11/20/2014,721596467,1/6/2015,5285,421.89,364.69,2229688.65,1927386.65,302302.00
Fruits,Online,H,5/24/2014,598820817,6/10/2014,3242,9.33,6.92,30247.86,22434.64,7813.22
Cosmetics,Offline,L,5/24/2011,347253215,5/27/2011,8798,437.20,263.33,3846485.60,2316777.34,1529708.26
Cereal,Offline,C,7/30/2013,494098794,7/30/2013,3668,205.70,117.11,754507.60,429559.48,324948.12
Household,Online,C,10/29/2011,611715590,12/8/2011,9092,668.27,502.54,6075910.84,4569093.68,1506817.16
Meat,Online,C,7/8/2014,294390952,8/13/2014,5680,421.89,364.69,2396335.20,2071439.20,324896.00
Office Supplies,Offline,L,5/20/2012,374367558,5/31/2012,2535,651.21,524.96,1650817.35,1330773.60,320043.75
Cosmetics,Online,H,5/4/2014,634122979,5/12/2014,9936,437.20,263.33,4344019.20,2616446.88,1727572.32
Household,Offline,M,5/6/2012,813719832,6/17/2012,6636,668.27,502.54,4434639.72,3334855.44,1099784.28
Clothes,Offline,C,10/14/2014,380004489,11/25/2014,628,109.28,35.84,68627.84,22507.52,46120.32
Clothes,Online,H,8/31/2013,169516313,9/3/2013,2499,109.28,35.84,273090.72,89564.16,183526.56
Personal Care,Offline,L,7/9/2010,737338244,8/4/2010,3627,81.73,56.67,296434.71,205542.09,90892.62
Baby Food,Offline,H,1/2/2010,273209655,1/13/2010,7663,255.28,159.42,1956210.64,1221635.46,734575.18
Meat,Offline,L,4/14/2014,713112533,4/24/2014,4700,421.89,364.69,1982883.00,1714043.00,268840.00
Fruits,Online,C,3/20/2015,422408711,4/16/2015,8979,9.33,6.92,83774.07,62134.68,21639.39
Fruits,Offline,C,6/25/2010,320377910,7/12/2010,5798,9.33,6.92,54095.34,40122.16,13973.18
Beverages,Online,L,9/3/2013,526257836,10/7/2013,243,47.45,31.79,11530.35,7724.97,3805.38
Cereal,Online,H,12/5/2012,877658545,1/10/2013,7522,205.70,117.11,1547275.40,880901.42,666373.98
Clothes,Online,L,5/10/2017,632855260,6/8/2017,4790,109.28,35.84,523451.20,171673.60,351777.60
Household,Online,L,5/31/2010,545818221,7/16/2010,8596,668.27,502.54,5744448.92,4319833.84,1424615.08
Cereal,Offline,M,3/27/2013,499242198,5/10/2013,5716,205.70,117.11,1175781.20,669400.76,506380.44
Vegetables,Online,L,5/25/2015,566859185,6/12/2015,5085,154.06,90.93,783395.10,462379.05,321016.05
Cereal,Offline,M,3/3/2015,989201962,4/13/2015,5698,205.70,117.11,1172078.60,667292.78,504785.82
Snacks,Online,M,4/13/2017,283117091,5/8/2017,9494,152.58,97.44,1448594.52,925095.36,523499.16
Fruits,Online,H,7/22/2014,755038678,7/27/2014,1578,9.33,6.92,14722.74,10919.76,3802.98
Personal Care,Online,C,5/25/2014,951941144,7/13/2014,9394,81.73,56.67,767771.62,532357.98,235413.64
Vegetables,Offline,M,2/16/2015,921740758,3/3/2015,2428,154.06,90.93,374057.68,220778.04,153279.64
Vegetables,Offline,H,4/20/2012,789946019,5/17/2012,1436,154.06,90.93,221230.16,130575.48,90654.68
Snacks,Online,M,10/31/2014,800586020,12/19/2014,49,152.58,97.44,7476.42,4774.56,2701.86
Clothes,Offline,C,11/7/2013,230213201,11/29/2013,4057,109.28,35.84,443348.96,145402.88,297946.08
Personal Care,Online,M,10/6/2011,202901446,11/5/2011,1902,81.73,56.67,155450.46,107786.34,47664.12
