Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Household,Online,C,9/28/2011,520480573,9/28/2011,623,668.27,502.54,416332.21,313082.42,103249.79
Personal Care,Offline,L,10/22/2012,678896129,10/31/2012,9306,81.73,56.67,760579.38,527371.02,233208.36
Baby Food,Offline,H,7/29/2010,833098256,8/13/2010,1142,255.28,159.42,291529.76,182057.64,109472.12
Office Supplies,Online,M,2/18/2016,211837279,3/6/2016,6213,651.21,524.96,4045967.73,3261576.48,784391.25
Beverages,Offline,L,11/19/2015,598638856,12/17/2015,9395,47.45,31.79,445792.75,298667.05,147125.70
Vegetables,Online,H,6/10/2015,174815499,7/26/2015,646,154.06,90.93,99522.76,58740.78,40781.98
Meat,Offline,C,4/26/2015,522932755,6/2/2015,6278,421.89,364.69,2648625.42,2289523.82,359101.60
Household,Online,C,9/8/2014,522595012,10/28/2014,6332,668.27,502.54,4231485.64,3182083.28,1049402.36
Snacks,Online,C,6/2/2013,449933326,7/22/2013,4124,152.58,97.44,629239.92,401842.56,227397.36
Fruits,Online,L,6/22/2013,830448663,8/6/2013,7069,9.33,6.92,65953.77,48917.48,17036.29
Office Supplies,Offline,M,2/26/2013,983185660,4/4/2013,5340,651.21,524.96,3477461.40,2803286.40,674175.00
Baby Food,Offline,H,7/18/2016,793878781,8/11/2016,5228,255.28,159.42,1334603.84,833447.76,501156.08
Cereal,Offline,L,9/3/2011,745920884,10/2/2011,3420,205.70,117.11,703494.00,400516.20,302977.80
Cosmetics,Offline,M,4/21/2012,286753737,5/11/2012,5658,437.20,263.33,2473677.60,1489921.14,983756.46
Office Supplies,Offline,C,5/28/2011,331864631,6/5/2011,4974,651.21,524.96,3239118.54,2611151.04,627967.50
Meat,Offline,L,7/3/2014,243461167,8/1/2014,4425,421.89,364.69,1866863.25,1613753.25,253110.00
Personal Care,Offline,H,3/3/2013,661985337,3/21/2013,5027,81.73,56.67,410856.71,284880.09,125976.62
Vegetables,Offline,M,9/11/2016,921797835,10/29/2016,9319,154.06,90.93,1435685.14,847376.67,588308.47
Cosmetics,Online,M,1/5/2014,430118453,1/25/2014,463,437.20,263.33,202423.60,121921.79,80501.81
Personal Care,Offline,M,4/17/2012,786324822,5/16/2012,9844,81.73,56.67,804550.12,557859.48,246690.64
Clothes,Online,H,9/29/2010,402370250,10/23/2010,9153,109.28,35.84,1000239.84,328043.52,672196.32
Baby Food,Offline,H,1/1/2016,159525620,1/19/2016,6031,255.28,159.42,1539593.68,961462.02,578131.66
Household,Offline,M,11/27/2014,337698972,12/20/2014,1485,668.27,502.54,992380.95,746271.90,246109.05
Beverages,Offline,M,9/14/2016,422226750,10/22/2016,5133,47.45,31.79,243560.85,163178.07,80382.78
Cereal,Offline,M,9/1/2014,578049790,9/8/2014,6633,205.70,117.11,1364408.10,776790.63,587617.47
Fruits,Online,M,3/26/2010,466111552,4/28/2010,1621,9.33,6.92,15123.93,11217.32,3906.61
Office Supplies,Offline,L,4/13/2017,854674375,4/22/2017,5995,651.21,524.96,3904003.95,3147135.20,756868.75
Baby Food,Offline,M,7/18/2014,485671937,9/2/2014,9974,255.28,159.42,2546162.72,1590055.08,956107.64
Cosmetics,Online,H,2/9/2012,681940543,3/30/2012,216,437.20,263.33,94435.20,56879.28,37555.92
Household,Online,C,10/31/2016,296167647,12/18/2016,1443,668.27,502.54,964313.61,725165.22,239148.39
Cereal,Offline,L,12/21/2010,792652690,1/21/2011,2400,205.70,117.11,493680.00,281064.00,212616.00
Cosmetics,Offline,M,4/28/2011,922192656,5/14/2011,6155,437.20,263.33,2690966.00,1620796.15,1070169.85
Cereal,Online,H,8/7/2016,758576619,9/8/2016,8534,205.70,117.11,1755443.80,999416.74,756027.06
Beverages,Online,M,2/21/2015,359472501,2/23/2015,4756,47.45,31.79,225672.20,151193.24,74478.96
Beverages,Online,M,8/15/2013,189429891,10/4/2013,5369,47.45,31.79,254759.05,170680.51,84078.54
Personal Care,Online,C,3/12/2010,533333718,4/19/2010,4154,81.73,56.67,339506.42,235407.18,104099.24
Office Supplies,Offline,H,12/2/2016,871585166,12/2/2016,274,651.21,524.96,178431.54,143839.04,34592.50
Household,Online,H,6/19/2011,431245839,8/5/2011,4082,668.27,502.54,2727878.14,2051368.28,676509.86
Cereal,Online,M,2/1/2014,779856622,2/26/2014,5759,205.70,117.11,1184626.30,674436.49,510189.81
Beverages,Offline,C,1/22/2011,380695426,2/3/2011,5091,47.45,31.79,241567.95,161842.89,79725.06
Beverages,Offline,L,6/29/2014,743032252,8/6/2014,8610,47.45,31.79,408544.50,273711.90,134832.60
Cosmetics,Offline,L,2/4/2015,354708468,3/8/2015,4973,437.20,263.33,2174195.60,1309540.09,864655.51
Cereal,Online,L,2/18/2013,641832721,2/20/2013,1420,205.70,117.11,292094.00,166296.20,125797.80
Vegetables,Online,M,6/24/2010,713564431,7/5/2010,8427,154.06,90.93,1298263.62,766267.11,531996.51
Beverages,Online,L,7/22/2017,678163564,7/24/2017,2524,47.45,31.79,119763.80,80237.96,39525.84
Baby Food,Online,M,2/3/2013,443309342,3/21/2013,3941,255.28,159.42,1006058.48,628274.22,377784.26
Vegetables,Online,M,3/21/2012,920769155,4/29/2012,4909,154.06,90.93,756280.54,446375.37,309905.17
Clothes,Offline,L,3/14/2013,106959474,3/15/2013,540,109.28,35.84,59011.20,19353.60,39657.60
Cosmetics,Offline,L,12/4/2012,283470284,12/13/2012,4011,437.20,263.33,1753609.20,1056216.63,697392.57
Cereal,Online,M,10/11/2015,934988725,11/2/2015,2796,205.70,117.11,575137.20,327439.56,247697.64
Clothes,Offline,L,9/16/2016,731659686,9/26/2016,3215,109.28,35.84,351335.20,115225.60,236109.60
Cereal,Offline,C,11/3/2011,224196898,11/21/2011,3699,205.70,117.11,760884.30,433189.89,327694.41
Snacks,Offline,L,4/14/2011,505232322,4/21/2011,8326,152.58,97.44,1270381.08,811285.44,459095.64
Office Supplies,Offline,C,1/15/2013,434924113,2/11/2013,2565,651.21,524.96,1670353.65,1346522.40,323831.25
Fruits,Online,H,6/24/2012,121771275,8/3/2012,3681,9.33,6.92,34343.73,25472.52,8871.21
Fruits,Offline,C,8/23/2014,870951306,9/3/2014,2701,9.33,6.92,25200.33,18690.92,6509.41
Fruits,Online,H,12/25/2010,249394214,1/5/2011,145,9.33,6.92,1352.85,1003.40,349.45
Cereal,Online,C,8/11/2012,217770326,9/30/2012,1934,205.70,117.11,397823.80,226490.74,171333.06
Beverages,Offline,C,7/27/2010,698414885,9/1/2010,5340,47.45,31.79,253383.00,169758.60,83624.40
Household,Offline,H,1/17/2011,789270532,1/19/2011,1545,668.27,502.54,1032477.15,776424.30,256052.85
Office Supplies,Online,C,7/18/2015,869527804,8/20/2015,1455,651.21,524.96,947510.55,763816.80,183693.75
Personal Care,Offline,H,4/29/2016,935087430,6/8/2016,2005,81.73,56.67,163868.65,113623.35,50245.30
Snacks,Offline,C,4/1/2010,410656774,4/27/2010,1320,152.58,97.44,201405.60,128620.80,72784.80
Office Supplies,Online,H,7/8/2012,910861718,8/1/2012,3079,651.21,524.96,2005075.59,1616351.84,388723.75
Household,Online,C,7/26/2012,566126620,8/6/2012,8302,668.27,502.54,5547977.54,4172087.08,1375890.46
Clothes,Online,M,8/5/2012,998475539,8/20/2012,9955,109.28,35.84,1087882.40,356787.20,731095.20
