Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Household,Offline,M,7/16/2014,747796285,7/24/2014,8393,668.27,502.54,5608790.11,4217818.22,1390971.89
Cereal,Online,C,4/26/2013,108341348,6/9/2013,9467,205.70,117.11,1947361.90,1108680.37,838681.53
Office Supplies,Online,C,7/19/2011,499849879,9/1/2011,5542,651.21,524.96,3609005.82,2909328.32,699677.50
Vegetables,Online,H,1/9/2015,470143020,2/26/2015,4622,154.06,90.93,712065.32,420278.46,291786.86
Beverages,Offline,C,4/14/2013,441309058,4/24/2013,2012,47.45,31.79,95469.40,63961.48,31507.92
Cosmetics,Online,M,9/30/2016,161245238,11/17/2016,4904,437.20,263.33,2144028.80,1291370.32,852658.48
Vegetables,Offline,H,3/7/2011,382077300,3/12/2011,4019,154.06,90.93,619167.14,365447.67,253719.47
Personal Care,Online,M,7/31/2012,134920537,8/29/2012,4840,81.73,56.67,395573.20,274282.80,121290.40
Cosmetics,Offline,C,3/9/2014,352510774,3/20/2014,4626,437.20,263.33,2022487.20,1218164.58,804322.62
Cosmetics,Online,M,5/5/2012,287896573,6/16/2012,3849,437.20,263.33,1682782.80,1013557.17,669225.63
Vegetables,Offline,M,8/4/2016,754955422,9/7/2016,6941,154.06,90.93,1069330.46,631145.13,438185.33
Fruits,Online,C,11/5/2012,326918637,12/25/2012,1344,9.33,6.92,12539.52,9300.48,3239.04
Snacks,Online,C,12/9/2010,312995183,12/26/2010,1085,152.58,97.44,165549.30,105722.40,59826.90
Meat,Offline,H,8/16/2015,169194018,8/28/2015,7125,421.89,364.69,3005966.25,2598416.25,407550.00
Personal Care,Online,L,10/2/2014,428216874,10/4/2014,7744,81.73,56.67,632917.12,438852.48,194064.64
Meat,Offline,M,8/24/2011,972504031,9/24/2011,4409,421.89,364.69,1860113.01,1607918.21,252194.80
Beverages,Online,M,1/24/2013,626205098,3/2/2013,6859,47.45,31.79,325459.55,218047.61,107411.94
Fruits,Online,M,11/27/2015,939991796,12/10/2015,3316,9.33,6.92,30938.28,22946.72,7991.56
Meat,Offline,L,7/1/2017,975590074,7/7/2017,7637,421.89,364.69,3221973.93,2785137.53,436836.40
Fruits,Offline,H,3/20/2016,193066537,5/3/2016,1533,9.33,6.92,14302.89,10608.36,3694.53
Household,Online,L,5/23/2015,191107881,7/6/2015,1924,668.27,502.54,1285751.48,966886.96,318864.52
Personal Care,Online,C,3/1/2016,494114243,4/17/2016,8240,81.73,56.67,673455.20,466960.80,206494.40
Meat,Online,C,10/25/2012,925631892,11/20/2012,3901,421.89,364.69,1645792.89,1422655.69,223137.20
Clothes,Online,C,10/27/2015,805069386,11/9/2015,6777,109.28,35.84,740590.56,242887.68,497702.88
Office Supplies,Offline,C,5/7/2013,981185376,5/8/2013,3412,651.21,524.96,2221928.52,1791163.52,430765.00
Meat,Offline,C,1/17/2017,679207694,1/24/2017,1505,421.89,364.69,634944.45,548858.45,86086.00
Cosmetics,Online,L,3/3/2016,672485005,4/9/2016,2112,437.20,263.33,923366.40,556152.96,367213.44
