Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Snacks,Online,L,9/8/2013,710296428,10/25/2013,1352,152.58,97.44,206288.16,131738.88,74549.28
Baby Food,Online,H,11/25/2016,270154511,12/22/2016,3578,255.28,159.42,913391.84,570404.76,342987.08
Personal Care,Offline,L,1/25/2013,210387599,3/16/2013,7221,81.73,56.67,590172.33,409214.07,180958.26
Clothes,Offline,M,7/29/2013,471467816,8/5/2013,6659,109.28,35.84,727695.52,238658.56,489036.96
Office Supplies,Online,L,12/27/2015,152283227,1/17/2016,2846,651.21,524.96,1853343.66,1494036.16,359307.50
Snacks,Offline,H,10/21/2014,698726451,11/24/2014,7539,152.58,97.44,1150300.62,734600.16,415700.46
Clothes,Online,H,4/25/2015,456614387,5/30/2015,1199,109.28,35.84,131026.72,42972.16,88054.56
Snacks,Offline,C,2/16/2013,309768807,3/26/2013,6329,152.58,97.44,965678.82,616697.76,348981.06
Fruits,Online,H,10/4/2010,827476775,11/5/2010,7621,9.33,6.92,71103.93,52737.32,18366.61
Snacks,Online,C,8/24/2015,510546958,10/10/2015,1045,152.58,97.44,159446.10,101824.80,57621.30
Beverages,Online,C,10/2/2016,867485892,10/14/2016,7208,47.45,31.79,342019.60,229142.32,112877.28
Clothes,Online,L,6/23/2013,526683557,8/8/2013,6223,109.28,35.84,680049.44,223032.32,457017.12
Office Supplies,Offline,H,4/28/2014,516874825,6/16/2014,3602,651.21,524.96,2345658.42,1890905.92,454752.50
Office Supplies,Online,C,5/10/2015,611450374,6/9/2015,608,651.21,524.96,395935.68,319175.68,76760.00
Office Supplies,Offline,C,10/12/2015,190728509,11/1/2015,9659,651.21,524.96,6290037.39,5070588.64,1219448.75
Cereal,Offline,C,3/4/2014,388955771,3/29/2014,9511,205.70,117.11,1956412.70,1113833.21,842579.49
Vegetables,Online,M,6/18/2013,716821706,7/21/2013,2327,154.06,90.93,358497.62,211594.11,146903.51
Personal Care,Offline,C,6/5/2014,224212348,6/19/2014,8271,81.73,56.67,675988.83,468717.57,207271.26
Snacks,Online,M,5/30/2015,707210385,6/19/2015,8124,152.58,97.44,1239559.92,791602.56,447957.36
Cosmetics,Offline,H,9/20/2013,905198609,9/24/2013,7239,437.20,263.33,3164890.80,1906245.87,1258644.93
Fruits,Online,L,8/25/2016,216460978,9/29/2016,4469,9.33,6.92,41695.77,30925.48,10770.29
Meat,Offline,L,9/25/2013,187190568,11/7/2013,2704,421.89,364.69,1140790.56,986121.76,154668.80
Personal Care,Online,L,9/27/2014,377287089,11/11/2014,6489,81.73,56.67,530345.97,367731.63,162614.34
Cereal,Offline,H,7/6/2014,974379432,7/15/2014,9382,205.70,117.11,1929877.40,1098726.02,831151.38
Cereal,Offline,L,8/25/2015,951042068,10/14/2015,3337,205.70,117.11,686420.90,390796.07,295624.83
Cereal,Offline,C,4/9/2017,387927091,4/25/2017,5102,205.70,117.11,1049481.40,597495.22,451986.18
Office Supplies,Offline,M,2/2/2016,934370315,3/2/2016,9795,651.21,524.96,6378601.95,5141983.20,1236618.75
Baby Food,Offline,M,7/4/2017,278638446,7/17/2017,4163,255.28,159.42,1062730.64,663665.46,399065.18
Baby Food,Offline,C,6/15/2011,733436381,7/6/2011,8979,255.28,159.42,2292159.12,1431432.18,860726.94
Meat,Offline,M,12/2/2012,807718980,1/6/2013,850,421.89,364.69,358606.50,309986.50,48620.00
Office Supplies,Online,L,4/18/2014,897151124,5/11/2014,5809,651.21,524.96,3782878.89,3049492.64,733386.25
Personal Care,Online,C,8/3/2011,326243150,8/27/2011,1453,81.73,56.67,118753.69,82341.51,36412.18
Vegetables,Online,H,2/26/2017,280160653,3/6/2017,4618,154.06,90.93,711449.08,419914.74,291534.34
Office Supplies,Online,L,4/1/2015,222549808,4/17/2015,6288,651.21,524.96,4094808.48,3300948.48,793860.00
Baby Food,Offline,C,6/2/2014,723783433,6/26/2014,2457,255.28,159.42,627222.96,391694.94,235528.02
Cereal,Offline,L,1/31/2012,274269235,2/12/2012,1216,205.70,117.11,250131.20,142405.76,107725.44
Cereal,Online,H,1/31/2013,242307603,2/13/2013,3059,205.70,117.11,629236.30,358239.49,270996.81
Vegetables,Offline,C,8/20/2010,362968814,10/3/2010,9393,154.06,90.93,1447085.58,854105.49,592980.09
Vegetables,Online,M,7/8/2013,768894326,7/20/2013,1773,154.06,90.93,273148.38,161218.89,111929.49
Cereal,Offline,H,5/28/2014,870234191,5/28/2014,490,205.70,117.11,100793.00,57383.90,43409.10
Vegetables,Offline,M,7/4/2016,663720405,8/18/2016,8472,154.06,90.93,1305196.32,770358.96,534837.36
Vegetables,Offline,M,1/24/2015,756041181,2/17/2015,8241,154.06,90.93,1269608.46,749354.13,520254.33
Meat,Online,H,9/17/2014,844938170,10/28/2014,4836,421.89,364.69,2040260.04,1763640.84,276619.20
Cosmetics,Online,M,5/6/2016,594877326,6/2/2016,6275,437.20,263.33,2743430.00,1652395.75,1091034.25
Cosmetics,Online,L,8/29/2013,409009683,9/22/2013,3909,437.20,263.33,1709014.80,1029356.97,679657.83
Beverages,Online,C,4/25/2016,337277972,5/9/2016,6902,47.45,31.79,327499.90,219414.58,108085.32
Vegetables,Online,C,6/12/2015,727363002,7/19/2015,1731,154.06,90.93,266677.86,157399.83,109278.03
Baby Food,Offline,L,4/24/2016,927845036,6/6/2016,8820,255.28,159.42,2251569.60,1406084.40,845485.20
Household,Online,L,3/2/2017,462152612,4/19/2017,83,668.27,502.54,55466.41,41710.82,13755.59
Household,Online,H,11/3/2011,795754182,11/5/2011,201,668.27,502.54,134322.27,101010.54,33311.73
Vegetables,Offline,H,3/11/2017,256625878,3/25/2017,155,154.06,90.93,23879.30,14094.15,9785.15
Snacks,Offline,M,1/27/2015,343844878,3/5/2015,195,152.58,97.44,29753.10,19000.80,10752.30
Clothes,Online,L,3/15/2016,998449361,4/10/2016,2208,109.28,35.84,241290.24,79134.72,162155.52
Snacks,Offline,C,11/14/2010,209992778,12/15/2010,384,152.58,97.44,58590.72,37416.96,21173.76
Snacks,Offline,M,8/20/2010,319281423,9/22/2010,1323,152.58,97.44,201863.34,128913.12,72950.22
Household,Online,C,11/12/2013,414251792,12/17/2013,5166,668.27,502.54,3452282.82,2596121.64,856161.18
Cosmetics,Offline,C,2/15/2012,472792613,3/4/2012,8696,437.20,263.33,3801891.20,2289917.68,1511973.52
Beverages,Offline,C,9/12/2010,815470349,9/26/2010,4653,47.45,31.79,220784.85,147918.87,72865.98
Clothes,Online,H,1/14/2017,675586497,1/23/2017,9912,109.28,35.84,1083183.36,355246.08,727937.28
Cosmetics,Online,L,8/25/2011,556686532,10/8/2011,4770,437.20,263.33,2085444.00,1256084.10,829359.90
Baby Food,Online,H,7/6/2011,107567155,7/7/2011,366,255.28,159.42,93432.48,58347.72,35084.76
Meat,Offline,M,3/13/2017,391309249,4/27/2017,5957,421.89,364.69,2513198.73,2172458.33,340740.40
Cosmetics,Online,H,3/12/2014,599246537,4/9/2014,9222,437.20,263.33,4031858.40,2428429.26,1603429.14
Clothes,Offline,L,3/6/2014,479951751,4/19/2014,7243,109.28,35.84,791515.04,259589.12,531925.92
Beverages,Online,M,4/30/2012,696471679,6/1/2012,302,47.45,31.79,14329.90,9600.58,4729.32
Cosmetics,Online,M,9/12/2016,133850228,10/17/2016,8112,437.20,263.33,3546566.40,2136132.96,1410433.44
Household,Offline,L,3/20/2015,883960235,5/7/2015,2332,668.27,502.54,1558405.64,1171923.28,386482.36
Fruits,Offline,M,1/22/2010,196266734,2/25/2010,8543,9.33,6.92,79706.19,59117.56,20588.63
Snacks,Online,L,3/25/2013,191855895,5/11/2013,3278,152.58,97.44,500157.24,319408.32,180748.92
Fruits,Offline,H,7/9/2016,517269647,7/26/2016,438,9.33,6.92,4086.54,3030.96,1055.58
Fruits,Online,L,11/23/2011,804139411,12/15/2011,1576,9.33,6.92,14704.08,10905.92,3798.16
Cosmetics,Online,C,4/26/2015,722359931,6/11/2015,1211,437.20,263.33,529449.20,318892.63,210556.57
Household,Online,H,2/1/2016,537562596,3/9/2016,5573,668.27,502.54,3724268.71,2800655.42,923613.29
Snacks,Offline,L,10/14/2016,709267747,11/21/2016,6943,152.58,97.44,1059362.94,676525.92,382837.02
Baby Food,Online,L,8/29/2010,442197406,9/14/2010,4894,255.28,159.42,1249340.32,780201.48,469138.84
Snacks,Online,M,12/8/2015,453330934,1/1/2016,9552,152.58,97.44,1457444.16,930746.88,526697.28
Fruits,Online,L,6/29/2016,897545945,8/11/2016,2645,9.33,6.92,24677.85,18303.40,6374.45
Vegetables,Offline,M,1/29/2010,184499347,3/6/2010,6312,154.06,90.93,972426.72,573950.16,398476.56
Cosmetics,Offline,H,2/24/2012,683083379,3/17/2012,8406,437.20,263.33,3675103.20,2213551.98,1461551.22
Cosmetics,Offline,H,6/17/2010,527951276,7/11/2010,1370,437.20,263.33,598964.00,360762.10,238201.90
Baby Food,Online,C,7/11/2016,520890843,7/27/2016,2031,255.28,159.42,518473.68,323782.02,194691.66
Baby Food,Offline,M,9/15/2010,272211873,10/30/2010,2397,255.28,159.42,611906.16,382129.74,229776.42
Office Supplies,Online,M,2/28/2017,414844024,4/8/2017,420,651.21,524.96,273508.20,220483.20,53025.00
Household,Offline,C,4/12/2017,788356006,4/19/2017,916,668.27,502.54,612135.32,460326.64,151808.68
Clothes,Offline,H,5/21/2015,496919620,6/7/2015,8413,109.28,35.84,919372.64,301521.92,617850.72
Cereal,Offline,M,10/10/2013,429401338,10/20/2013,8253,205.70,117.11,1697642.10,966508.83,731133.27
Cereal,Offline,L,10/1/2014,865090787,10/7/2014,8443,205.70,117.11,1736725.10,988759.73,747965.37
Beverages,Online,C,9/18/2010,803702962,10/5/2010,2421,47.45,31.79,114876.45,76963.59,37912.86
