Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Office Supplies,Online,M,12/28/2015,792205512,1/30/2016,70,651.21,524.96,45584.70,36747.20,8837.50
Meat,Online,C,2/5/2013,470033586,3/14/2013,2238,421.89,364.69,944189.82,816176.22,128013.60
Vegetables,Online,M,12/11/2013,285475289,1/28/2014,7337,154.06,90.93,1130338.22,667153.41,463184.81
Baby Food,Online,H,8/30/2010,182119691,9/26/2010,2118,255.28,159.42,540683.04,337651.56,203031.48
Beverages,Offline,C,12/11/2016,295974957,12/27/2016,4422,47.45,31.79,209823.90,140575.38,69248.52
Clothes,Online,L,6/4/2011,806326377,7/23/2011,8748,109.28,35.84,955981.44,313528.32,642453.12
Fruits,Offline,H,4/19/2010,417467439,5/9/2010,6747,9.33,6.92,62949.51,46689.24,16260.27
Beverages,Online,M,5/9/2012,646684730,6/25/2012,7237,47.45,31.79,343395.65,230064.23,113331.42
Personal Care,Offline,L,6/30/2016,768530404,8/4/2016,4080,81.73,56.67,333458.40,231213.60,102244.80
Household,Online,C,3/28/2016,580153501,4/10/2016,9168,668.27,502.54,6126699.36,4607286.72,1519412.64
Office Supplies,Offline,C,8/8/2016,344805753,8/28/2016,4539,651.21,524.96,2955842.19,2382793.44,573048.75
Office Supplies,Offline,C,4/25/2016,711454713,5/10/2016,4114,651.21,524.96,2679077.94,2159685.44,519392.50
Personal Care,Offline,M,9/19/2012,411336982,9/22/2012,2609,81.73,56.67,213233.57,147852.03,65381.54
Snacks,Offline,H,3/19/2013,534112632,4/22/2013,4652,152.58,97.44,709802.16,453290.88,256511.28
Clothes,Offline,H,6/21/2016,161431920,7/30/2016,147,109.28,35.84,16064.16,5268.48,10795.68
Personal Care,Offline,M,9/2/2013,636735665,10/19/2013,3088,81.73,56.67,252382.24,174996.96,77385.28
Office Supplies,Online,L,5/8/2012,380939185,6/13/2012,7225,651.21,524.96,4704992.25,3792836.00,912156.25
Meat,Offline,C,3/20/2012,372314918,5/6/2012,5113,421.89,364.69,2157123.57,1864659.97,292463.60
Baby Food,Online,C,7/12/2017,906793344,8/9/2017,9156,255.28,159.42,2337343.68,1459649.52,877694.16
Cereal,Online,L,7/1/2010,331713569,7/13/2010,271,205.70,117.11,55744.70,31736.81,24007.89
Cosmetics,Online,L,12/30/2015,511071383,1/25/2016,6234,437.20,263.33,2725504.80,1641599.22,1083905.58
Cosmetics,Offline,L,7/17/2017,585593020,7/26/2017,8843,437.20,263.33,3866159.60,2328627.19,1537532.41
Personal Care,Offline,H,1/3/2011,945914113,1/5/2011,5861,81.73,56.67,479019.53,332142.87,146876.66
Personal Care,Offline,C,10/9/2014,549558293,10/19/2014,5366,81.73,56.67,438563.18,304091.22,134471.96
Cosmetics,Online,C,6/2/2011,627955615,6/10/2011,4876,437.20,263.33,2131787.20,1283997.08,847790.12
Meat,Offline,M,11/11/2013,919490706,11/27/2013,6588,421.89,364.69,2779411.32,2402577.72,376833.60
Baby Food,Offline,C,3/20/2014,414776217,4/2/2014,355,255.28,159.42,90624.40,56594.10,34030.30
Cereal,Offline,L,2/1/2014,912965428,3/3/2014,5613,205.70,117.11,1154594.10,657338.43,497255.67
Fruits,Offline,M,9/3/2010,166731107,10/5/2010,8294,9.33,6.92,77383.02,57394.48,19988.54
Baby Food,Online,M,11/19/2016,612411248,12/3/2016,4952,255.28,159.42,1264146.56,789447.84,474698.72
Cosmetics,Offline,C,9/28/2013,633353507,10/17/2013,2232,437.20,263.33,975830.40,587752.56,388077.84
Clothes,Offline,L,1/26/2010,114559781,3/2/2010,9640,109.28,35.84,1053459.20,345497.60,707961.60
Snacks,Offline,C,9/10/2010,111276328,10/4/2010,7993,152.58,97.44,1219571.94,778837.92,440734.02
Household,Offline,L,10/11/2016,992448508,10/30/2016,6423,668.27,502.54,4292298.21,3227814.42,1064483.79
Cosmetics,Online,H,3/8/2013,232825887,3/18/2013,7209,437.20,263.33,3151774.80,1898345.97,1253428.83
Snacks,Offline,H,2/27/2012,229246318,4/15/2012,7935,152.58,97.44,1210722.30,773186.40,437535.90
Household,Offline,L,5/2/2011,777788531,5/16/2011,3765,668.27,502.54,2516036.55,1892063.10,623973.45
Snacks,Offline,M,3/7/2012,439537084,3/8/2012,7645,152.58,97.44,1166474.10,744928.80,421545.30
Beverages,Online,H,9/1/2011,459590995,9/1/2011,2043,47.45,31.79,96940.35,64946.97,31993.38
Clothes,Offline,H,5/20/2012,575841367,7/3/2012,3112,109.28,35.84,340079.36,111534.08,228545.28
Office Supplies,Offline,H,6/11/2010,410703122,6/25/2010,5035,651.21,524.96,3278842.35,2643173.60,635668.75
Household,Offline,M,11/24/2012,555787456,1/8/2013,8714,668.27,502.54,5823304.78,4379133.56,1444171.22
Personal Care,Online,C,9/23/2011,602659595,11/11/2011,9221,81.73,56.67,753632.33,522554.07,231078.26
Fruits,Online,H,4/18/2014,502390038,4/22/2014,7231,9.33,6.92,67465.23,50038.52,17426.71
Beverages,Online,L,12/6/2014,221593654,1/11/2015,3341,47.45,31.79,158530.45,106210.39,52320.06
Household,Online,L,6/26/2014,828832471,7/31/2014,8801,668.27,502.54,5881444.27,4422854.54,1458589.73
Snacks,Online,M,11/16/2010,762540280,12/7/2010,1469,152.58,97.44,224140.02,143139.36,81000.66
Personal Care,Offline,L,1/2/2012,691894328,1/4/2012,5762,81.73,56.67,470928.26,326532.54,144395.72
Vegetables,Offline,C,4/29/2014,256797111,5/8/2014,826,154.06,90.93,127253.56,75108.18,52145.38
Beverages,Online,H,5/22/2017,148241031,6/5/2017,6670,47.45,31.79,316491.50,212039.30,104452.20
Household,Online,M,1/3/2014,912726390,1/13/2014,4876,668.27,502.54,3258484.52,2450385.04,808099.48
Clothes,Online,M,9/19/2016,408884799,10/6/2016,6953,109.28,35.84,759823.84,249195.52,510628.32
Fruits,Offline,M,7/28/2016,899831616,9/3/2016,9026,9.33,6.92,84212.58,62459.92,21752.66
