Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Vegetables,Offline,L,12/12/2010,561777579,12/21/2010,1325,154.06,90.93,204129.50,120482.25,83647.25
Baby Food,Offline,L,1/28/2010,777113044,3/8/2010,3874,255.28,159.42,988954.72,617593.08,371361.64
Vegetables,Online,H,11/9/2013,872182118,11/16/2013,6926,154.06,90.93,1067019.56,629781.18,437238.38
Beverages,Online,C,4/29/2010,521373641,5/8/2010,4901,47.45,31.79,232552.45,155802.79,76749.66
Cereal,Offline,C,5/15/2011,600560605,6/30/2011,8084,205.70,117.11,1662878.80,946717.24,716161.56
Clothes,Online,H,12/19/2016,681015288,12/30/2016,6412,109.28,35.84,700703.36,229806.08,470897.28
Beverages,Online,C,8/26/2013,779565227,9/21/2013,9529,47.45,31.79,452151.05,302926.91,149224.14
Household,Offline,C,7/22/2015,702492702,8/29/2015,2056,668.27,502.54,1373963.12,1033222.24,340740.88
Household,Offline,H,11/3/2015,335843741,12/17/2015,2481,668.27,502.54,1657977.87,1246801.74,411176.13
Household,Online,L,2/19/2014,414537179,4/4/2014,9618,668.27,502.54,6427420.86,4833429.72,1593991.14
Snacks,Online,M,1/26/2011,982598149,3/3/2011,1483,152.58,97.44,226276.14,144503.52,81772.62
Household,Offline,H,5/14/2016,981964290,6/30/2016,3910,668.27,502.54,2612935.70,1964931.40,648004.30
Baby Food,Offline,H,2/20/2011,713470447,4/8/2011,615,255.28,159.42,156997.20,98043.30,58953.90
Beverages,Online,H,10/10/2011,563736236,10/19/2011,934,47.45,31.79,44318.30,29691.86,14626.44
Cosmetics,Online,C,5/9/2011,524953210,5/31/2011,4175,437.20,263.33,1825310.00,1099402.75,725907.25
Household,Online,H,10/20/2010,612229287,11/15/2010,1106,668.27,502.54,739106.62,555809.24,183297.38
Office Supplies,Online,L,5/14/2010,763584411,6/9/2010,451,651.21,524.96,293695.71,236756.96,56938.75
Baby Food,Offline,M,4/9/2016,775055682,4/30/2016,5055,255.28,159.42,1290440.40,805868.10,484572.30
Clothes,Online,L,8/21/2010,761823165,8/31/2010,9259,109.28,35.84,1011823.52,331842.56,679980.96
Personal Care,Online,H,11/19/2014,875761687,12/9/2014,6199,81.73,56.67,506644.27,351297.33,155346.94
Fruits,Online,H,7/27/2015,424979770,8/26/2015,9813,9.33,6.92,91555.29,67905.96,23649.33
Baby Food,Offline,C,6/22/2015,261758553,7/7/2015,9028,255.28,159.42,2304667.84,1439243.76,865424.08
Personal Care,Online,M,6/3/2012,949114310,7/15/2012,2871,81.73,56.67,234646.83,162699.57,71947.26
Beverages,Online,H,7/2/2014,135502040,8/11/2014,6920,47.45,31.79,328354.00,219986.80,108367.20
Fruits,Offline,C,2/17/2013,708623158,2/22/2013,6195,9.33,6.92,57799.35,42869.40,14929.95
Beverages,Offline,M,6/20/2013,940926492,6/27/2013,9913,47.45,31.79,470371.85,315134.27,155237.58
Snacks,Offline,H,6/3/2016,859287345,7/7/2016,1075,152.58,97.44,164023.50,104748.00,59275.50
Beverages,Offline,L,5/1/2017,489354932,5/30/2017,9854,47.45,31.79,467572.30,313258.66,154313.64
Cereal,Online,H,8/4/2013,723871409,9/21/2013,8491,205.70,117.11,1746598.70,994381.01,752217.69
Baby Food,Offline,C,11/10/2012,623009622,12/30/2012,1247,255.28,159.42,318334.16,198796.74,119537.42
Vegetables,Online,L,8/31/2010,250484693,9/4/2010,2842,154.06,90.93,437838.52,258423.06,179415.46
Cosmetics,Offline,C,6/21/2010,427234542,7/23/2010,7050,437.20,263.33,3082260.00,1856476.50,1225783.50
Snacks,Offline,M,11/24/2010,775450503,1/4/2011,1891,152.58,97.44,288528.78,184259.04,104269.74
Vegetables,Offline,L,7/12/2011,359970748,8/23/2011,2199,154.06,90.93,338777.94,199955.07,138822.87
Personal Care,Offline,M,5/25/2015,855707776,6/15/2015,1802,81.73,56.67,147277.46,102119.34,45158.12
Office Supplies,Offline,L,12/15/2013,444836270,1/28/2014,5792,651.21,524.96,3771808.32,3040568.32,731240.00
Clothes,Online,M,1/2/2012,319764220,1/29/2012,4193,109.28,35.84,458211.04,150277.12,307933.92
Household,Online,C,10/2/2013,221157205,11/2/2013,4186,668.27,502.54,2797378.22,2103632.44,693745.78
Office Supplies,Offline,H,7/25/2014,675378358,8/25/2014,8319,651.21,524.96,5417415.99,4367142.24,1050273.75
Baby Food,Online,L,3/22/2016,945041215,5/4/2016,7551,255.28,159.42,1927619.28,1203780.42,723838.86
Baby Food,Offline,H,6/25/2013,707100951,7/4/2013,5740,255.28,159.42,1465307.20,915070.80,550236.40
Baby Food,Online,H,5/30/2017,973776471,6/11/2017,952,255.28,159.42,243026.56,151767.84,91258.72
Cosmetics,Offline,L,7/12/2013,140307700,8/27/2013,9021,437.20,263.33,3943981.20,2375499.93,1568481.27
Snacks,Online,C,2/18/2011,578787076,3/7/2011,4813,152.58,97.44,734367.54,468978.72,265388.82
Clothes,Offline,L,3/30/2014,431307637,5/1/2014,2369,109.28,35.84,258884.32,84904.96,173979.36
Cereal,Offline,L,9/26/2013,498670136,11/4/2013,6430,205.70,117.11,1322651.00,753017.30,569633.70
Household,Offline,L,4/27/2016,474007976,5/16/2016,8348,668.27,502.54,5578717.96,4195203.92,1383514.04
Vegetables,Offline,H,2/24/2016,135798156,4/6/2016,4547,154.06,90.93,700510.82,413458.71,287052.11
Fruits,Offline,M,2/14/2013,264506852,2/17/2013,2310,9.33,6.92,21552.30,15985.20,5567.10
Fruits,Offline,M,3/3/2016,433463704,3/19/2016,397,9.33,6.92,3704.01,2747.24,956.77
Cereal,Online,M,3/22/2012,265930354,4/23/2012,3556,205.70,117.11,731469.20,416443.16,315026.04
Vegetables,Online,M,5/28/2017,882780492,7/10/2017,3220,154.06,90.93,496073.20,292794.60,203278.60
Meat,Online,C,8/16/2011,523191964,8/22/2011,2984,421.89,364.69,1258919.76,1088234.96,170684.80
Meat,Offline,L,7/26/2011,249061191,8/21/2011,1596,421.89,364.69,673336.44,582045.24,91291.20
Vegetables,Online,M,8/30/2015,675575768,9/15/2015,6738,154.06,90.93,1038056.28,612686.34,425369.94
Clothes,Offline,H,2/21/2016,635369241,2/21/2016,8733,109.28,35.84,954342.24,312990.72,641351.52
Fruits,Online,H,5/24/2011,723476588,6/22/2011,1655,9.33,6.92,15441.15,11452.60,3988.55
Clothes,Offline,H,6/9/2016,934894740,6/17/2016,4984,109.28,35.84,544651.52,178626.56,366024.96
Snacks,Online,M,7/3/2014,444934976,7/14/2014,5002,152.58,97.44,763205.16,487394.88,275810.28
Vegetables,Offline,H,3/26/2010,227090251,4/8/2010,9907,154.06,90.93,1526272.42,900843.51,625428.91
Cereal,Offline,M,9/21/2014,478475892,10/29/2014,504,205.70,117.11,103672.80,59023.44,44649.36
Cosmetics,Online,H,10/24/2015,759807431,11/22/2015,2758,437.20,263.33,1205797.60,726264.14,479533.46
Clothes,Online,H,11/23/2016,640710055,12/22/2016,9198,109.28,35.84,1005157.44,329656.32,675501.12
Fruits,Offline,L,7/22/2010,233714234,8/7/2010,90,9.33,6.92,839.70,622.80,216.90
Household,Online,H,5/14/2011,334815061,6/18/2011,8072,668.27,502.54,5394275.44,4056502.88,1337772.56
Meat,Offline,M,2/11/2015,544414889,2/28/2015,3319,421.89,364.69,1400252.91,1210406.11,189846.80
Clothes,Online,C,7/17/2013,762794768,8/24/2013,6778,109.28,35.84,740699.84,242923.52,497776.32
Cosmetics,Offline,M,10/26/2015,981865584,11/24/2015,4700,437.20,263.33,2054840.00,1237651.00,817189.00
Baby Food,Online,M,3/14/2015,394581973,3/26/2015,4429,255.28,159.42,1130635.12,706071.18,424563.94
Personal Care,Offline,M,9/8/2012,372174584,10/22/2012,3585,81.73,56.67,293002.05,203161.95,89840.10
Beverages,Online,M,6/17/2010,157867801,7/9/2010,5445,47.45,31.79,258365.25,173096.55,85268.70
Office Supplies,Online,M,12/25/2015,963333880,1/20/2016,757,651.21,524.96,492965.97,397394.72,95571.25
Clothes,Offline,C,9/5/2011,400515019,10/20/2011,149,109.28,35.84,16282.72,5340.16,10942.56
Office Supplies,Online,L,1/7/2011,602082812,2/18/2011,8539,651.21,524.96,5560682.19,4482633.44,1078048.75
Beverages,Online,L,1/27/2015,389578902,2/17/2015,3909,47.45,31.79,185482.05,124267.11,61214.94
Office Supplies,Offline,C,4/2/2016,830510461,5/1/2016,5356,651.21,524.96,3487880.76,2811685.76,676195.00
Meat,Online,C,1/22/2011,800606191,3/11/2011,6018,421.89,364.69,2538934.02,2194704.42,344229.60
Meat,Offline,L,4/30/2014,784667003,6/3/2014,9258,421.89,364.69,3905857.62,3376300.02,529557.60
Personal Care,Online,C,12/10/2012,251118552,1/23/2013,415,81.73,56.67,33917.95,23518.05,10399.90
Cereal,Offline,M,4/3/2011,952299058,5/9/2011,5308,205.70,117.11,1091855.60,621619.88,470235.72
Vegetables,Offline,M,5/15/2013,511959731,6/16/2013,9116,154.06,90.93,1404410.96,828917.88,575493.08
Cosmetics,Online,L,6/29/2017,470823228,7/24/2017,5911,437.20,263.33,2584289.20,1556543.63,1027745.57
Household,Online,C,1/2/2010,320990312,1/22/2010,7021,668.27,502.54,4691923.67,3528333.34,1163590.33
Meat,Offline,C,4/28/2011,223666465,6/17/2011,6732,421.89,364.69,2840163.48,2455093.08,385070.40
Household,Offline,M,10/4/2016,719460570,10/15/2016,3226,668.27,502.54,2155839.02,1621194.04,534644.98
Vegetables,Offline,M,10/2/2011,397132861,10/18/2011,9294,154.06,90.93,1431833.64,845103.42,586730.22
Personal Care,Offline,C,10/1/2012,868363511,10/26/2012,6915,81.73,56.67,565162.95,391873.05,173289.90
Meat,Offline,M,5/9/2017,655958306,5/31/2017,1495,421.89,364.69,630725.55,545211.55,85514.00
Cereal,Online,M,4/18/2013,646404063,5/29/2013,4182,205.70,117.11,860237.40,489754.02,370483.38
Household,Online,H,6/2/2011,386887681,6/16/2011,7517,668.27,502.54,5023385.59,3777593.18,1245792.41
Cosmetics,Online,C,3/2/2014,212631642,3/11/2014,1283,437.20,263.33,560927.60,337852.39,223075.21
Office Supplies,Offline,H,5/26/2012,826198327,6/4/2012,9300,651.21,524.96,6056253.00,4882128.00,1174125.00
Baby Food,Offline,L,10/1/2011,944012534,11/4/2011,3142,255.28,159.42,802089.76,500897.64,301192.12
Office Supplies,Online,H,4/20/2014,352318084,5/20/2014,7605,651.21,524.96,4952452.05,3992320.80,960131.25
Personal Care,Offline,L,7/21/2013,703718793,8/22/2013,4884,81.73,56.67,399169.32,276776.28,122393.04
Clothes,Online,C,2/7/2013,232586848,3/20/2013,6472,109.28,35.84,707260.16,231956.48,475303.68
Beverages,Online,M,10/21/2014,744460475,11/9/2014,1253,47.45,31.79,59454.85,39832.87,19621.98
Baby Food,Offline,C,3/24/2011,519950139,4/24/2011,3655,255.28,159.42,933048.40,582680.10,350368.30
Baby Food,Offline,M,5/18/2016,879200923,6/17/2016,3946,255.28,159.42,1007334.88,629071.32,378263.56
Fruits,Online,H,7/28/2012,308095538,9/13/2012,1171,9.33,6.92,10925.43,8103.32,2822.11
Personal Care,Online,C,2/22/2010,551672732,3/4/2010,1076,81.73,56.67,87941.48,60976.92,26964.56
Office Supplies,Offline,M,4/1/2013,269509923,5/16/2013,2830,651.21,524.96,1842924.30,1485636.80,357287.50
Cosmetics,Offline,M,4/23/2016,664146125,4/29/2016,4452,437.20,263.33,1946414.40,1172345.16,774069.24
Fruits,Online,H,5/13/2017,684257113,6/19/2017,5740,9.33,6.92,53554.20,39720.80,13833.40
Cereal,Online,C,11/6/2013,824873530,12/25/2013,7263,205.70,117.11,1493999.10,850569.93,643429.17
Meat,Online,M,4/8/2014,510536229,4/11/2014,7870,421.89,364.69,3320274.30,2870110.30,450164.00
Clothes,Online,M,7/13/2012,965884768,8/12/2012,5622,109.28,35.84,614372.16,201492.48,412879.68
Vegetables,Online,C,3/20/2016,854045236,4/12/2016,9819,154.06,90.93,1512715.14,892841.67,619873.47
Baby Food,Online,H,3/28/2014,712441766,5/5/2014,6205,255.28,159.42,1584012.40,989201.10,594811.30
Snacks,Offline,H,1/8/2016,392919433,1/21/2016,2447,152.58,97.44,373363.26,238435.68,134927.58
Personal Care,Offline,C,2/18/2012,193705117,3/25/2012,504,81.73,56.67,41191.92,28561.68,12630.24
Fruits,Online,L,3/22/2010,770348727,4/24/2010,2162,9.33,6.92,20171.46,14961.04,5210.42
Cereal,Offline,L,12/12/2016,823844850,1/21/2017,2854,205.70,117.11,587067.80,334231.94,252835.86
Household,Online,H,12/12/2011,133008229,12/29/2011,8946,668.27,502.54,5978343.42,4495722.84,1482620.58
Fruits,Online,H,1/11/2012,573742377,2/21/2012,1974,9.33,6.92,18417.42,13660.08,4757.34
Cereal,Online,M,11/8/2015,233080375,12/5/2015,2517,205.70,117.11,517746.90,294765.87,222981.03
Baby Food,Offline,L,1/5/2016,674053561,1/25/2016,6283,255.28,159.42,1603924.24,1001635.86,602288.38
Vegetables,Online,M,1/9/2010,178160750,2/20/2010,580,154.06,90.93,89354.80,52739.40,36615.40
Beverages,Online,M,3/9/2013,629633605,3/12/2013,1430,47.45,31.79,67853.50,45459.70,22393.80
Cosmetics,Online,L,1/11/2011,827762162,2/21/2011,2073,437.20,263.33,906315.60,545883.09,360432.51
Meat,Online,C,11/24/2010,644388329,12/3/2010,7681,421.89,364.69,3240537.09,2801183.89,439353.20
Cereal,Online,L,12/29/2014,345652472,2/8/2015,5103,205.70,117.11,1049687.10,597612.33,452074.77
Meat,Online,M,4/23/2010,402078855,5/18/2010,2923,421.89,364.69,1233184.47,1065988.87,167195.60
Vegetables,Offline,H,10/26/2016,862529170,11/4/2016,404,154.06,90.93,62240.24,36735.72,25504.52
Personal Care,Online,L,8/28/2011,277599036,9/8/2011,6579,81.73,56.67,537701.67,372831.93,164869.74
Meat,Offline,C,11/1/2011,794179618,11/30/2011,4252,421.89,364.69,1793876.28,1550661.88,243214.40
Cosmetics,Online,M,5/1/2017,929850041,6/2/2017,2145,437.20,263.33,937794.00,564842.85,372951.15
