Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Beverages,Online,M,11/13/2014,955894076,12/28/2014,9154,47.45,31.79,434357.30,291005.66,143351.64
Cosmetics,Offline,H,2/25/2012,753495013,3/19/2012,4774,437.20,263.33,2087192.80,1257137.42,830055.38
Cosmetics,Offline,L,6/14/2010,154246604,7/8/2010,3853,437.20,263.33,1684531.60,1014610.49,669921.11
Personal Care,Offline,M,12/1/2015,685581910,1/18/2016,7777,81.73,56.67,635614.21,440722.59,194891.62
Baby Food,Offline,C,10/23/2012,595614612,11/29/2012,4454,255.28,159.42,1137017.12,710056.68,426960.44
Office Supplies,Online,M,9/20/2016,917744910,11/6/2016,9968,651.21,524.96,6491261.28,5232801.28,1258460.00
Meat,Offline,M,4/5/2010,287309062,5/17/2010,9991,421.89,364.69,4215102.99,3643617.79,571485.20
Clothes,Offline,C,6/8/2015,460042893,6/9/2015,5770,109.28,35.84,630545.60,206796.80,423748.80
Cosmetics,Online,C,8/8/2012,149877393,8/31/2012,906,437.20,263.33,396103.20,238576.98,157526.22
Baby Food,Offline,M,4/15/2014,257700908,4/27/2014,8280,255.28,159.42,2113718.40,1319997.60,793720.80
Beverages,Online,L,6/8/2011,593557250,6/27/2011,5635,47.45,31.79,267380.75,179136.65,88244.10
Office Supplies,Online,H,11/11/2013,722110164,12/13/2013,7299,651.21,524.96,4753181.79,3831683.04,921498.75
Meat,Online,C,9/24/2011,627337205,10/9/2011,1875,421.89,364.69,791043.75,683793.75,107250.00
Office Supplies,Online,H,5/20/2015,892152774,6/24/2015,6686,651.21,524.96,4353990.06,3509882.56,844107.50
Household,Online,C,12/24/2015,281770837,1/21/2016,1107,668.27,502.54,739774.89,556311.78,183463.11
Cosmetics,Online,M,1/18/2012,871407926,2/2/2012,7825,437.20,263.33,3421090.00,2060557.25,1360532.75
Household,Online,M,11/6/2011,188223969,11/10/2011,8510,668.27,502.54,5686977.70,4276615.40,1410362.30
Personal Care,Offline,L,8/1/2014,291480863,8/9/2014,4519,81.73,56.67,369337.87,256091.73,113246.14
Snacks,Online,L,9/10/2014,220876538,10/5/2014,1131,152.58,97.44,172567.98,110204.64,62363.34
Clothes,Offline,C,11/9/2010,292171800,12/8/2010,8983,109.28,35.84,981662.24,321950.72,659711.52
Cosmetics,Offline,H,7/13/2014,195720851,7/31/2014,7004,437.20,263.33,3062148.80,1844363.32,1217785.48
Vegetables,Online,M,2/27/2012,888178384,3/1/2012,576,154.06,90.93,88738.56,52375.68,36362.88
Beverages,Online,C,5/14/2016,522459399,7/3/2016,6201,47.45,31.79,294237.45,197129.79,97107.66
Cosmetics,Online,H,11/18/2013,294525277,1/6/2014,5429,437.20,263.33,2373558.80,1429618.57,943940.23
Cosmetics,Offline,C,9/3/2016,584538161,9/14/2016,6687,437.20,263.33,2923556.40,1760887.71,1162668.69
Meat,Offline,L,2/12/2017,567866408,3/25/2017,3144,421.89,364.69,1326422.16,1146585.36,179836.80
Clothes,Offline,H,6/11/2017,312366044,7/12/2017,4909,109.28,35.84,536455.52,175938.56,360516.96
Vegetables,Online,C,1/21/2010,635187280,2/2/2010,4886,154.06,90.93,752737.16,444283.98,308453.18
Snacks,Online,H,5/31/2013,691473329,7/14/2013,1179,152.58,97.44,179891.82,114881.76,65010.06
Cereal,Offline,L,12/6/2012,378559529,1/2/2013,3032,205.70,117.11,623682.40,355077.52,268604.88
Beverages,Offline,C,11/30/2011,509663331,1/13/2012,9560,47.45,31.79,453622.00,303912.40,149709.60
Clothes,Online,H,1/8/2016,480294215,2/12/2016,8586,109.28,35.84,938278.08,307722.24,630555.84
Personal Care,Offline,L,7/8/2011,134291398,8/20/2011,8664,81.73,56.67,708108.72,490988.88,217119.84
Household,Offline,L,11/1/2011,422049510,11/3/2011,2684,668.27,502.54,1793636.68,1348817.36,444819.32
Office Supplies,Offline,H,11/14/2010,827284085,1/3/2011,600,651.21,524.96,390726.00,314976.00,75750.00
Baby Food,Online,H,12/9/2012,910050618,1/28/2013,3056,255.28,159.42,780135.68,487187.52,292948.16
Office Supplies,Online,M,2/7/2015,802918040,3/11/2015,146,651.21,524.96,95076.66,76644.16,18432.50
Office Supplies,Online,H,7/29/2015,274907815,8/2/2015,186,651.21,524.96,121125.06,97642.56,23482.50
Cosmetics,Online,H,8/29/2016,818363702,9/6/2016,860,437.20,263.33,375992.00,226463.80,149528.20
Baby Food,Offline,M,8/21/2010,302318274,9/3/2010,1550,255.28,159.42,395684.00,247101.00,148583.00
Beverages,Offline,L,12/11/2015,658425939,12/15/2015,1722,47.45,31.79,81708.90,54742.38,26966.52
Snacks,Online,M,10/31/2011,925241792,11/10/2011,8462,152.58,97.44,1291131.96,824537.28,466594.68
Office Supplies,Offline,C,2/13/2017,877299344,2/25/2017,1226,651.21,524.96,798383.46,643600.96,154782.50
Baby Food,Offline,H,9/3/2015,703874576,10/4/2015,983,255.28,159.42,250940.24,156709.86,94230.38
Beverages,Offline,H,1/6/2010,305601727,1/31/2010,3197,47.45,31.79,151697.65,101632.63,50065.02
Cereal,Online,M,12/24/2012,208573997,12/29/2012,535,205.70,117.11,110049.50,62653.85,47395.65
Snacks,Online,L,11/14/2010,958346259,12/15/2010,4810,152.58,97.44,733909.80,468686.40,265223.40
Snacks,Offline,H,2/5/2014,656508910,3/17/2014,4430,152.58,97.44,675929.40,431659.20,244270.20
Vegetables,Online,M,9/25/2014,463087308,11/6/2014,6680,154.06,90.93,1029120.80,607412.40,421708.40
Baby Food,Offline,C,3/25/2012,797421443,3/29/2012,3580,255.28,159.42,913902.40,570723.60,343178.80
Baby Food,Offline,C,5/28/2015,158756148,6/25/2015,8327,255.28,159.42,2125716.56,1327490.34,798226.22
Cosmetics,Offline,L,7/31/2012,839586627,8/19/2012,1195,437.20,263.33,522454.00,314679.35,207774.65
Household,Online,L,2/10/2015,850226628,3/23/2015,9808,668.27,502.54,6554392.16,4928912.32,1625479.84
Household,Online,H,9/20/2015,180768716,10/17/2015,2335,668.27,502.54,1560410.45,1173430.90,386979.55
Cosmetics,Online,L,6/28/2016,218029534,7/17/2016,8639,437.20,263.33,3776970.80,2274907.87,1502062.93
Fruits,Offline,M,10/21/2016,283729493,11/18/2016,717,9.33,6.92,6689.61,4961.64,1727.97
