Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Personal Care,Offline,M,7/25/2014,918492925,7/25/2014,1322,81.73,56.67,108047.06,74917.74,33129.32
Fruits,Offline,M,1/27/2017,544092595,2/22/2017,7945,9.33,6.92,74126.85,54979.40,19147.45
Baby Food,Online,M,10/26/2014,841124284,11/5/2014,6222,255.28,159.42,1588352.16,991911.24,596440.92
Beverages,Online,H,1/22/2012,899706733,2/21/2012,2071,47.45,31.79,98268.95,65837.09,32431.86
Clothes,Online,L,12/23/2011,502659976,1/9/2012,7112,109.28,35.84,777199.36,254894.08,522305.28
Baby Food,Online,H,1/3/2015,814446389,1/11/2015,1640,255.28,159.42,418659.20,261448.80,157210.40
Household,Online,M,4/17/2017,402883946,4/26/2017,1168,668.27,502.54,780539.36,586966.72,193572.64
Household,Online,H,4/19/2014,285999715,5/16/2014,2526,668.27,502.54,1688050.02,1269416.04,418633.98
Cosmetics,Offline,L,12/7/2014,992578113,1/5/2015,4776,437.20,263.33,2088067.20,1257664.08,830403.12
Household,Offline,H,7/11/2014,545219981,7/12/2014,1563,668.27,502.54,1044506.01,785470.02,259035.99
Meat,Online,C,11/21/2010,530761373,1/8/2011,2940,421.89,364.69,1240356.60,1072188.60,168168.00
Personal Care,Online,C,11/22/2011,783555066,11/25/2011,211,81.73,56.67,17245.03,11957.37,5287.66
Beverages,Offline,H,4/25/2013,746689069,5/27/2013,743,47.45,31.79,35255.35,23619.97,11635.38
Fruits,Offline,H,2/27/2013,943591535,3/24/2013,8559,9.33,6.92,79855.47,59228.28,20627.19
Vegetables,Offline,L,5/4/2016,749042546,5/4/2016,7190,154.06,90.93,1107691.40,653786.70,453904.70
Household,Online,M,6/25/2012,938489758,7/12/2012,8830,668.27,502.54,5900824.10,4437428.20,1463395.90
Personal Care,Online,L,9/22/2014,459466111,11/5/2014,5088,81.73,56.67,415842.24,288336.96,127505.28
Cosmetics,Offline,M,9/26/2015,827933394,11/1/2015,2745,437.20,263.33,1200114.00,722840.85,477273.15
Fruits,Online,L,12/23/2012,514385735,1/21/2013,7025,9.33,6.92,65543.25,48613.00,16930.25
Personal Care,Online,C,3/30/2012,235153186,5/10/2012,5908,81.73,56.67,482860.84,334806.36,148054.48
Baby Food,Online,H,7/20/2014,296005856,7/28/2014,3566,255.28,159.42,910328.48,568491.72,341836.76
Household,Offline,M,8/1/2010,512370002,9/17/2010,524,668.27,502.54,350173.48,263330.96,86842.52
Beverages,Offline,H,5/31/2011,998511159,6/10/2011,496,47.45,31.79,23535.20,15767.84,7767.36
Clothes,Offline,L,11/7/2013,124300706,11/14/2013,2196,109.28,35.84,239978.88,78704.64,161274.24
Clothes,Offline,L,4/15/2013,401714932,6/3/2013,5230,109.28,35.84,571534.40,187443.20,384091.20
Office Supplies,Offline,M,12/25/2014,647843015,1/9/2015,9999,651.21,524.96,6511448.79,5249075.04,1262373.75
Fruits,Online,C,3/28/2015,614161765,5/4/2015,2969,9.33,6.92,27700.77,20545.48,7155.29
Personal Care,Offline,L,12/30/2015,972622907,2/15/2016,9587,81.73,56.67,783545.51,543295.29,240250.22
Vegetables,Online,M,10/7/2013,186758840,11/18/2013,4946,154.06,90.93,761980.76,449739.78,312240.98
Meat,Online,C,7/11/2012,633820855,7/27/2012,531,421.89,364.69,224023.59,193650.39,30373.20
Office Supplies,Offline,C,9/3/2010,409845674,9/3/2010,1297,651.21,524.96,844619.37,680873.12,163746.25
Office Supplies,Offline,M,12/18/2013,319441926,1/23/2014,8819,651.21,524.96,5743020.99,4629622.24,1113398.75
Vegetables,Offline,L,8/8/2011,424953591,9/18/2011,2066,154.06,90.93,318287.96,187861.38,130426.58
Snacks,Offline,C,11/16/2014,587385165,12/3/2014,9178,152.58,97.44,1400379.24,894304.32,506074.92
Baby Food,Offline,M,1/17/2015,200344550,2/22/2015,5259,255.28,159.42,1342517.52,838389.78,504127.74
Cosmetics,Offline,M,10/26/2010,359393966,11/29/2010,1516,437.20,263.33,662795.20,399208.28,263586.92
Fruits,Online,L,6/18/2015,651323878,6/29/2015,64,9.33,6.92,597.12,442.88,154.24
Meat,Online,C,1/31/2016,473290860,2/8/2016,6138,421.89,364.69,2589560.82,2238467.22,351093.60
Office Supplies,Offline,M,12/27/2011,530958783,1/28/2012,1358,651.21,524.96,884343.18,712895.68,171447.50
Snacks,Offline,H,5/28/2010,808414638,6/6/2010,6711,152.58,97.44,1023964.38,653919.84,370044.54
Vegetables,Online,L,6/24/2011,245200955,7/1/2011,9266,154.06,90.93,1427519.96,842557.38,584962.58
Baby Food,Online,L,1/26/2015,410635316,3/7/2015,4970,255.28,159.42,1268741.60,792317.40,476424.20
Cosmetics,Online,H,5/25/2011,748154199,7/9/2011,4308,437.20,263.33,1883457.60,1134425.64,749031.96
Clothes,Online,C,7/29/2010,880878913,8/23/2010,500,109.28,35.84,54640.00,17920.00,36720.00
Cereal,Online,M,6/21/2012,538060843,7/17/2012,3015,205.70,117.11,620185.50,353086.65,267098.85
Vegetables,Offline,L,9/15/2014,645983064,10/18/2014,9599,154.06,90.93,1478821.94,872837.07,605984.87
