Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Meat,Offline,H,2/7/2014,177994239,3/29/2014,1306,421.89,364.69,550988.34,476285.14,74703.20
Baby Food,Offline,C,6/14/2017,690163981,7/14/2017,3714,255.28,159.42,948109.92,592085.88,356024.04
Snacks,Offline,H,12/2/2014,810586154,1/11/2015,9311,152.58,97.44,1420672.38,907263.84,513408.54
Cosmetics,Online,L,2/9/2011,830047833,3/16/2011,8454,437.20,263.33,3696088.80,2226191.82,1469896.98
Beverages,Online,L,9/23/2012,441682422,11/5/2012,2499,47.45,31.79,118577.55,79443.21,39134.34
Fruits,Online,H,10/11/2012,687514388,10/19/2012,9640,9.33,6.92,89941.20,66708.80,23232.40
Baby Food,Online,C,3/17/2013,270413720,5/3/2013,284,255.28,159.42,72499.52,45275.28,27224.24
Baby Food,Offline,H,10/17/2013,290665042,11/16/2013,3100,255.28,159.42,791368.00,494202.00,297166.00
Clothes,Offline,L,4/14/2017,486637532,5/16/2017,5715,109.28,35.84,624535.20,204825.60,419709.60
Beverages,Online,H,3/1/2010,410889804,3/6/2010,279,47.45,31.79,13238.55,8869.41,4369.14
Cosmetics,Offline,M,7/8/2012,673887050,8/5/2012,7008,437.20,263.33,3063897.60,1845416.64,1218480.96
Personal Care,Offline,M,8/24/2012,504140555,9/20/2012,5248,81.73,56.67,428919.04,297404.16,131514.88
Meat,Offline,M,5/11/2011,617995822,5/27/2011,7552,421.89,364.69,3186113.28,2754138.88,431974.40
Snacks,Online,L,8/4/2010,584356200,8/26/2010,2840,152.58,97.44,433327.20,276729.60,156597.60
Beverages,Offline,M,6/18/2013,236732470,7/6/2013,3254,47.45,31.79,154402.30,103444.66,50957.64
Cereal,Offline,C,6/30/2010,464822375,7/18/2010,125,205.70,117.11,25712.50,14638.75,11073.75
Cosmetics,Online,C,10/31/2014,235168635,12/7/2014,480,437.20,263.33,209856.00,126398.40,83457.60
Office Supplies,Offline,C,2/19/2015,359944570,2/21/2015,4452,651.21,524.96,2899186.92,2337121.92,562065.00
Cosmetics,Offline,L,5/17/2015,647463643,6/29/2015,7735,437.20,263.33,3381742.00,2036857.55,1344884.45
Office Supplies,Online,M,4/12/2013,441781127,4/22/2013,1708,651.21,524.96,1112266.68,896631.68,215635.00
Cereal,Online,M,5/15/2015,425405490,6/26/2015,5793,205.70,117.11,1191620.10,678418.23,513201.87
Beverages,Online,H,11/5/2013,430112445,12/6/2013,8685,47.45,31.79,412103.25,276096.15,136007.10
Baby Food,Online,H,6/3/2012,510665833,6/16/2012,6223,255.28,159.42,1588607.44,992070.66,596536.78
Clothes,Offline,M,1/7/2013,756596505,2/22/2013,2574,109.28,35.84,281286.72,92252.16,189034.56
Personal Care,Offline,M,11/21/2015,583722341,12/24/2015,5267,81.73,56.67,430471.91,298480.89,131991.02
Personal Care,Offline,M,6/20/2016,381915509,7/6/2016,6141,81.73,56.67,501903.93,348010.47,153893.46
Baby Food,Online,H,1/21/2014,613725316,2/22/2014,3814,255.28,159.42,973637.92,608027.88,365610.04
Personal Care,Offline,L,2/23/2010,291595017,3/16/2010,8300,81.73,56.67,678359.00,470361.00,207998.00
Clothes,Online,M,10/22/2011,232815158,11/8/2011,4034,109.28,35.84,440835.52,144578.56,296256.96
Office Supplies,Offline,C,6/27/2016,151711165,7/13/2016,3560,651.21,524.96,2318307.60,1868857.60,449450.00
Office Supplies,Online,L,6/6/2011,130431163,6/30/2011,6334,651.21,524.96,4124764.14,3325096.64,799667.50
Cereal,Online,H,4/28/2014,849410808,5/10/2014,8389,205.70,117.11,1725617.30,982435.79,743181.51
