Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Cosmetics,Online,C,1/21/2013,801426732,2/19/2013,8834,437.20,263.33,3862224.80,2326257.22,1535967.58
Office Supplies,Offline,C,5/4/2012,685176360,6/8/2012,7766,651.21,524.96,5057296.86,4076839.36,980457.50
Clothes,Online,M,2/11/2014,162605655,2/14/2014,7482,109.28,35.84,817632.96,268154.88,549478.08
Vegetables,Online,L,3/27/2010,582257211,4/15/2010,1703,154.06,90.93,262364.18,154853.79,107510.39
Cereal,Offline,M,11/3/2014,766659724,11/12/2014,504,205.70,117.11,103672.80,59023.44,44649.36
Household,Offline,L,7/25/2010,854626739,8/28/2010,1898,668.27,502.54,1268376.46,953820.92,314555.54
Personal Care,Offline,C,1/28/2016,359663903,3/15/2016,1396,81.73,56.67,114095.08,79111.32,34983.76
Cosmetics,Offline,M,10/7/2012,946017539,10/30/2012,6467,437.20,263.33,2827372.40,1702955.11,1124417.29
Cosmetics,Offline,H,1/21/2012,833388364,2/17/2012,6991,437.20,263.33,3056465.20,1840940.03,1215525.17
Office Supplies,Online,L,3/5/2012,306900346,4/20/2012,7487,651.21,524.96,4875609.27,3930375.52,945233.75
Meat,Online,C,12/19/2014,902724969,1/20/2015,5234,421.89,364.69,2208172.26,1908787.46,299384.80
Cereal,Online,H,2/24/2010,272585237,3/24/2010,2884,205.70,117.11,593238.80,337745.24,255493.56
Household,Offline,C,1/2/2016,231983888,2/15/2016,8042,668.27,502.54,5374227.34,4041426.68,1332800.66
Baby Food,Online,H,3/27/2013,505382096,4/12/2013,2648,255.28,159.42,675981.44,422144.16,253837.28
Personal Care,Online,H,9/17/2011,969593942,9/19/2011,3249,81.73,56.67,265540.77,184120.83,81419.94
Snacks,Online,M,1/1/2017,790589320,1/24/2017,1803,152.58,97.44,275101.74,175684.32,99417.42
Household,Online,C,9/27/2014,556129920,11/2/2014,57,668.27,502.54,38091.39,28644.78,9446.61
Office Supplies,Online,C,12/19/2016,683061921,1/24/2017,2056,651.21,524.96,1338887.76,1079317.76,259570.00
Clothes,Offline,C,8/9/2010,153150117,9/19/2010,9378,109.28,35.84,1024827.84,336107.52,688720.32
Office Supplies,Offline,C,6/20/2014,470516383,7/20/2014,5109,651.21,524.96,3327031.89,2682020.64,645011.25
Vegetables,Online,C,9/1/2015,130742728,9/23/2015,8534,154.06,90.93,1314748.04,775996.62,538751.42
Fruits,Online,C,4/13/2011,530382001,5/8/2011,675,9.33,6.92,6297.75,4671.00,1626.75
Vegetables,Offline,H,11/1/2012,676889836,12/4/2012,5599,154.06,90.93,862581.94,509117.07,353464.87
Fruits,Online,H,3/30/2010,213748300,5/11/2010,1727,9.33,6.92,16112.91,11950.84,4162.07
Vegetables,Offline,L,10/26/2015,940224826,12/9/2015,2275,154.06,90.93,350486.50,206865.75,143620.75
Personal Care,Offline,M,2/21/2013,123723924,4/12/2013,1513,81.73,56.67,123657.49,85741.71,37915.78
Fruits,Online,H,6/22/2015,220117795,7/21/2015,6602,9.33,6.92,61596.66,45685.84,15910.82
Clothes,Offline,H,1/11/2011,917183578,2/16/2011,3857,109.28,35.84,421492.96,138234.88,283258.08
Snacks,Offline,C,1/1/2010,957291400,2/3/2010,2653,152.58,97.44,404794.74,258508.32,146286.42
