Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Meat,Online,H,2/21/2014,179137074,3/14/2014,9496,421.89,364.69,4006267.44,3463096.24,543171.20
Cereal,Online,H,9/22/2011,494700467,10/2/2011,1716,205.70,117.11,352981.20,200960.76,152020.44
Personal Care,Online,H,5/20/2011,543531262,6/3/2011,1834,81.73,56.67,149892.82,103932.78,45960.04
Household,Offline,C,9/17/2010,344670140,10/7/2010,4409,668.27,502.54,2946402.43,2215698.86,730703.57
Office Supplies,Online,M,8/24/2015,448321855,10/6/2015,7254,651.21,524.96,4723877.34,3808059.84,915817.50
Clothes,Online,H,1/2/2013,420911395,2/5/2013,5890,109.28,35.84,643659.20,211097.60,432561.60
Baby Food,Offline,L,12/29/2016,786968123,1/22/2017,211,255.28,159.42,53864.08,33637.62,20226.46
Snacks,Online,H,7/27/2013,143497169,9/8/2013,2856,152.58,97.44,435768.48,278288.64,157479.84
Fruits,Offline,M,3/8/2015,979953277,3/26/2015,8806,9.33,6.92,82159.98,60937.52,21222.46
Cereal,Online,L,8/12/2012,136535441,8/13/2012,2726,205.70,117.11,560738.20,319241.86,241496.34
Fruits,Online,M,4/13/2013,553833520,5/31/2013,501,9.33,6.92,4674.33,3466.92,1207.41
Cosmetics,Online,L,10/25/2014,862180697,11/23/2014,7283,437.20,263.33,3184127.60,1917832.39,1266295.21
Office Supplies,Offline,H,6/25/2010,544954764,8/7/2010,3080,651.21,524.96,2005726.80,1616876.80,388850.00
Personal Care,Online,H,4/11/2017,154573619,4/29/2017,624,81.73,56.67,50999.52,35362.08,15637.44
Personal Care,Online,H,5/15/2017,492544400,6/9/2017,3688,81.73,56.67,301420.24,208998.96,92421.28
Beverages,Online,C,12/4/2016,156095826,12/18/2016,1079,47.45,31.79,51198.55,34301.41,16897.14
Cosmetics,Offline,H,2/4/2016,919453799,3/9/2016,5666,437.20,263.33,2477175.20,1492027.78,985147.42
Cosmetics,Offline,M,5/17/2015,362708318,6/23/2015,2306,437.20,263.33,1008183.20,607238.98,400944.22
Cosmetics,Offline,H,3/7/2011,672972524,4/9/2011,6380,437.20,263.33,2789336.00,1680045.40,1109290.60
