Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Clothes,Offline,H,11/18/2015,203877770,11/28/2015,818,109.28,35.84,89391.04,29317.12,60073.92
Office Supplies,Offline,H,7/15/2014,725165307,7/31/2014,1384,651.21,524.96,901274.64,726544.64,174730.00
Cosmetics,Offline,C,4/15/2016,935991227,5/27/2016,9459,437.20,263.33,4135474.80,2490838.47,1644636.33
Office Supplies,Offline,L,2/3/2015,903634774,2/27/2015,4465,651.21,524.96,2907652.65,2343946.40,563706.25
Baby Food,Online,C,1/9/2011,362589442,1/30/2011,7128,255.28,159.42,1819635.84,1136345.76,683290.08
Cosmetics,Online,C,5/25/2012,955213868,6/10/2012,7865,437.20,263.33,3438578.00,2071090.45,1367487.55
Baby Food,Offline,L,3/18/2015,508208930,4/10/2015,9171,255.28,159.42,2341172.88,1462040.82,879132.06
Snacks,Offline,H,5/27/2014,232358539,6/9/2014,8910,152.58,97.44,1359487.80,868190.40,491297.40
Baby Food,Offline,C,4/25/2010,249960267,5/20/2010,7653,255.28,159.42,1953657.84,1220041.26,733616.58
Office Supplies,Offline,L,6/5/2015,367000281,6/12/2015,2394,651.21,524.96,1558996.74,1256754.24,302242.50
Cereal,Online,M,3/3/2011,727955234,4/13/2011,6985,205.70,117.11,1436814.50,818013.35,618801.15
Office Supplies,Online,C,10/31/2010,495651900,12/8/2010,3267,651.21,524.96,2127503.07,1715044.32,412458.75
Baby Food,Offline,C,5/14/2010,302032887,5/18/2010,7098,255.28,159.42,1811977.44,1131563.16,680414.28
Cosmetics,Offline,C,11/17/2013,839358317,12/30/2013,3633,437.20,263.33,1588347.60,956677.89,631669.71
Clothes,Online,L,2/26/2017,323848044,3/17/2017,2688,109.28,35.84,293744.64,96337.92,197406.72
Cereal,Online,C,9/15/2015,325172841,10/15/2015,4725,205.70,117.11,971932.50,553344.75,418587.75
Personal Care,Online,C,6/26/2010,806607043,6/30/2010,1804,81.73,56.67,147440.92,102232.68,45208.24
Household,Offline,M,12/31/2013,138120734,1/19/2014,1849,668.27,502.54,1235631.23,929196.46,306434.77
Beverages,Online,L,1/4/2015,375525844,2/3/2015,5297,47.45,31.79,251342.65,168391.63,82951.02
Vegetables,Offline,C,5/8/2013,105862987,5/26/2013,6065,154.06,90.93,934373.90,551490.45,382883.45
Cosmetics,Offline,M,7/23/2015,550374114,8/31/2015,6786,437.20,263.33,2966839.20,1786957.38,1179881.82
Cereal,Online,H,8/21/2014,254132068,10/2/2014,2181,205.70,117.11,448631.70,255416.91,193214.79
Office Supplies,Online,M,12/30/2013,312870299,1/9/2014,4129,651.21,524.96,2688846.09,2167559.84,521286.25
Snacks,Online,L,8/8/2013,619061410,8/15/2013,2883,152.58,97.44,439888.14,280919.52,158968.62
Fruits,Online,L,7/11/2010,961443030,7/11/2010,1213,9.33,6.92,11317.29,8393.96,2923.33
Baby Food,Online,C,5/27/2010,365872895,6/28/2010,8775,255.28,159.42,2240082.00,1398910.50,841171.50
Clothes,Online,C,7/23/2010,759537494,8/8/2010,2878,109.28,35.84,314507.84,103147.52,211360.32
Baby Food,Online,C,5/2/2015,885342109,6/12/2015,1259,255.28,159.42,321397.52,200709.78,120687.74
Cereal,Online,M,9/4/2010,145674693,9/17/2010,7234,205.70,117.11,1488033.80,847173.74,640860.06
Meat,Offline,M,7/10/2013,618822371,8/16/2013,2146,421.89,364.69,905375.94,782624.74,122751.20
Beverages,Online,C,12/8/2011,674220073,12/20/2011,5557,47.45,31.79,263679.65,176657.03,87022.62
Personal Care,Online,M,3/3/2013,992474687,3/11/2013,4170,81.73,56.67,340814.10,236313.90,104500.20
Baby Food,Online,H,11/26/2015,917360818,12/17/2015,6307,255.28,159.42,1610050.96,1005461.94,604589.02
Fruits,Offline,H,1/1/2013,876323020,2/2/2013,2310,9.33,6.92,21552.30,15985.20,5567.10
Personal Care,Offline,M,12/1/2015,639847886,12/13/2015,4063,81.73,56.67,332068.99,230250.21,101818.78
Baby Food,Offline,H,12/28/2015,945898663,1/3/2016,1289,255.28,159.42,329055.92,205492.38,123563.54
Personal Care,Offline,L,8/23/2016,740709674,9/2/2016,1308,81.73,56.67,106902.84,74124.36,32778.48
Meat,Online,L,9/6/2012,719627082,9/9/2012,2500,421.89,364.69,1054725.00,911725.00,143000.00
Personal Care,Online,L,7/8/2016,648331820,8/26/2016,4648,81.73,56.67,379881.04,263402.16,116478.88
Personal Care,Online,L,8/1/2014,158372056,8/3/2014,4666,81.73,56.67,381352.18,264422.22,116929.96
Personal Care,Online,L,10/3/2013,112726008,11/14/2013,6986,81.73,56.67,570965.78,395896.62,175069.16
Fruits,Online,M,3/29/2011,680885684,3/30/2011,8060,9.33,6.92,75199.80,55775.20,19424.60
Personal Care,Offline,M,2/25/2012,751448380,4/15/2012,9129,81.73,56.67,746113.17,517340.43,228772.74
Cereal,Offline,C,5/31/2017,555912339,6/1/2017,5670,205.70,117.11,1166319.00,664013.70,502305.30
Snacks,Online,L,1/13/2017,981398236,2/14/2017,6402,152.58,97.44,976817.16,623810.88,353006.28
Baby Food,Online,H,9/9/2010,899223935,10/16/2010,9200,255.28,159.42,2348576.00,1466664.00,881912.00
Clothes,Offline,L,9/10/2014,175142514,10/21/2014,7417,109.28,35.84,810529.76,265825.28,544704.48
Cereal,Online,H,1/30/2016,974436509,3/12/2016,6272,205.70,117.11,1290150.40,734513.92,555636.48
Meat,Online,L,8/5/2011,350920760,9/15/2011,4106,421.89,364.69,1732280.34,1497417.14,234863.20
Personal Care,Offline,H,5/4/2011,471976792,6/14/2011,7276,81.73,56.67,594667.48,412330.92,182336.56
Cereal,Offline,M,4/6/2011,165926015,5/24/2011,50,205.70,117.11,10285.00,5855.50,4429.50
Fruits,Online,M,10/1/2010,998605144,10/26/2010,8308,9.33,6.92,77513.64,57491.36,20022.28
Baby Food,Online,H,7/16/2012,595329225,8/13/2012,2,255.28,159.42,510.56,318.84,191.72
Clothes,Online,H,2/24/2012,354640662,3/1/2012,4908,109.28,35.84,536346.24,175902.72,360443.52
Baby Food,Online,C,1/6/2014,257415521,1/9/2014,3828,255.28,159.42,977211.84,610259.76,366952.08
Vegetables,Offline,M,5/25/2013,613819301,7/10/2013,1626,154.06,90.93,250501.56,147852.18,102649.38
Personal Care,Online,L,9/7/2013,972420775,9/16/2013,9772,81.73,56.67,798665.56,553779.24,244886.32
Snacks,Offline,C,11/4/2015,730604827,11/15/2015,1059,152.58,97.44,161582.22,103188.96,58393.26
Baby Food,Online,M,8/9/2014,499724996,9/15/2014,8586,255.28,159.42,2191834.08,1368780.12,823053.96
Snacks,Online,M,9/15/2014,753942191,10/6/2014,7103,152.58,97.44,1083775.74,692116.32,391659.42
Personal Care,Online,C,9/26/2011,716286551,10/6/2011,3963,81.73,56.67,323895.99,224583.21,99312.78
Baby Food,Offline,M,5/31/2011,162782895,7/9/2011,9931,255.28,159.42,2535185.68,1583200.02,951985.66
Office Supplies,Offline,H,8/31/2015,257711637,9/5/2015,1455,651.21,524.96,947510.55,763816.80,183693.75
Baby Food,Online,L,8/17/2010,403035008,8/22/2010,5870,255.28,159.42,1498493.60,935795.40,562698.20
Vegetables,Offline,L,11/12/2015,984582984,12/8/2015,8839,154.06,90.93,1361736.34,803730.27,558006.07
Cereal,Online,M,11/14/2014,735410487,12/2/2014,3160,205.70,117.11,650012.00,370067.60,279944.40
Office Supplies,Offline,H,1/24/2011,976930320,2/6/2011,4246,651.21,524.96,2765037.66,2228980.16,536057.50
Office Supplies,Online,L,12/3/2011,864358222,12/3/2011,1661,651.21,524.96,1081659.81,871958.56,209701.25
Vegetables,Offline,L,3/5/2014,829450881,4/2/2014,1803,154.06,90.93,277770.18,163946.79,113823.39
Beverages,Offline,C,9/18/2013,857890021,11/3/2013,7576,47.45,31.79,359481.20,240841.04,118640.16
Fruits,Online,L,7/29/2013,230399882,8/11/2013,9300,9.33,6.92,86769.00,64356.00,22413.00
Meat,Online,M,7/23/2013,595287597,9/4/2013,7683,421.89,364.69,3241380.87,2801913.27,439467.60
Baby Food,Online,C,3/8/2017,296692073,4/4/2017,6632,255.28,159.42,1693016.96,1057273.44,635743.52
Personal Care,Online,C,1/27/2012,179652059,3/12/2012,1891,81.73,56.67,154551.43,107162.97,47388.46
Baby Food,Online,H,4/22/2016,421031558,5/29/2016,1449,255.28,159.42,369900.72,230999.58,138901.14
Clothes,Online,H,10/9/2014,659564054,11/2/2014,8515,109.28,35.84,930519.20,305177.60,625341.60
Clothes,Online,H,1/13/2010,335475099,1/26/2010,3392,109.28,35.84,370677.76,121569.28,249108.48
Vegetables,Offline,M,5/29/2011,971786916,6/18/2011,2198,154.06,90.93,338623.88,199864.14,138759.74
Household,Offline,M,1/22/2015,380289876,1/22/2015,5080,668.27,502.54,3394811.60,2552903.20,841908.40
Clothes,Offline,C,10/29/2011,657449615,11/23/2011,2806,109.28,35.84,306639.68,100567.04,206072.64
Cereal,Offline,H,1/12/2012,837441289,2/9/2012,6342,205.70,117.11,1304549.40,742711.62,561837.78
Household,Offline,L,12/21/2014,573810184,1/5/2015,2039,668.27,502.54,1362602.53,1024679.06,337923.47
Office Supplies,Online,L,3/27/2016,424413716,4/11/2016,2305,651.21,524.96,1501039.05,1210032.80,291006.25
Baby Food,Offline,L,1/27/2017,870488679,2/13/2017,5799,255.28,159.42,1480368.72,924476.58,555892.14
Clothes,Online,H,11/8/2012,245211684,11/9/2012,2441,109.28,35.84,266752.48,87485.44,179267.04
Cosmetics,Online,M,3/19/2017,641666209,3/29/2017,2145,437.20,263.33,937794.00,564842.85,372951.15
Office Supplies,Online,C,7/27/2015,819740855,9/14/2015,8390,651.21,524.96,5463651.90,4404414.40,1059237.50
Snacks,Offline,L,7/3/2015,145181167,7/30/2015,1188,152.58,97.44,181265.04,115758.72,65506.32
Household,Online,H,8/20/2016,209218585,9/28/2016,1283,668.27,502.54,857390.41,644758.82,212631.59
Office Supplies,Online,M,5/11/2017,634901893,5/14/2017,434,651.21,524.96,282625.14,227832.64,54792.50
Cereal,Online,H,12/18/2012,987232577,2/4/2013,2913,205.70,117.11,599204.10,341141.43,258062.67
Clothes,Online,L,9/19/2016,693640124,10/11/2016,2382,109.28,35.84,260304.96,85370.88,174934.08
Cosmetics,Online,C,11/13/2016,734184396,12/8/2016,333,437.20,263.33,145587.60,87688.89,57898.71
Cereal,Online,H,10/30/2014,449512326,12/10/2014,9541,205.70,117.11,1962583.70,1117346.51,845237.19
Baby Food,Online,H,12/23/2011,872743451,1/11/2012,3036,255.28,159.42,775030.08,483999.12,291030.96
Cosmetics,Online,C,3/6/2014,326258599,3/26/2014,6025,437.20,263.33,2634130.00,1586563.25,1047566.75
Beverages,Offline,M,3/17/2012,541396653,4/2/2012,156,47.45,31.79,7402.20,4959.24,2442.96
Cereal,Online,H,2/3/2014,519778907,3/11/2014,2984,205.70,117.11,613808.80,349456.24,264352.56
Cosmetics,Online,M,11/14/2014,648035705,12/31/2014,7021,437.20,263.33,3069581.20,1848839.93,1220741.27
Vegetables,Offline,L,5/13/2013,772037446,6/2/2013,1892,154.06,90.93,291481.52,172039.56,119441.96
Fruits,Online,M,12/1/2011,729674851,12/21/2011,5858,9.33,6.92,54655.14,40537.36,14117.78
Cosmetics,Online,M,5/14/2016,607787549,6/30/2016,6697,437.20,263.33,2927928.40,1763521.01,1164407.39
Baby Food,Offline,M,8/20/2013,286093699,9/30/2013,338,255.28,159.42,86284.64,53883.96,32400.68
Office Supplies,Offline,H,7/24/2016,343662917,9/10/2016,6349,651.21,524.96,4134532.29,3332971.04,801561.25
Meat,Online,M,7/4/2013,543214976,7/17/2013,8238,421.89,364.69,3475529.82,3004316.22,471213.60
Snacks,Online,H,9/30/2012,953691661,10/21/2012,7410,152.58,97.44,1130617.80,722030.40,408587.40
Vegetables,Offline,L,5/24/2011,305612456,6/11/2011,6372,154.06,90.93,981670.32,579405.96,402264.36
Personal Care,Offline,C,8/23/2014,432502830,9/25/2014,6053,81.73,56.67,494711.69,343023.51,151688.18
Cosmetics,Offline,C,3/13/2011,260304152,4/27/2011,8638,437.20,263.33,3776533.60,2274644.54,1501889.06
Personal Care,Online,L,11/22/2012,903239953,11/26/2012,7629,81.73,56.67,623518.17,432335.43,191182.74
Cereal,Offline,L,10/20/2014,917163407,11/26/2014,7888,205.70,117.11,1622561.60,923763.68,698797.92
Cereal,Online,M,9/12/2015,781056535,10/11/2015,840,205.70,117.11,172788.00,98372.40,74415.60
Vegetables,Offline,H,8/28/2014,967615115,8/31/2014,7670,154.06,90.93,1181640.20,697433.10,484207.10
Baby Food,Offline,M,4/1/2013,707958400,4/24/2013,9478,255.28,159.42,2419543.84,1510982.76,908561.08
Cosmetics,Online,C,6/27/2012,171126496,7/20/2012,8988,437.20,263.33,3929553.60,2366810.04,1562743.56
Fruits,Offline,H,5/30/2014,720162236,6/24/2014,864,9.33,6.92,8061.12,5978.88,2082.24
Household,Offline,L,1/10/2015,625882804,2/24/2015,1485,668.27,502.54,992380.95,746271.90,246109.05
Cosmetics,Offline,M,3/19/2012,303949916,4/7/2012,4389,437.20,263.33,1918870.80,1155755.37,763115.43
Personal Care,Online,M,9/29/2010,907609164,10/4/2010,576,81.73,56.67,47076.48,32641.92,14434.56
Office Supplies,Online,L,11/5/2010,261826360,12/15/2010,9093,651.21,524.96,5921452.53,4773461.28,1147991.25
Cosmetics,Offline,L,2/4/2012,346255433,3/13/2012,3532,437.20,263.33,1544190.40,930081.56,614108.84
Snacks,Online,M,4/8/2010,816753518,5/18/2010,4371,152.58,97.44,666927.18,425910.24,241016.94
Cosmetics,Offline,C,7/15/2011,845727813,8/13/2011,8509,437.20,263.33,3720134.80,2240674.97,1479459.83
Beverages,Online,C,11/3/2014,390436351,12/8/2014,7647,47.45,31.79,362850.15,243098.13,119752.02
Baby Food,Offline,L,3/7/2017,974633920,4/2/2017,4690,255.28,159.42,1197263.20,747679.80,449583.40
Clothes,Offline,L,1/31/2016,843374335,2/10/2016,2062,109.28,35.84,225335.36,73902.08,151433.28
Clothes,Online,M,6/30/2010,263348567,8/4/2010,9548,109.28,35.84,1043405.44,342200.32,701205.12
Personal Care,Offline,C,11/11/2011,808664405,12/3/2011,623,81.73,56.67,50917.79,35305.41,15612.38
Personal Care,Online,L,3/23/2017,538902842,5/6/2017,2182,81.73,56.67,178334.86,123653.94,54680.92
Baby Food,Offline,C,10/8/2013,909962642,11/2/2013,7022,255.28,159.42,1792576.16,1119447.24,673128.92
Vegetables,Online,H,6/6/2014,708394849,7/4/2014,8633,154.06,90.93,1329999.98,784998.69,545001.29
Fruits,Online,C,4/5/2012,724531447,5/2/2012,3811,9.33,6.92,35556.63,26372.12,9184.51
Baby Food,Online,H,3/29/2011,855635249,5/12/2011,339,255.28,159.42,86539.92,54043.38,32496.54
Cereal,Offline,C,5/24/2016,227511250,6/15/2016,4490,205.70,117.11,923593.00,525823.90,397769.10
Vegetables,Offline,C,3/4/2011,268450343,4/17/2011,9277,154.06,90.93,1429214.62,843557.61,585657.01
Personal Care,Online,L,8/11/2011,339153373,9/24/2011,1875,81.73,56.67,153243.75,106256.25,46987.50
Personal Care,Online,L,5/30/2014,851224410,6/5/2014,5074,81.73,56.67,414698.02,287543.58,127154.44
Clothes,Offline,C,2/27/2017,545906198,3/19/2017,4630,109.28,35.84,505966.40,165939.20,340027.20
Snacks,Offline,L,8/11/2015,249326407,9/16/2015,79,152.58,97.44,12053.82,7697.76,4356.06
Meat,Online,C,8/22/2010,212896859,9/9/2010,9767,421.89,364.69,4120599.63,3561927.23,558672.40
Personal Care,Offline,H,9/21/2011,950112092,9/29/2011,8136,81.73,56.67,664955.28,461067.12,203888.16
Household,Offline,M,1/29/2011,283599889,2/17/2011,2364,668.27,502.54,1579790.28,1188004.56,391785.72
Baby Food,Offline,C,3/22/2013,275609481,4/10/2013,7825,255.28,159.42,1997566.00,1247461.50,750104.50
Cosmetics,Online,L,11/15/2013,617300164,12/27/2013,1691,437.20,263.33,739305.20,445291.03,294014.17
Office Supplies,Offline,M,10/21/2014,370283734,11/8/2014,4040,651.21,524.96,2630888.40,2120838.40,510050.00
Snacks,Online,L,7/2/2010,398031938,7/17/2010,5350,152.58,97.44,816303.00,521304.00,294999.00
Beverages,Online,L,6/25/2013,376611602,7/15/2013,6597,47.45,31.79,313027.65,209718.63,103309.02
Cosmetics,Offline,H,12/5/2012,923392570,12/25/2012,1236,437.20,263.33,540379.20,325475.88,214903.32
Clothes,Offline,M,6/14/2017,401315391,7/10/2017,6997,109.28,35.84,764632.16,250772.48,513859.68
