Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Meat,Offline,C,2/28/2014,869989144,4/9/2014,7976,421.89,364.69,3364994.64,2908767.44,456227.20
Baby Food,Online,M,7/27/2015,670140969,8/19/2015,8460,255.28,159.42,2159668.80,1348693.20,810975.60
Baby Food,Online,L,6/7/2010,386497581,7/25/2010,2078,255.28,159.42,530471.84,331274.76,199197.08
Fruits,Online,H,2/17/2010,218034255,3/11/2010,36,9.33,6.92,335.88,249.12,86.76
Beverages,Offline,H,2/21/2010,531088387,4/4/2010,9711,47.45,31.79,460786.95,308712.69,152074.26
Office Supplies,Online,H,3/12/2013,965790784,3/27/2013,7810,651.21,524.96,5085950.10,4099937.60,986012.50
Personal Care,Online,C,7/28/2010,201362502,7/29/2010,6494,81.73,56.67,530754.62,368014.98,162739.64
Vegetables,Offline,C,6/11/2010,283734214,7/13/2010,2114,154.06,90.93,325682.84,192226.02,133456.82
Vegetables,Offline,C,4/23/2011,393220269,5/12/2011,1471,154.06,90.93,226622.26,133758.03,92864.23
Fruits,Online,M,1/16/2014,496477162,2/7/2014,7480,9.33,6.92,69788.40,51761.60,18026.80
Personal Care,Online,M,7/15/2017,870820415,7/29/2017,3967,81.73,56.67,324222.91,224809.89,99413.02
Clothes,Offline,C,4/25/2012,321192443,5/2/2012,6836,109.28,35.84,747038.08,245002.24,502035.84
Vegetables,Online,C,2/6/2017,122175538,2/20/2017,3312,154.06,90.93,510246.72,301160.16,209086.56
Fruits,Offline,M,10/9/2016,290301120,10/12/2016,5407,9.33,6.92,50447.31,37416.44,13030.87
Cereal,Online,H,5/17/2015,165327775,5/20/2015,3017,205.70,117.11,620596.90,353320.87,267276.03
Baby Food,Offline,C,10/31/2012,654258859,12/11/2012,8590,255.28,159.42,2192855.20,1369417.80,823437.40
Fruits,Online,H,4/7/2014,533639276,5/23/2014,4575,9.33,6.92,42684.75,31659.00,11025.75
Meat,Offline,C,8/26/2014,552269685,9/12/2014,7727,421.89,364.69,3259944.03,2817959.63,441984.40
Vegetables,Offline,L,9/28/2016,448519265,10/25/2016,5673,154.06,90.93,873982.38,515845.89,358136.49
Household,Offline,L,6/7/2011,901415622,6/24/2011,7769,668.27,502.54,5191789.63,3904233.26,1287556.37
Snacks,Offline,C,10/2/2010,171063411,10/2/2010,319,152.58,97.44,48673.02,31083.36,17589.66
Office Supplies,Offline,L,2/11/2017,788349997,2/28/2017,9138,651.21,524.96,5950756.98,4797084.48,1153672.50
Beverages,Offline,L,5/14/2012,876457345,6/28/2012,2060,47.45,31.79,97747.00,65487.40,32259.60
Vegetables,Offline,H,2/17/2010,130659472,2/18/2010,3896,154.06,90.93,600217.76,354263.28,245954.48
Cereal,Online,H,3/9/2012,950443828,3/14/2012,6304,205.70,117.11,1296732.80,738261.44,558471.36
Baby Food,Online,M,6/14/2012,682937037,7/13/2012,5101,255.28,159.42,1302183.28,813201.42,488981.86
Cereal,Online,M,1/19/2013,381988036,3/4/2013,7603,205.70,117.11,1563937.10,890387.33,673549.77
Household,Online,M,7/30/2014,730401408,9/5/2014,863,668.27,502.54,576717.01,433692.02,143024.99
Baby Food,Offline,L,4/30/2015,644746243,6/15/2015,3596,255.28,159.42,917986.88,573274.32,344712.56
Cosmetics,Online,C,7/1/2011,763350093,7/10/2011,1111,437.20,263.33,485729.20,292559.63,193169.57
Meat,Online,C,7/17/2012,755162274,8/11/2012,8153,421.89,364.69,3439669.17,2973317.57,466351.60
Personal Care,Offline,H,3/18/2016,920835673,4/13/2016,4594,81.73,56.67,375467.62,260341.98,115125.64
Snacks,Online,M,7/28/2011,672593152,8/7/2011,4115,152.58,97.44,627866.70,400965.60,226901.10
Cereal,Online,M,7/18/2017,458624112,8/13/2017,5921,205.70,117.11,1217949.70,693408.31,524541.39
Personal Care,Online,L,9/11/2011,411850678,10/21/2011,4623,81.73,56.67,377837.79,261985.41,115852.38
Office Supplies,Offline,M,1/16/2014,321727597,2/15/2014,5200,651.21,524.96,3386292.00,2729792.00,656500.00
Clothes,Offline,L,2/20/2013,144780337,3/9/2013,2574,109.28,35.84,281286.72,92252.16,189034.56
Vegetables,Online,M,8/3/2014,143455541,8/10/2014,537,154.06,90.93,82730.22,48829.41,33900.81
Beverages,Offline,C,9/15/2016,956236541,10/20/2016,497,47.45,31.79,23582.65,15799.63,7783.02
