Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Snacks,Online,C,1/28/2013,176461303,2/7/2013,7676,152.58,97.44,1171204.08,747949.44,423254.64
Office Supplies,Offline,C,7/27/2010,376112067,9/9/2010,8774,651.21,524.96,5713716.54,4605999.04,1107717.50
Personal Care,Offline,C,7/4/2015,745509326,7/31/2015,1631,81.73,56.67,133301.63,92428.77,40872.86
Baby Food,Offline,C,4/9/2016,338653838,4/26/2016,4051,255.28,159.42,1034139.28,645810.42,388328.86
Household,Online,C,9/10/2013,125869262,10/21/2013,6366,668.27,502.54,4254206.82,3199169.64,1055037.18
Cosmetics,Online,H,3/31/2013,292612969,5/7/2013,9535,437.20,263.33,4168702.00,2510851.55,1657850.45
Meat,Online,H,12/8/2016,887014091,1/22/2017,6036,421.89,364.69,2546528.04,2201268.84,345259.20
Meat,Offline,L,8/23/2016,131604897,10/1/2016,3669,421.89,364.69,1547914.41,1338047.61,209866.80
Office Supplies,Offline,M,12/29/2013,294332587,1/15/2014,8408,651.21,524.96,5475373.68,4413863.68,1061510.00
Vegetables,Online,M,8/13/2011,324236857,10/1/2011,7746,154.06,90.93,1193348.76,704343.78,489004.98
Vegetables,Offline,H,6/15/2016,530412900,7/2/2016,9819,154.06,90.93,1512715.14,892841.67,619873.47
Beverages,Online,L,3/20/2013,935013616,4/14/2013,162,47.45,31.79,7686.90,5149.98,2536.92
Fruits,Offline,H,8/24/2016,813167941,9/30/2016,3319,9.33,6.92,30966.27,22967.48,7998.79
Clothes,Offline,L,2/7/2016,135127389,2/27/2016,6052,109.28,35.84,661362.56,216903.68,444458.88
Clothes,Offline,H,1/4/2012,105420529,1/27/2012,5132,109.28,35.84,560824.96,183930.88,376894.08
Office Supplies,Offline,C,6/16/2013,104095733,6/28/2013,3095,651.21,524.96,2015494.95,1624751.20,390743.75
Personal Care,Online,C,7/31/2015,785814559,8/9/2015,8845,81.73,56.67,722901.85,501246.15,221655.70
Household,Offline,M,11/27/2016,957857453,1/14/2017,161,668.27,502.54,107591.47,80908.94,26682.53
Personal Care,Online,M,8/11/2013,541447722,8/18/2013,5268,81.73,56.67,430553.64,298537.56,132016.08
Cereal,Online,H,1/13/2013,109000098,2/18/2013,4406,205.70,117.11,906314.20,515986.66,390327.54
