Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Meat,Offline,L,3/16/2016,297876536,4/20/2016,7141,421.89,364.69,3012716.49,2604251.29,408465.20
Household,Offline,C,2/27/2015,940318810,3/6/2015,87,668.27,502.54,58139.49,43720.98,14418.51
Clothes,Offline,C,7/10/2014,190053021,8/25/2014,9767,109.28,35.84,1067337.76,350049.28,717288.48
Beverages,Online,C,6/5/2016,378726041,6/24/2016,2306,47.45,31.79,109419.70,73307.74,36111.96
Cosmetics,Online,L,8/13/2014,571711194,8/25/2014,902,437.20,263.33,394354.40,237523.66,156830.74
Clothes,Offline,H,9/15/2014,556561648,10/22/2014,7815,109.28,35.84,854023.20,280089.60,573933.60
Vegetables,Offline,C,5/26/2016,890064513,6/20/2016,8724,154.06,90.93,1344019.44,793273.32,550746.12
Clothes,Offline,C,8/26/2010,197508275,9/18/2010,5943,109.28,35.84,649451.04,212997.12,436453.92
Beverages,Online,H,4/30/2011,158922660,5/20/2011,7602,47.45,31.79,360714.90,241667.58,119047.32
Cereal,Online,L,7/27/2017,490072047,9/5/2017,2064,205.70,117.11,424564.80,241715.04,182849.76
Vegetables,Offline,L,4/12/2013,680802428,5/13/2013,3422,154.06,90.93,527193.32,311162.46,216030.86
Personal Care,Online,C,12/6/2015,121267020,12/15/2015,4461,81.73,56.67,364597.53,252804.87,111792.66
Snacks,Online,M,5/13/2016,869911897,5/22/2016,5116,152.58,97.44,780599.28,498503.04,282096.24
Cosmetics,Offline,C,6/7/2011,678885400,6/23/2011,6131,437.20,263.33,2680473.20,1614476.23,1065996.97
Household,Online,M,8/15/2015,190250432,9/14/2015,8185,668.27,502.54,5469789.95,4113289.90,1356500.05
Baby Food,Online,C,3/26/2010,380783402,5/2/2010,1125,255.28,159.42,287190.00,179347.50,107842.50
Fruits,Offline,L,7/11/2013,115630090,8/9/2013,6368,9.33,6.92,59413.44,44066.56,15346.88
Baby Food,Online,L,1/13/2015,301061284,2/10/2015,9579,255.28,159.42,2445327.12,1527084.18,918242.94
Beverages,Offline,M,1/4/2015,990770518,1/28/2015,9868,47.45,31.79,468236.60,313703.72,154532.88
Cosmetics,Online,M,12/6/2010,552488553,1/13/2011,2495,437.20,263.33,1090814.00,657008.35,433805.65
Fruits,Online,C,1/1/2014,931736171,1/5/2014,293,9.33,6.92,2733.69,2027.56,706.13
Fruits,Offline,L,9/15/2014,600249040,11/2/2014,5885,9.33,6.92,54907.05,40724.20,14182.85
Baby Food,Online,H,10/20/2010,325427329,12/6/2010,33,255.28,159.42,8424.24,5260.86,3163.38
Meat,Offline,H,12/23/2013,852507579,1/24/2014,4792,421.89,364.69,2021696.88,1747594.48,274102.40
Vegetables,Online,H,6/10/2017,528756368,6/19/2017,9614,154.06,90.93,1481132.84,874201.02,606931.82
Clothes,Offline,M,8/1/2013,433448255,8/21/2013,5826,109.28,35.84,636665.28,208803.84,427861.44
Fruits,Offline,H,10/29/2011,416381680,11/28/2011,5447,9.33,6.92,50820.51,37693.24,13127.27
Cosmetics,Online,C,1/11/2011,212517488,2/26/2011,7502,437.20,263.33,3279874.40,1975501.66,1304372.74
Office Supplies,Online,M,4/2/2011,752871882,4/29/2011,375,651.21,524.96,244203.75,196860.00,47343.75
Office Supplies,Online,L,5/9/2014,973901355,5/28/2014,7908,651.21,524.96,5149768.68,4151383.68,998385.00
Household,Online,M,4/29/2016,980821454,5/23/2016,5719,668.27,502.54,3821836.13,2874026.26,947809.87
Cereal,Offline,L,10/9/2014,790626227,10/14/2014,2725,205.70,117.11,560532.50,319124.75,241407.75
Clothes,Offline,C,2/26/2014,600150334,3/29/2014,6675,109.28,35.84,729444.00,239232.00,490212.00
Clothes,Online,H,6/1/2012,615003764,6/4/2012,2135,109.28,35.84,233312.80,76518.40,156794.40
Personal Care,Offline,C,9/7/2015,773814141,10/9/2015,7655,81.73,56.67,625643.15,433808.85,191834.30
Beverages,Online,H,5/18/2015,295917880,6/21/2015,7532,47.45,31.79,357393.40,239442.28,117951.12
Cosmetics,Online,C,6/16/2017,691738545,6/19/2017,9662,437.20,263.33,4224226.40,2544294.46,1679931.94
Personal Care,Offline,H,10/19/2011,927720153,11/25/2011,1864,81.73,56.67,152344.72,105632.88,46711.84
Beverages,Offline,H,9/19/2012,827154481,10/29/2012,2247,47.45,31.79,106620.15,71432.13,35188.02
Baby Food,Online,L,9/21/2016,456193387,10/17/2016,6616,255.28,159.42,1688932.48,1054722.72,634209.76
