Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Fruits,Online,L,11/7/2011,830192887,12/18/2011,1379,9.33,6.92,12866.07,9542.68,3323.39
Fruits,Online,H,3/13/2017,484823930,4/20/2017,9030,9.33,6.92,84249.90,62487.60,21762.30
Snacks,Online,C,12/26/2014,761942040,1/22/2015,4437,152.58,97.44,676997.46,432341.28,244656.18
Vegetables,Offline,L,4/15/2010,767438638,4/19/2010,1002,154.06,90.93,154368.12,91111.86,63256.26
Personal Care,Offline,H,8/7/2010,436330878,8/28/2010,8858,81.73,56.67,723964.34,501982.86,221981.48
Cosmetics,Online,M,5/23/2012,429862678,6/9/2012,4774,437.20,263.33,2087192.80,1257137.42,830055.38
Clothes,Online,H,6/21/2017,395687901,6/22/2017,1698,109.28,35.84,185557.44,60856.32,124701.12
Cosmetics,Online,M,5/8/2014,230113208,5/25/2014,4467,437.20,263.33,1952972.40,1176295.11,776677.29
Fruits,Online,H,8/6/2011,951248919,9/16/2011,4549,9.33,6.92,42442.17,31479.08,10963.09
Office Supplies,Offline,M,10/17/2010,128518855,10/29/2010,440,651.21,524.96,286532.40,230982.40,55550.00
Household,Online,C,7/19/2011,352296626,8/31/2011,1255,668.27,502.54,838678.85,630687.70,207991.15
Household,Offline,H,8/3/2016,297969233,8/14/2016,4573,668.27,502.54,3055998.71,2298115.42,757883.29
Beverages,Offline,H,4/28/2010,700216472,6/17/2010,8469,47.45,31.79,401854.05,269229.51,132624.54
Cereal,Online,C,11/2/2016,898542439,11/23/2016,7530,205.70,117.11,1548921.00,881838.30,667082.70
Personal Care,Online,M,6/13/2015,186623227,7/25/2015,4815,81.73,56.67,393529.95,272866.05,120663.90
Snacks,Offline,C,1/4/2013,973458898,1/28/2013,6975,152.58,97.44,1064245.50,679644.00,384601.50
Beverages,Online,H,11/10/2013,329395711,12/18/2013,4366,47.45,31.79,207166.70,138795.14,68371.56
Meat,Offline,L,3/3/2016,437556970,3/18/2016,1686,421.89,364.69,711306.54,614867.34,96439.20
Cereal,Online,L,3/6/2010,838042962,4/13/2010,4391,205.70,117.11,903228.70,514230.01,388998.69
Clothes,Offline,M,7/22/2010,456244456,8/8/2010,1728,109.28,35.84,188835.84,61931.52,126904.32
Snacks,Offline,C,12/28/2012,985226285,1/18/2013,9206,152.58,97.44,1404651.48,897032.64,507618.84
Cereal,Offline,H,12/11/2014,694480836,12/13/2014,1167,205.70,117.11,240051.90,136667.37,103384.53
Office Supplies,Offline,C,12/5/2010,752387797,1/21/2011,7124,651.21,524.96,4639220.04,3739815.04,899405.00
Baby Food,Online,C,9/17/2011,246390140,10/6/2011,1172,255.28,159.42,299188.16,186840.24,112347.92
Beverages,Online,H,9/6/2015,798963820,10/25/2015,4,47.45,31.79,189.80,127.16,62.64
Baby Food,Online,M,1/1/2017,748948562,2/7/2017,9378,255.28,159.42,2394015.84,1495040.76,898975.08
Vegetables,Online,L,10/5/2014,768467319,10/18/2014,5411,154.06,90.93,833618.66,492022.23,341596.43
Snacks,Offline,C,1/17/2017,444279658,2/22/2017,1079,152.58,97.44,164633.82,105137.76,59496.06
Clothes,Offline,L,11/14/2013,270319736,12/16/2013,2472,109.28,35.84,270140.16,88596.48,181543.68
Fruits,Online,L,6/20/2013,945019757,6/26/2013,1201,9.33,6.92,11205.33,8310.92,2894.41
Beverages,Offline,M,2/14/2016,651229894,4/1/2016,2252,47.45,31.79,106857.40,71591.08,35266.32
Household,Offline,C,11/16/2014,832546365,11/26/2014,7825,668.27,502.54,5229212.75,3932375.50,1296837.25
Baby Food,Offline,H,9/18/2011,468448293,10/7/2011,3115,255.28,159.42,795197.20,496593.30,298603.90
Household,Offline,M,11/6/2013,960028970,12/5/2013,2761,668.27,502.54,1845093.47,1387512.94,457580.53
Baby Food,Online,L,12/27/2011,335624873,1/18/2012,7713,255.28,159.42,1968974.64,1229606.46,739368.18
Vegetables,Offline,M,10/30/2014,586714398,12/14/2014,683,154.06,90.93,105222.98,62105.19,43117.79
Cereal,Online,H,10/2/2011,444913518,10/27/2011,8652,205.70,117.11,1779716.40,1013235.72,766480.68
Baby Food,Offline,C,7/7/2014,980519330,8/8/2014,6314,255.28,159.42,1611837.92,1006577.88,605260.04
Cereal,Online,M,9/3/2013,181324040,10/22/2013,6668,205.70,117.11,1371607.60,780889.48,590718.12
Cereal,Online,L,10/15/2013,729585587,10/24/2013,9443,205.70,117.11,1942425.10,1105869.73,836555.37
