Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Fruits,Offline,M,2/9/2014,732588374,2/23/2014,8034,9.33,6.92,74957.22,55595.28,19361.94
Cereal,Online,H,4/11/2010,498071897,5/26/2010,9397,205.70,117.11,1932962.90,1100482.67,832480.23
Personal Care,Online,M,11/12/2013,135636365,11/14/2013,6669,81.73,56.67,545057.37,377932.23,167125.14
Vegetables,Online,L,6/1/2015,606965720,6/29/2015,3500,154.06,90.93,539210.00,318255.00,220955.00
Household,Online,C,12/2/2015,186482894,1/10/2016,3287,668.27,502.54,2196603.49,1651848.98,544754.51
Meat,Offline,C,7/5/2010,123037707,8/5/2010,8447,421.89,364.69,3563704.83,3080536.43,483168.40
Cosmetics,Offline,M,1/10/2016,334315526,1/18/2016,248,437.20,263.33,108425.60,65305.84,43119.76
Household,Online,C,2/19/2013,562644469,3/19/2013,7857,668.27,502.54,5250597.39,3948456.78,1302140.61
Household,Online,H,1/18/2012,193938148,2/3/2012,9462,668.27,502.54,6323170.74,4755033.48,1568137.26
Vegetables,Offline,L,5/5/2010,819511258,6/8/2010,447,154.06,90.93,68864.82,40645.71,28219.11
Office Supplies,Offline,M,1/17/2015,707630097,2/28/2015,2326,651.21,524.96,1514714.46,1221056.96,293657.50
Fruits,Offline,C,5/15/2016,154422557,6/6/2016,5921,9.33,6.92,55242.93,40973.32,14269.61
Cereal,Offline,M,6/17/2012,557542693,7/7/2012,8128,205.70,117.11,1671929.60,951870.08,720059.52
Meat,Online,C,1/29/2017,770244014,2/23/2017,1175,421.89,364.69,495720.75,428510.75,67210.00
Snacks,Online,L,1/18/2013,974601733,3/6/2013,5166,152.58,97.44,788228.28,503375.04,284853.24
Household,Offline,H,12/3/2014,155747354,1/5/2015,7958,668.27,502.54,5318092.66,3999213.32,1318879.34
Cereal,Offline,C,1/26/2012,535291087,1/27/2012,3383,205.70,117.11,695883.10,396183.13,299699.97
Cosmetics,Offline,C,6/28/2011,649723136,8/15/2011,6369,437.20,263.33,2784526.80,1677148.77,1107378.03
Office Supplies,Online,L,1/14/2017,571720635,2/1/2017,3696,651.21,524.96,2406872.16,1940252.16,466620.00
Personal Care,Online,L,1/8/2012,661589229,1/20/2012,7810,81.73,56.67,638311.30,442592.70,195718.60
Personal Care,Online,L,5/2/2015,253606355,5/28/2015,6611,81.73,56.67,540317.03,374645.37,165671.66
Office Supplies,Offline,C,7/1/2012,974503028,7/30/2012,5956,651.21,524.96,3878606.76,3126661.76,751945.00
Household,Online,C,2/13/2013,574411857,3/11/2013,88,668.27,502.54,58807.76,44223.52,14584.24
Fruits,Online,M,4/9/2012,187412869,5/9/2012,8488,9.33,6.92,79193.04,58736.96,20456.08
Clothes,Offline,H,7/14/2014,552934443,9/1/2014,4444,109.28,35.84,485640.32,159272.96,326367.36
Office Supplies,Online,M,2/16/2010,239090669,3/28/2010,1097,651.21,524.96,714377.37,575881.12,138496.25
Snacks,Offline,L,10/21/2013,979942548,11/15/2013,5631,152.58,97.44,859177.98,548684.64,310493.34
Meat,Offline,L,12/6/2016,380200612,1/14/2017,8665,421.89,364.69,3655676.85,3160038.85,495638.00
Baby Food,Offline,L,7/13/2014,771371400,7/14/2014,4794,255.28,159.42,1223812.32,764259.48,459552.84
Fruits,Online,C,11/1/2013,865411794,11/12/2013,3436,9.33,6.92,32057.88,23777.12,8280.76
Cereal,Online,C,9/19/2011,996318185,11/2/2011,1546,205.70,117.11,318012.20,181052.06,136960.14
Vegetables,Offline,H,8/8/2011,888551747,9/13/2011,1062,154.06,90.93,163611.72,96567.66,67044.06
Beverages,Offline,H,4/11/2010,585446679,4/27/2010,5537,47.45,31.79,262730.65,176021.23,86709.42
Meat,Online,M,4/3/2014,638449275,5/10/2014,183,421.89,364.69,77205.87,66738.27,10467.60
Snacks,Online,M,12/11/2010,784307801,12/21/2010,2962,152.58,97.44,451941.96,288617.28,163324.68
Household,Offline,H,7/7/2014,564701831,8/22/2014,6676,668.27,502.54,4461370.52,3354957.04,1106413.48
Snacks,Online,L,9/3/2012,325338065,10/8/2012,3618,152.58,97.44,552034.44,352537.92,199496.52
Snacks,Offline,H,9/13/2016,252042520,10/29/2016,3837,152.58,97.44,585449.46,373877.28,211572.18
Beverages,Online,L,9/27/2010,735378301,11/5/2010,3636,47.45,31.79,172528.20,115588.44,56939.76
Baby Food,Online,M,5/3/2011,212371146,5/5/2011,4196,255.28,159.42,1071154.88,668926.32,402228.56
Baby Food,Online,M,6/24/2012,633150088,8/7/2012,2036,255.28,159.42,519750.08,324579.12,195170.96
Baby Food,Offline,L,11/25/2010,804221379,11/30/2010,5833,255.28,159.42,1489048.24,929896.86,559151.38
Meat,Offline,H,5/11/2016,213498532,6/8/2016,7815,421.89,364.69,3297070.35,2850052.35,447018.00
Cereal,Online,H,1/25/2011,479877936,2/23/2011,5400,205.70,117.11,1110780.00,632394.00,478386.00
Household,Online,H,9/17/2016,477721869,11/1/2016,7372,668.27,502.54,4926486.44,3704724.88,1221761.56
Baby Food,Offline,M,9/20/2014,744693505,11/8/2014,212,255.28,159.42,54119.36,33797.04,20322.32
Office Supplies,Online,C,6/23/2012,676837480,6/27/2012,106,651.21,524.96,69028.26,55645.76,13382.50
Office Supplies,Offline,H,7/7/2015,179619872,7/22/2015,2367,651.21,524.96,1541414.07,1242580.32,298833.75
Snacks,Online,L,2/8/2015,719636523,2/17/2015,5294,152.58,97.44,807758.52,515847.36,291911.16
Cereal,Offline,C,1/6/2012,483218467,1/28/2012,3937,205.70,117.11,809840.90,461062.07,348778.83
Clothes,Online,H,1/18/2017,753712594,1/25/2017,9161,109.28,35.84,1001114.08,328330.24,672783.84
Fruits,Online,C,4/30/2014,547692334,6/7/2014,3187,9.33,6.92,29734.71,22054.04,7680.67
Baby Food,Online,C,4/11/2012,806278741,5/4/2012,4652,255.28,159.42,1187562.56,741621.84,445940.72
Vegetables,Online,H,4/27/2012,830052554,6/4/2012,9851,154.06,90.93,1517645.06,895751.43,621893.63
Meat,Online,M,10/2/2011,203845584,11/2/2011,1293,421.89,364.69,545503.77,471544.17,73959.60
Office Supplies,Online,M,12/8/2013,350691163,1/4/2014,6163,651.21,524.96,4013407.23,3235328.48,778078.75
Beverages,Offline,H,10/8/2015,914876449,10/12/2015,1127,47.45,31.79,53476.15,35827.33,17648.82
Personal Care,Offline,H,3/8/2012,424620568,3/14/2012,3517,81.73,56.67,287444.41,199308.39,88136.02
Cosmetics,Offline,M,1/10/2017,587109220,1/24/2017,7520,437.20,263.33,3287744.00,1980241.60,1307502.40
Baby Food,Online,H,8/18/2010,937044799,8/20/2010,1234,255.28,159.42,315015.52,196724.28,118291.24
Office Supplies,Offline,M,11/25/2013,286851155,11/25/2013,4486,651.21,524.96,2921328.06,2354970.56,566357.50
Cereal,Offline,C,5/16/2013,497043216,6/21/2013,4988,205.70,117.11,1026031.60,584144.68,441886.92
Vegetables,Online,L,4/16/2014,174419391,5/26/2014,3429,154.06,90.93,528271.74,311798.97,216472.77
Meat,Online,M,7/1/2010,578921401,7/31/2010,4562,421.89,364.69,1924662.18,1663715.78,260946.40
Cosmetics,Offline,L,4/15/2010,854813420,5/10/2010,7142,437.20,263.33,3122482.40,1880702.86,1241779.54
Meat,Online,M,6/27/2011,780785310,7/26/2011,579,421.89,364.69,244274.31,211155.51,33118.80
Household,Online,L,12/26/2015,904729974,1/15/2016,8559,668.27,502.54,5719722.93,4301239.86,1418483.07
Beverages,Offline,C,2/3/2014,525918805,2/12/2014,9916,47.45,31.79,470514.20,315229.64,155284.56
Office Supplies,Online,C,12/20/2012,359118020,1/20/2013,9857,651.21,524.96,6418976.97,5174530.72,1244446.25
Cosmetics,Offline,C,3/17/2011,338430249,4/29/2011,7886,437.20,263.33,3447759.20,2076620.38,1371138.82
Cosmetics,Offline,M,10/3/2014,633783948,11/6/2014,9609,437.20,263.33,4201054.80,2530337.97,1670716.83
Cosmetics,Offline,C,7/22/2010,499931848,8/19/2010,9798,437.20,263.33,4283685.60,2580107.34,1703578.26
Cereal,Offline,H,2/6/2010,290924251,3/28/2010,9806,205.70,117.11,2017094.20,1148380.66,868713.54
Vegetables,Online,C,7/16/2014,731305205,8/24/2014,8316,154.06,90.93,1281162.96,756173.88,524989.08
Household,Offline,L,6/4/2015,282144200,6/15/2015,1594,668.27,502.54,1065222.38,801048.76,264173.62
Office Supplies,Online,H,7/6/2010,432470643,7/8/2010,6529,651.21,524.96,4251750.09,3427463.84,824286.25
Baby Food,Offline,H,8/12/2016,948755109,8/30/2016,6575,255.28,159.42,1678466.00,1048186.50,630279.50
Cosmetics,Online,H,8/28/2012,690225780,9/11/2012,2001,437.20,263.33,874837.20,526923.33,347913.87
Meat,Offline,C,1/1/2015,199673783,1/14/2015,6765,421.89,364.69,2854085.85,2467127.85,386958.00
Vegetables,Online,L,1/28/2010,496450984,3/1/2010,9733,154.06,90.93,1499465.98,885021.69,614444.29
Cosmetics,Online,C,11/25/2012,715620505,1/6/2013,6865,437.20,263.33,3001378.00,1807760.45,1193617.55
Household,Offline,C,2/3/2015,140836846,3/3/2015,5607,668.27,502.54,3746989.89,2817741.78,929248.11
