Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Meat,Online,H,1/15/2014,145403468,1/29/2014,6972,421.89,364.69,2941417.08,2542618.68,398798.40
Snacks,Online,C,9/24/2016,993824374,10/15/2016,3572,152.58,97.44,545015.76,348055.68,196960.08
Baby Food,Online,M,8/2/2011,484501636,9/18/2011,3656,255.28,159.42,933303.68,582839.52,350464.16
Meat,Online,L,4/20/2016,554612433,6/2/2016,999,421.89,364.69,421468.11,364325.31,57142.80
Baby Food,Online,C,7/7/2013,665028464,7/29/2013,5556,255.28,159.42,1418335.68,885737.52,532598.16
Cereal,Offline,C,4/12/2015,860465800,4/13/2015,9807,205.70,117.11,2017299.90,1148497.77,868802.13
Snacks,Online,C,1/2/2014,522058570,2/12/2014,7587,152.58,97.44,1157624.46,739277.28,418347.18
Snacks,Online,C,5/31/2010,618748557,6/22/2010,303,152.58,97.44,46231.74,29524.32,16707.42
Vegetables,Online,M,7/11/2012,594226729,7/15/2012,3749,154.06,90.93,577570.94,340896.57,236674.37
Household,Online,M,5/25/2013,378891265,6/18/2013,1200,668.27,502.54,801924.00,603048.00,198876.00
Fruits,Offline,M,1/20/2012,987553584,1/21/2012,7906,9.33,6.92,73762.98,54709.52,19053.46
Fruits,Offline,C,4/26/2015,749556243,6/2/2015,9204,9.33,6.92,85873.32,63691.68,22181.64
Meat,Online,H,8/1/2013,526962935,8/15/2013,8898,421.89,364.69,3753977.22,3245011.62,508965.60
Office Supplies,Offline,H,7/26/2014,878898799,9/2/2014,4541,651.21,524.96,2957144.61,2383843.36,573301.25
Snacks,Offline,M,3/4/2014,285089910,4/8/2014,3294,152.58,97.44,502598.52,320967.36,181631.16
Snacks,Online,M,10/11/2015,261612212,11/2/2015,5722,152.58,97.44,873062.76,557551.68,315511.08
Cosmetics,Offline,H,7/18/2010,671060216,8/8/2010,485,437.20,263.33,212042.00,127715.05,84326.95
Fruits,Online,M,4/8/2010,494450700,5/25/2010,7805,9.33,6.92,72820.65,54010.60,18810.05
Vegetables,Offline,C,8/13/2015,149081742,9/26/2015,5455,154.06,90.93,840397.30,496023.15,344374.15
Fruits,Online,L,7/6/2011,575258576,8/21/2011,651,9.33,6.92,6073.83,4504.92,1568.91
Meat,Offline,M,1/3/2014,390996396,1/12/2014,3377,421.89,364.69,1424722.53,1231558.13,193164.40
Fruits,Offline,H,7/6/2014,914200961,8/5/2014,1235,9.33,6.92,11522.55,8546.20,2976.35
Fruits,Offline,H,5/27/2013,557262027,6/10/2013,5072,9.33,6.92,47321.76,35098.24,12223.52
Meat,Offline,H,3/4/2017,208214795,4/5/2017,4240,421.89,364.69,1788813.60,1546285.60,242528.00
Cereal,Online,H,7/15/2017,960241830,7/24/2017,5751,205.70,117.11,1182980.70,673499.61,509481.09
Snacks,Online,L,1/25/2012,710040652,3/8/2012,5663,152.58,97.44,864060.54,551802.72,312257.82
Personal Care,Offline,M,2/22/2012,841341865,4/7/2012,609,81.73,56.67,49773.57,34512.03,15261.54
Baby Food,Online,H,4/17/2013,627866351,6/4/2013,8461,255.28,159.42,2159924.08,1348852.62,811071.46
Meat,Online,H,8/2/2014,779756629,8/22/2014,6169,421.89,364.69,2602639.41,2249772.61,352866.80
Cosmetics,Offline,M,1/22/2015,957987058,1/29/2015,8514,437.20,263.33,3722320.80,2241991.62,1480329.18
Clothes,Online,C,8/15/2010,889736211,9/28/2010,1572,109.28,35.84,171788.16,56340.48,115447.68
Beverages,Offline,C,5/2/2017,692875373,6/7/2017,6075,47.45,31.79,288258.75,193124.25,95134.50
Personal Care,Online,M,7/10/2010,504456841,8/7/2010,8844,81.73,56.67,722820.12,501189.48,221630.64
Household,Online,L,11/25/2015,813494956,12/26/2015,90,668.27,502.54,60144.30,45228.60,14915.70
