Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Meat,Online,C,2/4/2015,252889239,2/19/2015,4401,421.89,364.69,1856737.89,1605000.69,251737.20
Fruits,Offline,C,9/30/2012,434008300,11/14/2012,1555,9.33,6.92,14508.15,10760.60,3747.55
Fruits,Offline,L,10/16/2015,158848845,10/21/2015,5758,9.33,6.92,53722.14,39845.36,13876.78
Snacks,Offline,H,9/19/2014,634687745,10/25/2014,7063,152.58,97.44,1077672.54,688218.72,389453.82
Cosmetics,Online,M,6/25/2014,284471499,8/6/2014,293,437.20,263.33,128099.60,77155.69,50943.91
Cereal,Online,H,2/27/2010,280299699,3/23/2010,5765,205.70,117.11,1185860.50,675139.15,510721.35
Baby Food,Online,H,8/7/2014,304863154,9/4/2014,4637,255.28,159.42,1183733.36,739230.54,444502.82
Baby Food,Online,L,3/31/2012,767116343,4/13/2012,5628,255.28,159.42,1436715.84,897215.76,539500.08
Clothes,Online,H,6/11/2012,768737256,7/7/2012,5292,109.28,35.84,578309.76,189665.28,388644.48
Vegetables,Online,H,12/23/2016,100209319,12/27/2016,3019,154.06,90.93,465107.14,274517.67,190589.47
Fruits,Offline,L,11/18/2010,749670398,11/18/2010,2985,9.33,6.92,27850.05,20656.20,7193.85
Vegetables,Online,L,11/24/2015,175619304,1/7/2016,8509,154.06,90.93,1310896.54,773723.37,537173.17
Cosmetics,Online,C,2/10/2017,196208369,2/24/2017,1271,437.20,263.33,555681.20,334692.43,220988.77
Snacks,Offline,L,12/25/2011,618805634,12/28/2011,7193,152.58,97.44,1097507.94,700885.92,396622.02
Fruits,Online,M,6/29/2017,980155408,7/4/2017,8621,9.33,6.92,80433.93,59657.32,20776.61
Beverages,Offline,C,4/24/2014,758886897,6/7/2014,352,47.45,31.79,16702.40,11190.08,5512.32
Cosmetics,Offline,M,6/28/2017,167530190,7/24/2017,4761,437.20,263.33,2081509.20,1253714.13,827795.07
Vegetables,Online,M,7/31/2011,393505656,8/27/2011,5923,154.06,90.93,912497.38,538578.39,373918.99
Beverages,Online,H,11/17/2014,703530824,11/20/2014,9260,47.45,31.79,439387.00,294375.40,145011.60
Personal Care,Online,M,11/3/2014,286570489,12/18/2014,1431,81.73,56.67,116955.63,81094.77,35860.86
Cereal,Online,C,5/4/2011,764918649,6/16/2011,5281,205.70,117.11,1086301.70,618457.91,467843.79
Baby Food,Online,H,5/18/2017,828701579,6/25/2017,68,255.28,159.42,17359.04,10840.56,6518.48
Vegetables,Offline,C,11/15/2012,526386153,11/21/2012,8215,154.06,90.93,1265602.90,746989.95,518612.95
Cosmetics,Online,M,3/8/2010,490590465,4/5/2010,5475,437.20,263.33,2393670.00,1441731.75,951938.25
Vegetables,Offline,C,7/15/2017,500736939,7/27/2017,8043,154.06,90.93,1239104.58,731349.99,507754.59
Vegetables,Online,C,12/26/2014,236118781,1/22/2015,1649,154.06,90.93,254044.94,149943.57,104101.37
Household,Offline,H,6/11/2012,856112039,7/28/2012,1432,668.27,502.54,956962.64,719637.28,237325.36
Clothes,Online,L,11/2/2011,538195168,12/11/2011,2765,109.28,35.84,302159.20,99097.60,203061.60
Cereal,Online,C,10/24/2010,118798100,12/3/2010,3853,205.70,117.11,792562.10,451224.83,341337.27
Clothes,Online,H,11/23/2016,559475171,12/24/2016,9991,109.28,35.84,1091816.48,358077.44,733739.04
Cosmetics,Online,L,6/17/2017,325748336,6/17/2017,5026,437.20,263.33,2197367.20,1323496.58,873870.62
Household,Online,L,12/21/2014,601006495,12/27/2014,33,668.27,502.54,22052.91,16583.82,5469.09
Cosmetics,Offline,M,8/28/2014,491619145,10/4/2014,9885,437.20,263.33,4321722.00,2603017.05,1718704.95
