Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Vegetables,Online,M,4/13/2015,116205585,6/2/2015,6670,154.06,90.93,1027580.20,606503.10,421077.10
Meat,Online,M,4/30/2017,757619178,5/14/2017,5206,421.89,364.69,2196359.34,1898576.14,297783.20
Office Supplies,Offline,C,8/27/2013,369887626,9/8/2013,6823,651.21,524.96,4443205.83,3581802.08,861403.75
Fruits,Offline,M,1/23/2013,302327716,2/12/2013,4344,9.33,6.92,40529.52,30060.48,10469.04
Baby Food,Offline,C,8/11/2013,718243920,9/3/2013,3192,255.28,159.42,814853.76,508868.64,305985.12
Personal Care,Offline,C,11/11/2016,607687556,12/23/2016,7107,81.73,56.67,580855.11,402753.69,178101.42
Office Supplies,Online,M,8/20/2010,942712628,9/14/2010,8471,651.21,524.96,5516399.91,4446936.16,1069463.75
Personal Care,Online,M,2/19/2017,474864137,4/5/2017,1705,81.73,56.67,139349.65,96622.35,42727.30
Household,Offline,C,7/14/2013,940063035,7/18/2013,4397,668.27,502.54,2938383.19,2209668.38,728714.81
Baby Food,Offline,L,7/29/2014,709817063,8/17/2014,9498,255.28,159.42,2424649.44,1514171.16,910478.28
Cereal,Online,C,7/28/2011,961441743,8/10/2011,832,205.70,117.11,171142.40,97435.52,73706.88
Cosmetics,Offline,L,3/27/2011,288643300,4/4/2011,4822,437.20,263.33,2108178.40,1269777.26,838401.14
Clothes,Offline,L,7/6/2013,642397487,8/5/2013,8547,109.28,35.84,934016.16,306324.48,627691.68
Baby Food,Online,C,11/1/2012,724670493,12/14/2012,4958,255.28,159.42,1265678.24,790404.36,475273.88
Clothes,Online,C,9/26/2010,340617215,10/16/2010,5058,109.28,35.84,552738.24,181278.72,371459.52
Beverages,Offline,C,12/24/2013,332824218,12/29/2013,8937,47.45,31.79,424060.65,284107.23,139953.42
Personal Care,Online,M,12/21/2010,318703353,1/29/2011,259,81.73,56.67,21168.07,14677.53,6490.54
Baby Food,Online,L,8/9/2013,496185767,9/1/2013,1250,255.28,159.42,319100.00,199275.00,119825.00
Snacks,Online,H,8/22/2011,648626649,9/4/2011,1894,152.58,97.44,288986.52,184551.36,104435.16
Office Supplies,Offline,M,5/25/2013,578318440,6/27/2013,6133,651.21,524.96,3993870.93,3219579.68,774291.25
Clothes,Offline,M,1/3/2015,292716395,1/10/2015,141,109.28,35.84,15408.48,5053.44,10355.04
Meat,Online,H,7/30/2015,106298148,9/4/2015,4839,421.89,364.69,2041525.71,1764734.91,276790.80
Meat,Offline,H,4/28/2017,535561025,5/11/2017,3263,421.89,364.69,1376627.07,1189983.47,186643.60
Beverages,Online,H,6/13/2012,618665301,6/13/2012,5666,47.45,31.79,268851.70,180122.14,88729.56
Personal Care,Online,L,10/4/2013,164599931,11/23/2013,7632,81.73,56.67,623763.36,432505.44,191257.92
Baby Food,Offline,H,11/22/2012,998801267,12/14/2012,6345,255.28,159.42,1619751.60,1011519.90,608231.70
Baby Food,Offline,L,1/5/2015,340024983,1/21/2015,9804,255.28,159.42,2502765.12,1562953.68,939811.44
Personal Care,Offline,H,5/3/2016,861567008,6/11/2016,5678,81.73,56.67,464062.94,321772.26,142290.68
Cereal,Online,H,7/20/2014,190093362,9/2/2014,1705,205.70,117.11,350718.50,199672.55,151045.95
Cosmetics,Offline,L,9/14/2015,967613828,9/30/2015,7289,437.20,263.33,3186750.80,1919412.37,1267338.43
Cereal,Online,L,1/25/2015,304722821,2/19/2015,3109,205.70,117.11,639521.30,364094.99,275426.31
Office Supplies,Online,M,7/18/2015,351891076,8/18/2015,1244,651.21,524.96,810105.24,653050.24,157055.00
Snacks,Offline,H,12/30/2016,747373998,1/11/2017,3429,152.58,97.44,523196.82,334121.76,189075.06
