Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Household,Offline,H,12/25/2013,729631936,2/11/2014,3159,668.27,502.54,2111064.93,1587523.86,523541.07
Snacks,Online,C,4/1/2015,933355796,4/30/2015,9576,152.58,97.44,1461106.08,933085.44,528020.64
Vegetables,Offline,C,6/11/2013,186274755,6/21/2013,1694,154.06,90.93,260977.64,154035.42,106942.22
Meat,Offline,L,8/25/2011,454867303,9/22/2011,4198,421.89,364.69,1771094.22,1530968.62,240125.60
Cereal,Online,M,6/14/2014,245309102,7/15/2014,1269,205.70,117.11,261033.30,148612.59,112420.71
Clothes,Online,H,10/14/2011,816611897,12/3/2011,2462,109.28,35.84,269047.36,88238.08,180809.28
Meat,Online,C,4/8/2012,451583850,4/25/2012,2551,421.89,364.69,1076241.39,930324.19,145917.20
Office Supplies,Online,C,11/24/2011,111753118,12/21/2011,9086,651.21,524.96,5916894.06,4769786.56,1147107.50
Cereal,Online,L,10/17/2010,745810163,11/18/2010,656,205.70,117.11,134939.20,76824.16,58115.04
Beverages,Offline,C,7/23/2013,690848910,8/2/2013,6400,47.45,31.79,303680.00,203456.00,100224.00
Fruits,Offline,H,11/21/2014,403386914,11/23/2014,7,9.33,6.92,65.31,48.44,16.87
Personal Care,Online,L,4/24/2010,651333320,5/11/2010,2858,81.73,56.67,233584.34,161962.86,71621.48
Snacks,Online,H,5/21/2017,262812125,6/16/2017,803,152.58,97.44,122521.74,78244.32,44277.42
Household,Online,L,10/10/2011,459870374,10/29/2011,4718,668.27,502.54,3152897.86,2370983.72,781914.14
Beverages,Offline,H,10/20/2010,464676034,11/14/2010,6819,47.45,31.79,323561.55,216776.01,106785.54
Vegetables,Offline,M,3/23/2017,765526330,5/5/2017,5108,154.06,90.93,786938.48,464470.44,322468.04
Cosmetics,Offline,C,12/26/2013,995377480,1/3/2014,3171,437.20,263.33,1386361.20,835019.43,551341.77
Clothes,Online,H,6/22/2013,971744000,8/9/2013,9499,109.28,35.84,1038050.72,340444.16,697606.56
Household,Offline,L,7/12/2016,772191941,8/13/2016,7610,668.27,502.54,5085534.70,3824329.40,1261205.30
Baby Food,Offline,M,7/27/2017,541945970,9/12/2017,2710,255.28,159.42,691808.80,432028.20,259780.60
Personal Care,Offline,L,11/8/2014,470609080,11/15/2014,2540,81.73,56.67,207594.20,143941.80,63652.40
Fruits,Offline,L,4/17/2012,530812442,5/26/2012,8052,9.33,6.92,75125.16,55719.84,19405.32
Baby Food,Online,M,9/15/2016,432459914,9/24/2016,3354,255.28,159.42,856209.12,534694.68,321514.44
Cereal,Offline,L,6/17/2010,382444655,8/4/2010,2727,205.70,117.11,560943.90,319358.97,241584.93
Beverages,Online,M,6/20/2014,408291280,7/16/2014,1318,47.45,31.79,62539.10,41899.22,20639.88
Office Supplies,Offline,C,2/28/2012,434813392,3/28/2012,9800,651.21,524.96,6381858.00,5144608.00,1237250.00
Cosmetics,Offline,L,2/15/2015,294098269,4/6/2015,9068,437.20,263.33,3964529.60,2387876.44,1576653.16
Baby Food,Offline,L,4/8/2011,439858090,4/13/2011,2638,255.28,159.42,673428.64,420549.96,252878.68
Beverages,Online,L,3/17/2014,307289159,4/11/2014,2546,47.45,31.79,120807.70,80937.34,39870.36
Meat,Offline,C,11/18/2015,430501258,11/27/2015,3744,421.89,364.69,1579556.16,1365399.36,214156.80
Beverages,Online,H,7/18/2013,924674451,7/26/2013,573,47.45,31.79,27188.85,18215.67,8973.18
Personal Care,Online,C,4/3/2017,123125684,4/8/2017,4481,81.73,56.67,366232.13,253938.27,112293.86
Vegetables,Offline,M,9/11/2012,712425029,9/15/2012,1253,154.06,90.93,193037.18,113935.29,79101.89
Cereal,Online,L,2/24/2016,844557511,3/26/2016,2190,205.70,117.11,450483.00,256470.90,194012.10
Vegetables,Online,C,3/6/2012,510420787,3/8/2012,3708,154.06,90.93,571254.48,337168.44,234086.04
Meat,Online,M,4/9/2010,452809941,4/19/2010,5379,421.89,364.69,2269346.31,1961667.51,307678.80
Vegetables,Offline,H,7/13/2011,893980538,8/21/2011,7562,154.06,90.93,1165001.72,687612.66,477389.06
Cosmetics,Online,L,6/9/2014,391759860,6/17/2014,9303,437.20,263.33,4067271.60,2449758.99,1617512.61
Clothes,Offline,L,5/29/2012,222761380,6/8/2012,8897,109.28,35.84,972264.16,318868.48,653395.68
Baby Food,Offline,H,5/31/2010,861863124,7/11/2010,3306,255.28,159.42,843955.68,527042.52,316913.16
Fruits,Online,M,8/25/2014,290617406,8/29/2014,9003,9.33,6.92,83997.99,62300.76,21697.23
Baby Food,Offline,M,7/30/2010,340139138,8/29/2010,3584,255.28,159.42,914923.52,571361.28,343562.24
Personal Care,Online,L,1/14/2017,530079877,2/16/2017,1270,81.73,56.67,103797.10,71970.90,31826.20
Baby Food,Online,L,8/28/2012,295464694,10/13/2012,3424,255.28,159.42,874078.72,545854.08,328224.64
Fruits,Offline,H,2/16/2017,514930331,2/23/2017,8183,9.33,6.92,76347.39,56626.36,19721.03
Cosmetics,Online,H,1/11/2010,208978259,2/11/2010,166,437.20,263.33,72575.20,43712.78,28862.42
Cereal,Online,C,6/3/2013,372791707,7/23/2013,6205,205.70,117.11,1276368.50,726667.55,549700.95
Clothes,Offline,M,6/8/2011,687071931,6/21/2011,8707,109.28,35.84,951500.96,312058.88,639442.08
