Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Personal Care,Online,M,4/4/2010,314505374,5/6/2010,7984,81.73,56.67,652532.32,452453.28,200079.04
Office Supplies,Online,C,12/14/2015,558181273,12/26/2015,7098,651.21,524.96,4622288.58,3726166.08,896122.50
Baby Food,Online,L,1/24/2017,193490970,2/11/2017,7133,255.28,159.42,1820912.24,1137142.86,683769.38
Personal Care,Offline,H,3/28/2011,357008302,5/2/2011,5545,81.73,56.67,453192.85,314235.15,138957.70
Clothes,Offline,M,3/21/2014,248213183,4/9/2014,652,109.28,35.84,71250.56,23367.68,47882.88
Baby Food,Online,C,1/11/2011,351766192,2/4/2011,4288,255.28,159.42,1094640.64,683592.96,411047.68
Clothes,Online,C,1/1/2015,685902917,1/2/2015,2770,109.28,35.84,302705.60,99276.80,203428.80
Cosmetics,Offline,C,11/29/2011,362110078,1/11/2012,5274,437.20,263.33,2305792.80,1388802.42,916990.38
Vegetables,Offline,L,6/28/2011,410701835,7/25/2011,4654,154.06,90.93,716995.24,423188.22,293807.02
Clothes,Offline,M,8/6/2011,843289792,8/7/2011,7044,109.28,35.84,769768.32,252456.96,517311.36
Fruits,Online,C,4/7/2012,713708198,5/7/2012,971,9.33,6.92,9059.43,6719.32,2340.11
Fruits,Online,C,7/6/2016,455516612,7/19/2016,6343,9.33,6.92,59180.19,43893.56,15286.63
Fruits,Offline,H,9/5/2014,132399260,10/5/2014,8738,9.33,6.92,81525.54,60466.96,21058.58
Clothes,Online,C,12/12/2013,381036603,12/28/2013,6053,109.28,35.84,661471.84,216939.52,444532.32
Snacks,Online,L,9/11/2013,724150788,9/27/2013,1165,152.58,97.44,177755.70,113517.60,64238.10
Personal Care,Online,L,3/18/2015,231640136,4/2/2015,6319,81.73,56.67,516451.87,358097.73,158354.14
Office Supplies,Offline,M,11/16/2016,263856256,12/17/2016,9784,651.21,524.96,6371438.64,5136208.64,1235230.00
Beverages,Online,C,1/31/2013,184175765,2/7/2013,557,47.45,31.79,26429.65,17707.03,8722.62
Cereal,Offline,C,10/21/2015,652320373,11/30/2015,4949,205.70,117.11,1018009.30,579577.39,438431.91
Vegetables,Offline,L,2/25/2010,607167851,3/13/2010,3315,154.06,90.93,510708.90,301432.95,209275.95
Vegetables,Online,C,12/8/2012,453064429,1/4/2013,688,154.06,90.93,105993.28,62559.84,43433.44
Cosmetics,Online,H,7/26/2015,539550864,9/6/2015,3946,437.20,263.33,1725191.20,1039100.18,686091.02
Cosmetics,Online,C,9/14/2011,991122424,10/5/2011,4005,437.20,263.33,1750986.00,1054636.65,696349.35
Office Supplies,Offline,M,4/30/2016,529503095,5/25/2016,587,651.21,524.96,382260.27,308151.52,74108.75
Beverages,Online,M,12/13/2014,261700189,1/28/2015,1756,47.45,31.79,83322.20,55823.24,27498.96
Personal Care,Online,M,10/30/2013,820149838,11/25/2013,9418,81.73,56.67,769733.14,533718.06,236015.08
Household,Offline,L,12/14/2011,604320847,12/24/2011,823,668.27,502.54,549986.21,413590.42,136395.79
Clothes,Online,H,1/19/2012,176974999,3/6/2012,9690,109.28,35.84,1058923.20,347289.60,711633.60
Baby Food,Offline,M,12/28/2012,374074876,1/22/2013,5923,255.28,159.42,1512023.44,944244.66,567778.78
Office Supplies,Online,M,2/2/2014,417959678,2/22/2014,2411,651.21,524.96,1570067.31,1265678.56,304388.75
Cereal,Online,C,9/7/2012,443058288,10/23/2012,9648,205.70,117.11,1984593.60,1129877.28,854716.32
Cereal,Offline,L,6/8/2016,280528008,6/9/2016,3327,205.70,117.11,684363.90,389624.97,294738.93
Beverages,Online,H,5/9/2017,136274945,6/23/2017,5639,47.45,31.79,267570.55,179263.81,88306.74
